epoch,reg_method,reg_val,train_acc,val_acc
1,DataAug,0,0.32428,0.3295
2,DataAug,0,0.46012,0.4577
3,DataAug,0,0.52516,0.5184
4,DataAug,0,0.57924,0.5603
5,DataAug,0,0.63068,0.5948
6,DataAug,0,0.67172,0.6214
7,DataAug,0,0.70636,0.6372
8,DataAug,0,0.74608,0.6628
9,DataAug,0,0.78004,0.6623
10,DataAug,0,0.7974,0.6615
11,DataAug,0,0.8484,0.6724
12,DataAug,0,0.8716,0.6696
13,DataAug,0,0.89564,0.6778
14,DataAug,0,0.91216,0.6745
15,DataAug,0,0.93376,0.6751
16,DataAug,0,0.9242,0.6702
17,DataAug,0,0.93808,0.6633
18,DataAug,0,0.95588,0.664
19,DataAug,0,0.95744,0.6673
20,DataAug,0,0.94956,0.6625
21,DataAug,0,0.96644,0.661
22,DataAug,0,0.98384,0.678
23,DataAug,0,0.96152,0.6681
24,DataAug,0,0.97892,0.6709
25,DataAug,0,0.97308,0.6684
26,DataAug,0,0.9866,0.6719
27,DataAug,0,0.96996,0.6602
28,DataAug,0,0.9866,0.6744
29,DataAug,0,0.98088,0.6708
30,DataAug,0,0.97976,0.6645
31,DataAug,0,0.97788,0.6568
32,DataAug,0,0.98476,0.6687
33,DataAug,0,0.98852,0.6706
34,DataAug,0,0.99444,0.6784
35,DataAug,0,0.98748,0.6724
36,DataAug,0,0.9906,0.6789
37,DataAug,0,0.99312,0.6739
38,DataAug,0,0.9934,0.6739
39,DataAug,0,0.99268,0.6753
40,DataAug,0,0.98828,0.6711
41,DataAug,0,0.96856,0.6525
42,DataAug,0,0.98336,0.653
43,DataAug,0,0.99184,0.6709
44,DataAug,0,0.99892,0.6811
45,DataAug,0,0.9946,0.6731
46,DataAug,0,0.99072,0.6665
47,DataAug,0,0.99636,0.6734
48,DataAug,0,0.99484,0.6772
49,DataAug,0,0.99584,0.6799
50,DataAug,0,0.99656,0.6798
51,DataAug,0,0.98976,0.6647
52,DataAug,0,0.98416,0.6736
53,DataAug,0,0.98372,0.6691
54,DataAug,0,0.98596,0.6652
55,DataAug,0,0.99576,0.6844
56,DataAug,0,0.98724,0.6675
57,DataAug,0,0.9912,0.6693
58,DataAug,0,0.9884,0.6658
59,DataAug,0,0.99636,0.6753
60,DataAug,0,0.9972,0.6853
1,DataAug,1,0.35464,0.3654
2,DataAug,1,0.45108,0.4593
3,DataAug,1,0.51212,0.5055
4,DataAug,1,0.53084,0.5173
5,DataAug,1,0.62384,0.5943
6,DataAug,1,0.65804,0.6253
7,DataAug,1,0.67812,0.639
8,DataAug,1,0.70852,0.6595
9,DataAug,1,0.738,0.6823
10,DataAug,1,0.75096,0.6782
11,DataAug,1,0.7826,0.6982
12,DataAug,1,0.79444,0.6985
13,DataAug,1,0.81668,0.705
14,DataAug,1,0.8262,0.6998
15,DataAug,1,0.83868,0.7096
16,DataAug,1,0.848,0.706
17,DataAug,1,0.87468,0.7159
18,DataAug,1,0.88656,0.7144
19,DataAug,1,0.90168,0.7224
20,DataAug,1,0.9118,0.7136
21,DataAug,1,0.90428,0.7084
22,DataAug,1,0.91344,0.7091
23,DataAug,1,0.91552,0.7051
24,DataAug,1,0.93508,0.7166
25,DataAug,1,0.94108,0.7085
26,DataAug,1,0.93028,0.7017
27,DataAug,1,0.94276,0.7061
28,DataAug,1,0.95552,0.7148
29,DataAug,1,0.9578,0.7135
30,DataAug,1,0.95088,0.7131
31,DataAug,1,0.95144,0.7035
32,DataAug,1,0.9468,0.6954
33,DataAug,1,0.9604,0.7144
34,DataAug,1,0.96252,0.7091
35,DataAug,1,0.96968,0.7166
36,DataAug,1,0.96688,0.7127
37,DataAug,1,0.9642,0.7049
38,DataAug,1,0.95336,0.6972
39,DataAug,1,0.95616,0.701
40,DataAug,1,0.97492,0.7136
41,DataAug,1,0.96688,0.7089
42,DataAug,1,0.975,0.7078
43,DataAug,1,0.973,0.7142
44,DataAug,1,0.98132,0.7146
45,DataAug,1,0.97764,0.7117
46,DataAug,1,0.97832,0.7184
47,DataAug,1,0.9756,0.71
48,DataAug,1,0.97,0.7108
49,DataAug,1,0.97532,0.7134
50,DataAug,1,0.98552,0.7188
51,DataAug,1,0.97836,0.7136
52,DataAug,1,0.98236,0.7117
53,DataAug,1,0.981,0.7089
54,DataAug,1,0.97492,0.7132
55,DataAug,1,0.9778,0.7093
56,DataAug,1,0.9784,0.704
57,DataAug,1,0.9686,0.6948
58,DataAug,1,0.98488,0.7119
59,DataAug,1,0.97872,0.7038
60,DataAug,1,0.98324,0.7042
1,DataAug,2,0.2742,0.2978
2,DataAug,2,0.3998,0.427
3,DataAug,2,0.45308,0.4862
4,DataAug,2,0.48724,0.514
5,DataAug,2,0.52584,0.5466
6,DataAug,2,0.55268,0.5833
7,DataAug,2,0.59316,0.6279
8,DataAug,2,0.60736,0.6342
9,DataAug,2,0.62332,0.6424
10,DataAug,2,0.6474,0.6643
11,DataAug,2,0.67476,0.6861
12,DataAug,2,0.69004,0.6987
13,DataAug,2,0.69408,0.6959
14,DataAug,2,0.70516,0.7106
15,DataAug,2,0.71884,0.7125
16,DataAug,2,0.70132,0.6913
17,DataAug,2,0.72804,0.7188
18,DataAug,2,0.73964,0.7344
19,DataAug,2,0.7494,0.7326
20,DataAug,2,0.75484,0.7353
21,DataAug,2,0.7588,0.7362
22,DataAug,2,0.75296,0.7289
23,DataAug,2,0.75404,0.7257
24,DataAug,2,0.76128,0.7401
25,DataAug,2,0.7796,0.7461
26,DataAug,2,0.75604,0.7224
27,DataAug,2,0.7684,0.7334
28,DataAug,2,0.78124,0.7427
29,DataAug,2,0.7996,0.7499
30,DataAug,2,0.79368,0.7434
31,DataAug,2,0.80404,0.7612
32,DataAug,2,0.80736,0.7535
33,DataAug,2,0.81912,0.7615
34,DataAug,2,0.8212,0.7647
35,DataAug,2,0.821,0.763
36,DataAug,2,0.81692,0.759
37,DataAug,2,0.81268,0.7564
38,DataAug,2,0.83292,0.7662
39,DataAug,2,0.83296,0.7704
40,DataAug,2,0.8368,0.7723
41,DataAug,2,0.82612,0.7598
42,DataAug,2,0.84332,0.7766
43,DataAug,2,0.8226,0.754
44,DataAug,2,0.84888,0.7785
45,DataAug,2,0.84064,0.77
46,DataAug,2,0.84156,0.7674
47,DataAug,2,0.85,0.7733
48,DataAug,2,0.85484,0.774
49,DataAug,2,0.86416,0.784
50,DataAug,2,0.86036,0.7753
51,DataAug,2,0.8546,0.7751
52,DataAug,2,0.8636,0.7792
53,DataAug,2,0.85572,0.7653
54,DataAug,2,0.86972,0.7801
55,DataAug,2,0.85456,0.7695
56,DataAug,2,0.8706,0.7805
57,DataAug,2,0.85628,0.7682
58,DataAug,2,0.87664,0.7846
59,DataAug,2,0.86828,0.7739
60,DataAug,2,0.87088,0.7768
1,DataAug,3,0.31408,0.3349
2,DataAug,3,0.36264,0.3705
3,DataAug,3,0.44096,0.4655
4,DataAug,3,0.46256,0.4945
5,DataAug,3,0.49836,0.5293
6,DataAug,3,0.52208,0.5492
7,DataAug,3,0.56492,0.6011
8,DataAug,3,0.56856,0.5963
9,DataAug,3,0.60108,0.6263
10,DataAug,3,0.61652,0.6471
11,DataAug,3,0.63464,0.6645
12,DataAug,3,0.64436,0.6724
13,DataAug,3,0.64664,0.6639
14,DataAug,3,0.67352,0.6958
15,DataAug,3,0.6572,0.6661
16,DataAug,3,0.6782,0.6967
17,DataAug,3,0.67884,0.7004
18,DataAug,3,0.68892,0.7053
19,DataAug,3,0.7094,0.7162
20,DataAug,3,0.70968,0.718
21,DataAug,3,0.7174,0.7286
22,DataAug,3,0.73044,0.7303
23,DataAug,3,0.72516,0.7273
24,DataAug,3,0.7284,0.723
25,DataAug,3,0.73016,0.7335
26,DataAug,3,0.72832,0.7361
27,DataAug,3,0.75008,0.7412
28,DataAug,3,0.74532,0.7478
29,DataAug,3,0.75664,0.7461
30,DataAug,3,0.75924,0.7508
31,DataAug,3,0.752,0.7442
32,DataAug,3,0.7668,0.7492
33,DataAug,3,0.75648,0.7528
34,DataAug,3,0.76632,0.7491
35,DataAug,3,0.77564,0.7616
36,DataAug,3,0.77196,0.7508
37,DataAug,3,0.77272,0.7521
38,DataAug,3,0.77032,0.7524
39,DataAug,3,0.77456,0.7586
40,DataAug,3,0.77304,0.7501
41,DataAug,3,0.7834,0.7631
42,DataAug,3,0.78896,0.7652
43,DataAug,3,0.79584,0.7677
44,DataAug,3,0.78484,0.757
45,DataAug,3,0.79636,0.7692
46,DataAug,3,0.80156,0.7646
47,DataAug,3,0.80808,0.775
48,DataAug,3,0.79888,0.7637
49,DataAug,3,0.8,0.7683
50,DataAug,3,0.8016,0.7691
51,DataAug,3,0.78464,0.7494
52,DataAug,3,0.81052,0.7644
53,DataAug,3,0.8084,0.7707
54,DataAug,3,0.79152,0.7556
55,DataAug,3,0.80964,0.7697
56,DataAug,3,0.79804,0.765
57,DataAug,3,0.81316,0.77
58,DataAug,3,0.8182,0.7752
59,DataAug,3,0.80444,0.7573
60,DataAug,3,0.82336,0.7739
