epoch,reg_method,reg_val,train_acc,val_acc
1,Dropout,0.0,0.32348,0.332
2,Dropout,0.0,0.44852,0.4506
3,Dropout,0.0,0.51044,0.5037
4,Dropout,0.0,0.56612,0.5458
5,Dropout,0.0,0.63772,0.6058
6,Dropout,0.0,0.66232,0.6062
7,Dropout,0.0,0.65104,0.5954
8,Dropout,0.0,0.72628,0.6342
9,Dropout,0.0,0.79128,0.6676
10,Dropout,0.0,0.7962,0.6616
11,Dropout,0.0,0.8514,0.681
12,Dropout,0.0,0.8742,0.6749
13,Dropout,0.0,0.88456,0.6668
14,Dropout,0.0,0.92844,0.6835
15,Dropout,0.0,0.91124,0.6659
16,Dropout,0.0,0.95468,0.6843
17,Dropout,0.0,0.95008,0.6739
18,Dropout,0.0,0.95588,0.6743
19,Dropout,0.0,0.96024,0.6688
20,Dropout,0.0,0.9662,0.6708
21,Dropout,0.0,0.9698,0.6746
22,Dropout,0.0,0.97848,0.6831
23,Dropout,0.0,0.9718,0.6763
24,Dropout,0.0,0.97996,0.6768
25,Dropout,0.0,0.97356,0.6685
26,Dropout,0.0,0.98124,0.6767
27,Dropout,0.0,0.98352,0.6748
28,Dropout,0.0,0.98424,0.6859
29,Dropout,0.0,0.9792,0.6723
30,Dropout,0.0,0.98312,0.6731
31,Dropout,0.0,0.97268,0.6715
32,Dropout,0.0,0.9854,0.6788
33,Dropout,0.0,0.99256,0.6865
34,Dropout,0.0,0.98284,0.6672
35,Dropout,0.0,0.97904,0.6649
36,Dropout,0.0,0.98864,0.6753
37,Dropout,0.0,0.98232,0.6727
38,Dropout,0.0,0.9894,0.6808
39,Dropout,0.0,0.98472,0.6702
40,Dropout,0.0,0.98012,0.6685
41,Dropout,0.0,0.99348,0.6808
42,Dropout,0.0,0.99292,0.6779
43,Dropout,0.0,0.98592,0.674
44,Dropout,0.0,0.98608,0.6672
45,Dropout,0.0,0.99236,0.682
46,Dropout,0.0,0.99348,0.6821
47,Dropout,0.0,0.99248,0.6761
48,Dropout,0.0,0.9928,0.6687
49,Dropout,0.0,0.98984,0.6741
50,Dropout,0.0,0.99068,0.678
51,Dropout,0.0,0.99492,0.6796
52,Dropout,0.0,0.99032,0.6829
53,Dropout,0.0,0.9958,0.6827
54,Dropout,0.0,0.99376,0.684
55,Dropout,0.0,0.9812,0.6679
56,Dropout,0.0,0.98852,0.6709
57,Dropout,0.0,0.99092,0.67
58,Dropout,0.0,0.98728,0.6666
59,Dropout,0.0,0.98696,0.6746
60,Dropout,0.0,0.99172,0.6711
1,Dropout,0.1,0.32384,0.3306
2,Dropout,0.1,0.43124,0.4283
3,Dropout,0.1,0.50392,0.4997
4,Dropout,0.1,0.55176,0.5379
5,Dropout,0.1,0.59228,0.5697
6,Dropout,0.1,0.63484,0.5947
7,Dropout,0.1,0.68844,0.6332
8,Dropout,0.1,0.72284,0.6554
9,Dropout,0.1,0.73516,0.6586
10,Dropout,0.1,0.77512,0.6819
11,Dropout,0.1,0.8084,0.6839
12,Dropout,0.1,0.83468,0.6915
13,Dropout,0.1,0.8574,0.6958
14,Dropout,0.1,0.8742,0.6956
15,Dropout,0.1,0.89772,0.6976
16,Dropout,0.1,0.91236,0.6924
17,Dropout,0.1,0.92548,0.6914
18,Dropout,0.1,0.93392,0.6855
19,Dropout,0.1,0.95652,0.6971
20,Dropout,0.1,0.96104,0.702
21,Dropout,0.1,0.96744,0.6978
22,Dropout,0.1,0.96776,0.6973
23,Dropout,0.1,0.97996,0.701
24,Dropout,0.1,0.97796,0.6898
25,Dropout,0.1,0.98464,0.693
26,Dropout,0.1,0.97832,0.6902
27,Dropout,0.1,0.98172,0.6887
28,Dropout,0.1,0.98672,0.6854
29,Dropout,0.1,0.98896,0.6968
30,Dropout,0.1,0.99028,0.6904
31,Dropout,0.1,0.99232,0.6933
32,Dropout,0.1,0.99404,0.698
33,Dropout,0.1,0.99188,0.6912
34,Dropout,0.1,0.98584,0.6845
35,Dropout,0.1,0.99416,0.6921
36,Dropout,0.1,0.99348,0.6951
37,Dropout,0.1,0.995,0.6912
38,Dropout,0.1,0.99584,0.6862
39,Dropout,0.1,0.99684,0.6946
40,Dropout,0.1,0.9964,0.694
41,Dropout,0.1,0.99676,0.693
42,Dropout,0.1,0.99624,0.691
43,Dropout,0.1,0.9948,0.6922
44,Dropout,0.1,0.99448,0.6912
45,Dropout,0.1,0.99772,0.6928
46,Dropout,0.1,0.99792,0.6923
47,Dropout,0.1,0.99568,0.6863
48,Dropout,0.1,0.99648,0.6932
49,Dropout,0.1,0.99764,0.6858
50,Dropout,0.1,0.99852,0.6929
51,Dropout,0.1,0.99792,0.6944
52,Dropout,0.1,0.99784,0.6937
53,Dropout,0.1,0.99824,0.6923
54,Dropout,0.1,0.9968,0.6897
55,Dropout,0.1,0.9978,0.691
56,Dropout,0.1,0.99896,0.6986
57,Dropout,0.1,0.9984,0.6948
58,Dropout,0.1,0.99756,0.6934
59,Dropout,0.1,0.99852,0.6919
60,Dropout,0.1,0.99584,0.6817
1,Dropout,0.15,0.3048,0.3107
2,Dropout,0.15,0.42852,0.426
3,Dropout,0.15,0.49996,0.4931
4,Dropout,0.15,0.55524,0.5391
5,Dropout,0.15,0.59792,0.5775
6,Dropout,0.15,0.63388,0.6086
7,Dropout,0.15,0.67164,0.6209
8,Dropout,0.15,0.70112,0.6414
9,Dropout,0.15,0.7588,0.6839
10,Dropout,0.15,0.76992,0.6774
11,Dropout,0.15,0.77072,0.669
12,Dropout,0.15,0.81552,0.6879
13,Dropout,0.15,0.83776,0.6921
14,Dropout,0.15,0.85656,0.7002
15,Dropout,0.15,0.88048,0.7039
16,Dropout,0.15,0.89068,0.6987
17,Dropout,0.15,0.90348,0.7008
18,Dropout,0.15,0.9176,0.7079
19,Dropout,0.15,0.93204,0.6966
20,Dropout,0.15,0.95192,0.703
21,Dropout,0.15,0.95428,0.7069
22,Dropout,0.15,0.96312,0.7125
23,Dropout,0.15,0.9648,0.7095
24,Dropout,0.15,0.97168,0.7006
25,Dropout,0.15,0.97816,0.7029
26,Dropout,0.15,0.96868,0.6977
27,Dropout,0.15,0.98112,0.6965
28,Dropout,0.15,0.98528,0.7041
29,Dropout,0.15,0.98672,0.7041
30,Dropout,0.15,0.98456,0.7044
31,Dropout,0.15,0.98928,0.6965
32,Dropout,0.15,0.98616,0.6947
33,Dropout,0.15,0.98976,0.6992
34,Dropout,0.15,0.9918,0.7004
35,Dropout,0.15,0.99412,0.7023
36,Dropout,0.15,0.99284,0.6996
37,Dropout,0.15,0.99448,0.6974
38,Dropout,0.15,0.99304,0.7012
39,Dropout,0.15,0.99444,0.7019
40,Dropout,0.15,0.99308,0.6954
41,Dropout,0.15,0.99268,0.7034
42,Dropout,0.15,0.99652,0.6994
43,Dropout,0.15,0.99692,0.7023
44,Dropout,0.15,0.99788,0.708
45,Dropout,0.15,0.99692,0.7008
46,Dropout,0.15,0.99496,0.6968
47,Dropout,0.15,0.99716,0.6973
48,Dropout,0.15,0.99716,0.7036
49,Dropout,0.15,0.9954,0.6951
50,Dropout,0.15,0.9968,0.6939
51,Dropout,0.15,0.99688,0.6922
52,Dropout,0.15,0.9972,0.6948
53,Dropout,0.15,0.9974,0.6998
54,Dropout,0.15,0.99864,0.7026
55,Dropout,0.15,0.9976,0.6996
56,Dropout,0.15,0.99804,0.6957
57,Dropout,0.15,0.99824,0.704
58,Dropout,0.15,0.99872,0.7019
59,Dropout,0.15,0.99868,0.7039
60,Dropout,0.15,0.99812,0.697
1,Dropout,0.2,0.27444,0.2812
2,Dropout,0.2,0.41648,0.4192
3,Dropout,0.2,0.47348,0.4714
4,Dropout,0.2,0.53456,0.5279
5,Dropout,0.2,0.54744,0.5292
6,Dropout,0.2,0.61928,0.5919
7,Dropout,0.2,0.65732,0.6127
8,Dropout,0.2,0.69384,0.6389
9,Dropout,0.2,0.70576,0.6457
10,Dropout,0.2,0.73212,0.6569
11,Dropout,0.2,0.76376,0.6687
12,Dropout,0.2,0.77112,0.674
13,Dropout,0.2,0.8068,0.6904
14,Dropout,0.2,0.82072,0.6888
15,Dropout,0.2,0.8348,0.6894
16,Dropout,0.2,0.86024,0.697
17,Dropout,0.2,0.87072,0.6941
18,Dropout,0.2,0.89208,0.7039
19,Dropout,0.2,0.9056,0.699
20,Dropout,0.2,0.91508,0.7078
21,Dropout,0.2,0.91988,0.7031
22,Dropout,0.2,0.9266,0.6998
23,Dropout,0.2,0.94336,0.7029
24,Dropout,0.2,0.94184,0.7008
25,Dropout,0.2,0.95456,0.7005
26,Dropout,0.2,0.95424,0.6913
27,Dropout,0.2,0.95968,0.6942
28,Dropout,0.2,0.9722,0.7031
29,Dropout,0.2,0.96436,0.6931
30,Dropout,0.2,0.97788,0.6963
31,Dropout,0.2,0.97852,0.6945
32,Dropout,0.2,0.98292,0.6949
33,Dropout,0.2,0.98088,0.6951
34,Dropout,0.2,0.97952,0.6953
35,Dropout,0.2,0.98256,0.6955
36,Dropout,0.2,0.98336,0.6976
37,Dropout,0.2,0.98464,0.6943
38,Dropout,0.2,0.98668,0.6928
39,Dropout,0.2,0.99,0.6972
40,Dropout,0.2,0.99108,0.6985
41,Dropout,0.2,0.9902,0.7029
42,Dropout,0.2,0.9898,0.6944
43,Dropout,0.2,0.9942,0.6999
44,Dropout,0.2,0.99472,0.6978
45,Dropout,0.2,0.99412,0.6972
46,Dropout,0.2,0.99372,0.6988
47,Dropout,0.2,0.99464,0.6999
48,Dropout,0.2,0.99348,0.6922
49,Dropout,0.2,0.99596,0.6944
50,Dropout,0.2,0.99596,0.7012
51,Dropout,0.2,0.99696,0.7014
52,Dropout,0.2,0.9946,0.6903
53,Dropout,0.2,0.99744,0.6981
54,Dropout,0.2,0.99496,0.6911
55,Dropout,0.2,0.9972,0.7026
56,Dropout,0.2,0.99668,0.7013
57,Dropout,0.2,0.99764,0.6953
58,Dropout,0.2,0.99796,0.7018
59,Dropout,0.2,0.99704,0.6951
60,Dropout,0.2,0.99736,0.6918
1,Dropout,0.225,0.25988,0.2645
2,Dropout,0.225,0.40392,0.4041
3,Dropout,0.225,0.48648,0.4861
4,Dropout,0.225,0.50652,0.502
5,Dropout,0.225,0.55724,0.5396
6,Dropout,0.225,0.60732,0.5803
7,Dropout,0.225,0.64096,0.6023
8,Dropout,0.225,0.6756,0.6276
9,Dropout,0.225,0.67912,0.6284
10,Dropout,0.225,0.73492,0.6615
11,Dropout,0.225,0.7554,0.677
12,Dropout,0.225,0.77508,0.6764
13,Dropout,0.225,0.79732,0.6869
14,Dropout,0.225,0.80244,0.6815
15,Dropout,0.225,0.81648,0.683
16,Dropout,0.225,0.85008,0.6923
17,Dropout,0.225,0.87344,0.7064
18,Dropout,0.225,0.88772,0.7022
19,Dropout,0.225,0.89944,0.6989
20,Dropout,0.225,0.90176,0.6988
21,Dropout,0.225,0.9132,0.7082
22,Dropout,0.225,0.91372,0.7037
23,Dropout,0.225,0.92388,0.6947
24,Dropout,0.225,0.93916,0.6993
25,Dropout,0.225,0.95168,0.7068
26,Dropout,0.225,0.95664,0.7027
27,Dropout,0.225,0.96504,0.7074
28,Dropout,0.225,0.968,0.709
29,Dropout,0.225,0.97252,0.7041
30,Dropout,0.225,0.97388,0.7067
31,Dropout,0.225,0.96572,0.7014
32,Dropout,0.225,0.97692,0.7016
33,Dropout,0.225,0.97448,0.6998
34,Dropout,0.225,0.9818,0.7016
35,Dropout,0.225,0.98708,0.6998
36,Dropout,0.225,0.98292,0.699
37,Dropout,0.225,0.98792,0.7077
38,Dropout,0.225,0.98616,0.7014
39,Dropout,0.225,0.98876,0.7002
40,Dropout,0.225,0.98876,0.6965
41,Dropout,0.225,0.9916,0.7064
42,Dropout,0.225,0.98964,0.6999
43,Dropout,0.225,0.98928,0.6943
44,Dropout,0.225,0.99192,0.7062
45,Dropout,0.225,0.99424,0.7022
46,Dropout,0.225,0.99448,0.7119
47,Dropout,0.225,0.99364,0.7044
48,Dropout,0.225,0.99312,0.6986
49,Dropout,0.225,0.99536,0.7026
50,Dropout,0.225,0.99572,0.7048
51,Dropout,0.225,0.99488,0.7067
52,Dropout,0.225,0.9958,0.7038
53,Dropout,0.225,0.99484,0.6994
54,Dropout,0.225,0.99668,0.7001
55,Dropout,0.225,0.99648,0.7075
56,Dropout,0.225,0.99692,0.7056
57,Dropout,0.225,0.99604,0.7019
58,Dropout,0.225,0.99776,0.7072
59,Dropout,0.225,0.99764,0.706
60,Dropout,0.225,0.99756,0.7072
1,Dropout,0.25,0.27988,0.2868
2,Dropout,0.25,0.39268,0.3983
3,Dropout,0.25,0.47668,0.4744
4,Dropout,0.25,0.52752,0.5118
5,Dropout,0.25,0.56648,0.5416
6,Dropout,0.25,0.60756,0.5815
7,Dropout,0.25,0.63876,0.6025
8,Dropout,0.25,0.67772,0.6333
9,Dropout,0.25,0.68044,0.6239
10,Dropout,0.25,0.72688,0.6588
11,Dropout,0.25,0.7422,0.6605
12,Dropout,0.25,0.762,0.6643
13,Dropout,0.25,0.76412,0.667
14,Dropout,0.25,0.79736,0.6847
15,Dropout,0.25,0.82132,0.6937
16,Dropout,0.25,0.83624,0.6968
17,Dropout,0.25,0.85276,0.6956
18,Dropout,0.25,0.86052,0.7024
19,Dropout,0.25,0.8836,0.7038
20,Dropout,0.25,0.88688,0.6987
21,Dropout,0.25,0.89808,0.6996
22,Dropout,0.25,0.90832,0.6993
23,Dropout,0.25,0.92144,0.6994
24,Dropout,0.25,0.92596,0.7028
25,Dropout,0.25,0.94116,0.7057
26,Dropout,0.25,0.94744,0.7054
27,Dropout,0.25,0.93868,0.7018
28,Dropout,0.25,0.95244,0.7076
29,Dropout,0.25,0.9572,0.7004
30,Dropout,0.25,0.95956,0.6983
31,Dropout,0.25,0.96776,0.7002
32,Dropout,0.25,0.97032,0.7055
33,Dropout,0.25,0.97216,0.6976
34,Dropout,0.25,0.97696,0.709
35,Dropout,0.25,0.97588,0.7083
36,Dropout,0.25,0.97896,0.7076
37,Dropout,0.25,0.9816,0.7
38,Dropout,0.25,0.97956,0.7001
39,Dropout,0.25,0.98572,0.7096
40,Dropout,0.25,0.9856,0.7051
41,Dropout,0.25,0.97784,0.6875
42,Dropout,0.25,0.98376,0.6984
43,Dropout,0.25,0.99048,0.7044
44,Dropout,0.25,0.98492,0.697
45,Dropout,0.25,0.98744,0.7014
46,Dropout,0.25,0.99124,0.7014
47,Dropout,0.25,0.99184,0.7035
48,Dropout,0.25,0.9902,0.7065
49,Dropout,0.25,0.9912,0.7057
50,Dropout,0.25,0.99352,0.6995
51,Dropout,0.25,0.99128,0.6992
52,Dropout,0.25,0.99284,0.6985
53,Dropout,0.25,0.99336,0.7029
54,Dropout,0.25,0.99248,0.6995
55,Dropout,0.25,0.99508,0.7022
56,Dropout,0.25,0.99348,0.709
57,Dropout,0.25,0.99512,0.7057
58,Dropout,0.25,0.99496,0.706
59,Dropout,0.25,0.99484,0.7006
60,Dropout,0.25,0.9954,0.7042
1,Dropout,0.275,0.28848,0.2919
2,Dropout,0.275,0.41632,0.4138
3,Dropout,0.275,0.47156,0.4648
4,Dropout,0.275,0.51592,0.5013
5,Dropout,0.275,0.55244,0.5444
6,Dropout,0.275,0.6034,0.5792
7,Dropout,0.275,0.63216,0.5993
8,Dropout,0.275,0.66888,0.626
9,Dropout,0.275,0.69252,0.6342
10,Dropout,0.275,0.7122,0.6529
11,Dropout,0.275,0.73148,0.6563
12,Dropout,0.275,0.763,0.671
13,Dropout,0.275,0.774,0.6723
14,Dropout,0.275,0.78956,0.6772
15,Dropout,0.275,0.81772,0.6875
16,Dropout,0.275,0.82368,0.6906
17,Dropout,0.275,0.83408,0.6888
18,Dropout,0.275,0.85376,0.6978
19,Dropout,0.275,0.85716,0.6969
20,Dropout,0.275,0.87044,0.6934
21,Dropout,0.275,0.88616,0.6997
22,Dropout,0.275,0.89444,0.7049
23,Dropout,0.275,0.90316,0.6969
24,Dropout,0.275,0.92308,0.6993
25,Dropout,0.275,0.93056,0.7055
26,Dropout,0.275,0.9304,0.7062
27,Dropout,0.275,0.93464,0.7056
28,Dropout,0.275,0.93852,0.7014
29,Dropout,0.275,0.94588,0.7071
30,Dropout,0.275,0.94896,0.7031
31,Dropout,0.275,0.9546,0.7042
32,Dropout,0.275,0.95884,0.699
33,Dropout,0.275,0.96524,0.7065
34,Dropout,0.275,0.965,0.7042
35,Dropout,0.275,0.96644,0.7065
36,Dropout,0.275,0.97084,0.7083
37,Dropout,0.275,0.97568,0.713
38,Dropout,0.275,0.97512,0.7065
39,Dropout,0.275,0.98148,0.7127
40,Dropout,0.275,0.97792,0.7086
41,Dropout,0.275,0.9786,0.7041
42,Dropout,0.275,0.98288,0.7079
43,Dropout,0.275,0.98084,0.7094
44,Dropout,0.275,0.98252,0.7072
45,Dropout,0.275,0.98504,0.7066
46,Dropout,0.275,0.97924,0.6972
47,Dropout,0.275,0.98224,0.7
48,Dropout,0.275,0.9874,0.7046
49,Dropout,0.275,0.98792,0.7059
50,Dropout,0.275,0.98876,0.7019
51,Dropout,0.275,0.98808,0.7003
52,Dropout,0.275,0.98708,0.7075
53,Dropout,0.275,0.98704,0.6972
54,Dropout,0.275,0.99328,0.7061
55,Dropout,0.275,0.99044,0.7031
56,Dropout,0.275,0.99112,0.6993
57,Dropout,0.275,0.99136,0.701
58,Dropout,0.275,0.99272,0.705
59,Dropout,0.275,0.99292,0.7019
60,Dropout,0.275,0.99184,0.7031
1,Dropout,0.3,0.29072,0.2964
2,Dropout,0.3,0.3874,0.3903
3,Dropout,0.3,0.45768,0.4563
4,Dropout,0.3,0.52768,0.5174
5,Dropout,0.3,0.56268,0.5462
6,Dropout,0.3,0.59564,0.5753
7,Dropout,0.3,0.63264,0.5947
8,Dropout,0.3,0.66432,0.6241
9,Dropout,0.3,0.69444,0.647
10,Dropout,0.3,0.70188,0.6436
11,Dropout,0.3,0.71664,0.6513
12,Dropout,0.3,0.75872,0.6746
13,Dropout,0.3,0.74172,0.655
14,Dropout,0.3,0.794,0.688
15,Dropout,0.3,0.80368,0.6922
16,Dropout,0.3,0.81784,0.6952
17,Dropout,0.3,0.83548,0.7006
18,Dropout,0.3,0.85224,0.7077
19,Dropout,0.3,0.85772,0.7064
20,Dropout,0.3,0.86428,0.7027
21,Dropout,0.3,0.8858,0.704
22,Dropout,0.3,0.89028,0.7108
23,Dropout,0.3,0.90028,0.7109
24,Dropout,0.3,0.90764,0.7026
25,Dropout,0.3,0.91584,0.7082
26,Dropout,0.3,0.9252,0.7129
27,Dropout,0.3,0.92464,0.705
28,Dropout,0.3,0.93904,0.713
29,Dropout,0.3,0.949,0.7187
30,Dropout,0.3,0.94476,0.7073
31,Dropout,0.3,0.95232,0.7137
32,Dropout,0.3,0.95936,0.716
33,Dropout,0.3,0.95824,0.7088
34,Dropout,0.3,0.96104,0.7155
35,Dropout,0.3,0.9576,0.707
36,Dropout,0.3,0.96144,0.7138
37,Dropout,0.3,0.9698,0.7166
38,Dropout,0.3,0.96832,0.7104
39,Dropout,0.3,0.97176,0.7151
40,Dropout,0.3,0.97352,0.7144
41,Dropout,0.3,0.97604,0.7204
42,Dropout,0.3,0.97624,0.7097
43,Dropout,0.3,0.97732,0.7137
44,Dropout,0.3,0.983,0.717
45,Dropout,0.3,0.98204,0.7165
46,Dropout,0.3,0.9818,0.7136
47,Dropout,0.3,0.98296,0.7101
48,Dropout,0.3,0.98724,0.7156
49,Dropout,0.3,0.98244,0.7128
50,Dropout,0.3,0.98404,0.7071
51,Dropout,0.3,0.9882,0.7137
52,Dropout,0.3,0.98768,0.7104
53,Dropout,0.3,0.9828,0.7038
54,Dropout,0.3,0.99148,0.7168
55,Dropout,0.3,0.99044,0.7189
56,Dropout,0.3,0.99088,0.714
57,Dropout,0.3,0.99112,0.7123
58,Dropout,0.3,0.99312,0.7068
59,Dropout,0.3,0.99084,0.7065
60,Dropout,0.3,0.99248,0.7123
1,Dropout,0.325,0.28136,0.2845
2,Dropout,0.325,0.3938,0.4018
3,Dropout,0.325,0.46168,0.4606
4,Dropout,0.325,0.50056,0.4919
5,Dropout,0.325,0.525,0.5149
6,Dropout,0.325,0.57524,0.5515
7,Dropout,0.325,0.62148,0.5905
8,Dropout,0.325,0.6396,0.6048
9,Dropout,0.325,0.6744,0.6231
10,Dropout,0.325,0.69124,0.6327
11,Dropout,0.325,0.7266,0.6555
12,Dropout,0.325,0.73,0.6597
