epoch,reg_method,reg_val,train_acc,val_acc
1,L2,0.0,0.34332,0.3468
2,L2,0.0,0.44864,0.4436
3,L2,0.0,0.52596,0.5154
4,L2,0.0,0.59796,0.5711
5,L2,0.0,0.65132,0.6136
6,L2,0.0,0.66916,0.6188
7,L2,0.0,0.69228,0.6267
8,L2,0.0,0.76224,0.6658
9,L2,0.0,0.77964,0.6649
10,L2,0.0,0.81436,0.6767
11,L2,0.0,0.86004,0.6829
12,L2,0.0,0.88276,0.6891
13,L2,0.0,0.91228,0.6824
14,L2,0.0,0.92356,0.6853
15,L2,0.0,0.93348,0.6749
16,L2,0.0,0.93252,0.669
17,L2,0.0,0.93276,0.6562
18,L2,0.0,0.9744,0.682
19,L2,0.0,0.97292,0.6839
20,L2,0.0,0.96716,0.677
21,L2,0.0,0.95852,0.6633
22,L2,0.0,0.98196,0.6805
23,L2,0.0,0.96724,0.6708
24,L2,0.0,0.979,0.6835
25,L2,0.0,0.98296,0.6821
26,L2,0.0,0.97636,0.6781
27,L2,0.0,0.98996,0.6885
28,L2,0.0,0.98248,0.6782
29,L2,0.0,0.97388,0.6786
30,L2,0.0,0.98452,0.6807
31,L2,0.0,0.986,0.6793
32,L2,0.0,0.99348,0.6859
33,L2,0.0,0.9932,0.6771
34,L2,0.0,0.98208,0.6795
35,L2,0.0,0.98924,0.6804
36,L2,0.0,0.98276,0.664
37,L2,0.0,0.98864,0.6842
38,L2,0.0,0.99336,0.6865
39,L2,0.0,0.98796,0.6791
40,L2,0.0,0.98784,0.683
41,L2,0.0,0.98648,0.6658
42,L2,0.0,0.97344,0.6693
43,L2,0.0,0.99692,0.6931
44,L2,0.0,0.99236,0.688
45,L2,0.0,0.99276,0.6879
46,L2,0.0,0.9928,0.688
47,L2,0.0,0.99472,0.6809
48,L2,0.0,0.98276,0.6658
49,L2,0.0,0.99488,0.68
50,L2,0.0,0.98648,0.6718
51,L2,0.0,0.9876,0.6732
52,L2,0.0,0.99104,0.6807
53,L2,0.0,0.99488,0.6833
54,L2,0.0,0.99296,0.6775
55,L2,0.0,0.99516,0.6796
56,L2,0.0,0.99244,0.6728
57,L2,0.0,0.98672,0.6739
58,L2,0.0,0.98988,0.6825
59,L2,0.0,0.9898,0.6782
60,L2,0.0,0.98984,0.6856
1,L2,0.0001,0.32648,0.3434
2,L2,0.0001,0.46092,0.459
3,L2,0.0001,0.53196,0.5198
4,L2,0.0001,0.57072,0.5495
5,L2,0.0001,0.62088,0.5864
6,L2,0.0001,0.65916,0.6119
7,L2,0.0001,0.7122,0.643
8,L2,0.0001,0.75676,0.6687
9,L2,0.0001,0.7894,0.6757
10,L2,0.0001,0.8096,0.6797
11,L2,0.0001,0.8464,0.6886
12,L2,0.0001,0.8538,0.6797
13,L2,0.0001,0.86092,0.6707
14,L2,0.0001,0.90812,0.6832
15,L2,0.0001,0.92716,0.6816
16,L2,0.0001,0.94572,0.6842
17,L2,0.0001,0.955,0.682
18,L2,0.0001,0.95168,0.6751
19,L2,0.0001,0.95716,0.6721
20,L2,0.0001,0.9724,0.6764
21,L2,0.0001,0.97768,0.6843
22,L2,0.0001,0.9726,0.678
23,L2,0.0001,0.97836,0.6909
24,L2,0.0001,0.96996,0.6739
25,L2,0.0001,0.98172,0.6817
26,L2,0.0001,0.98256,0.6846
27,L2,0.0001,0.98636,0.6794
28,L2,0.0001,0.98788,0.6852
29,L2,0.0001,0.99088,0.6857
30,L2,0.0001,0.99116,0.6791
31,L2,0.0001,0.9966,0.6896
32,L2,0.0001,0.99996,0.7056
33,L2,0.0001,0.99988,0.7058
34,L2,0.0001,1.0,0.7109
35,L2,0.0001,1.0,0.7116
36,L2,0.0001,1.0,0.7117
37,L2,0.0001,1.0,0.7116
38,L2,0.0001,1.0,0.7113
39,L2,0.0001,1.0,0.7121
40,L2,0.0001,1.0,0.7121
41,L2,0.0001,1.0,0.7117
42,L2,0.0001,1.0,0.7118
43,L2,0.0001,1.0,0.7103
44,L2,0.0001,1.0,0.7111
45,L2,0.0001,1.0,0.7112
46,L2,0.0001,1.0,0.7112
47,L2,0.0001,1.0,0.7116
48,L2,0.0001,1.0,0.7101
49,L2,0.0001,1.0,0.7126
50,L2,0.0001,1.0,0.7121
51,L2,0.0001,1.0,0.7113
52,L2,0.0001,1.0,0.712
53,L2,0.0001,1.0,0.7126
54,L2,0.0001,1.0,0.7115
55,L2,0.0001,1.0,0.7127
56,L2,0.0001,1.0,0.713
57,L2,0.0001,1.0,0.7136
58,L2,0.0001,1.0,0.7113
59,L2,0.0001,1.0,0.7135
60,L2,0.0001,1.0,0.7125
1,L2,0.0005,0.27152,0.2812
2,L2,0.0005,0.44368,0.4405
3,L2,0.0005,0.49792,0.485
4,L2,0.0005,0.55168,0.5401
5,L2,0.0005,0.60996,0.5802
6,L2,0.0005,0.62696,0.5959
7,L2,0.0005,0.69268,0.6355
8,L2,0.0005,0.71184,0.6394
9,L2,0.0005,0.71296,0.629
10,L2,0.0005,0.7788,0.6712
11,L2,0.0005,0.79008,0.6599
12,L2,0.0005,0.82468,0.6671
13,L2,0.0005,0.85904,0.683
14,L2,0.0005,0.86708,0.674
15,L2,0.0005,0.89428,0.6823
16,L2,0.0005,0.91576,0.6841
17,L2,0.0005,0.9148,0.6791
18,L2,0.0005,0.9516,0.688
19,L2,0.0005,0.91248,0.6641
20,L2,0.0005,0.94792,0.6743
21,L2,0.0005,0.95396,0.6738
22,L2,0.0005,0.95936,0.6719
23,L2,0.0005,0.97096,0.6787
24,L2,0.0005,0.97676,0.6744
25,L2,0.0005,0.9798,0.6828
26,L2,0.0005,0.98708,0.6894
27,L2,0.0005,0.9868,0.6847
28,L2,0.0005,0.99028,0.6861
29,L2,0.0005,0.99,0.6937
30,L2,0.0005,0.98788,0.6842
31,L2,0.0005,0.97804,0.6785
32,L2,0.0005,0.97556,0.6736
33,L2,0.0005,0.9836,0.6822
34,L2,0.0005,0.98424,0.6808
35,L2,0.0005,0.98812,0.6811
36,L2,0.0005,0.99172,0.6882
37,L2,0.0005,0.98632,0.6859
38,L2,0.0005,0.99452,0.6921
39,L2,0.0005,0.9944,0.6916
40,L2,0.0005,0.99972,0.6971
41,L2,0.0005,0.99908,0.6986
42,L2,0.0005,0.99988,0.6999
43,L2,0.0005,0.99996,0.7061
44,L2,0.0005,0.99976,0.7053
45,L2,0.0005,0.9992,0.7044
46,L2,0.0005,0.99896,0.6972
47,L2,0.0005,0.9432,0.6603
48,L2,0.0005,0.937,0.6588
49,L2,0.0005,0.96304,0.6772
50,L2,0.0005,0.97132,0.6762
51,L2,0.0005,0.9648,0.6686
52,L2,0.0005,0.97852,0.6779
53,L2,0.0005,0.99372,0.6921
54,L2,0.0005,0.99768,0.6944
55,L2,0.0005,0.99848,0.697
56,L2,0.0005,0.99996,0.7063
57,L2,0.0005,0.99996,0.7069
58,L2,0.0005,1.0,0.7061
59,L2,0.0005,1.0,0.7066
60,L2,0.0005,0.99988,0.7059
1,L2,0.001,0.33228,0.3357
2,L2,0.001,0.43024,0.432
3,L2,0.001,0.5162,0.5127
4,L2,0.001,0.557,0.5382
5,L2,0.001,0.606,0.5767
6,L2,0.001,0.6316,0.5954
7,L2,0.001,0.6962,0.6437
8,L2,0.001,0.72096,0.6505
9,L2,0.001,0.74444,0.6644
10,L2,0.001,0.78568,0.6846
11,L2,0.001,0.75436,0.6527
12,L2,0.001,0.82044,0.6877
13,L2,0.001,0.8352,0.6985
14,L2,0.001,0.8532,0.6974
15,L2,0.001,0.83412,0.6768
16,L2,0.001,0.89156,0.6996
17,L2,0.001,0.8794,0.6981
18,L2,0.001,0.93348,0.7035
19,L2,0.001,0.93244,0.6993
20,L2,0.001,0.90504,0.6783
21,L2,0.001,0.92808,0.6907
22,L2,0.001,0.94852,0.7022
23,L2,0.001,0.93916,0.6932
24,L2,0.001,0.91012,0.6831
25,L2,0.001,0.95576,0.6982
26,L2,0.001,0.95888,0.6938
27,L2,0.001,0.96584,0.6974
28,L2,0.001,0.95,0.691
29,L2,0.001,0.9608,0.6898
30,L2,0.001,0.96152,0.682
31,L2,0.001,0.94992,0.6736
32,L2,0.001,0.97852,0.7006
33,L2,0.001,0.9612,0.6946
34,L2,0.001,0.96112,0.6858
35,L2,0.001,0.97536,0.6947
36,L2,0.001,0.97784,0.7001
37,L2,0.001,0.96268,0.6903
38,L2,0.001,0.97408,0.6978
39,L2,0.001,0.96504,0.6907
40,L2,0.001,0.96848,0.6951
41,L2,0.001,0.98344,0.7057
42,L2,0.001,0.97744,0.6902
43,L2,0.001,0.96988,0.6957
44,L2,0.001,0.97908,0.6968
45,L2,0.001,0.97952,0.6957
46,L2,0.001,0.97436,0.6913
47,L2,0.001,0.9608,0.6801
48,L2,0.001,0.97732,0.6891
49,L2,0.001,0.97884,0.6908
50,L2,0.001,0.9866,0.6994
51,L2,0.001,0.9816,0.7048
52,L2,0.001,0.97804,0.6984
53,L2,0.001,0.97616,0.6899
54,L2,0.001,0.966,0.6859
55,L2,0.001,0.97796,0.69
56,L2,0.001,0.98044,0.7028
57,L2,0.001,0.96036,0.6877
58,L2,0.001,0.98644,0.6948
59,L2,0.001,0.96572,0.6766
60,L2,0.001,0.97632,0.6816
1,L2,0.0015,0.27472,0.2835
2,L2,0.0015,0.43316,0.4311
3,L2,0.0015,0.48048,0.4783
4,L2,0.0015,0.5296,0.5165
5,L2,0.0015,0.57012,0.5521
6,L2,0.0015,0.62628,0.5944
7,L2,0.0015,0.65496,0.6154
8,L2,0.0015,0.68076,0.625
9,L2,0.0015,0.70864,0.6442
10,L2,0.0015,0.73148,0.6569
11,L2,0.0015,0.72304,0.6354
12,L2,0.0015,0.76852,0.6667
13,L2,0.0015,0.78596,0.6677
14,L2,0.0015,0.81336,0.6808
15,L2,0.0015,0.8082,0.6779
16,L2,0.0015,0.82288,0.6727
17,L2,0.0015,0.85032,0.6906
18,L2,0.0015,0.8416,0.6751
19,L2,0.0015,0.86924,0.6802
20,L2,0.0015,0.88508,0.6876
21,L2,0.0015,0.86424,0.6761
22,L2,0.0015,0.88412,0.6714
23,L2,0.0015,0.9072,0.6865
24,L2,0.0015,0.85084,0.65
25,L2,0.0015,0.92112,0.6829
26,L2,0.0015,0.9304,0.6956
27,L2,0.0015,0.90464,0.6759
28,L2,0.0015,0.9272,0.6846
29,L2,0.0015,0.94272,0.6963
30,L2,0.0015,0.942,0.6867
31,L2,0.0015,0.94364,0.6808
32,L2,0.0015,0.93272,0.6747
33,L2,0.0015,0.94828,0.6931
34,L2,0.0015,0.93908,0.6827
35,L2,0.0015,0.9396,0.6869
36,L2,0.0015,0.918,0.668
37,L2,0.0015,0.94316,0.6859
38,L2,0.0015,0.95128,0.6873
39,L2,0.0015,0.94832,0.69
40,L2,0.0015,0.95112,0.6842
41,L2,0.0015,0.9544,0.6841
42,L2,0.0015,0.96016,0.6861
43,L2,0.0015,0.96996,0.6993
44,L2,0.0015,0.96616,0.693
45,L2,0.0015,0.95528,0.6863
46,L2,0.0015,0.96948,0.6903
47,L2,0.0015,0.96016,0.6883
48,L2,0.0015,0.94568,0.6729
49,L2,0.0015,0.93972,0.6704
50,L2,0.0015,0.95836,0.682
