epoch,reg_method,reg_val,train_acc,val_acc
1,Baseline,0.0,0.03304,0.0302
2,Baseline,0.0,0.09088,0.0932
3,Baseline,0.0,0.1274,0.1258
4,Baseline,0.0,0.16304,0.158
5,Baseline,0.0,0.1954,0.1779
6,Baseline,0.0,0.2458,0.2216
7,Baseline,0.0,0.276,0.2395
8,Baseline,0.0,0.30452,0.2479
9,Baseline,0.0,0.3484,0.2784
10,Baseline,0.0,0.4002,0.3073
11,Baseline,0.0,0.4034,0.2898
12,Baseline,0.0,0.4494,0.3101
13,Baseline,0.0,0.49852,0.3195
14,Baseline,0.0,0.54352,0.3198
15,Baseline,0.0,0.59392,0.3237
16,Baseline,0.0,0.64116,0.3199
17,Baseline,0.0,0.66504,0.3214
18,Baseline,0.0,0.70552,0.3117
19,Baseline,0.0,0.75372,0.3119
20,Baseline,0.0,0.7892,0.3124
21,Baseline,0.0,0.8152,0.3104
22,Baseline,0.0,0.85748,0.3094
23,Baseline,0.0,0.8638,0.3049
24,Baseline,0.0,0.86244,0.3031
25,Baseline,0.0,0.87816,0.2984
26,Baseline,0.0,0.86888,0.2899
27,Baseline,0.0,0.88528,0.2968
28,Baseline,0.0,0.88816,0.2961
29,Baseline,0.0,0.9164,0.2911
30,Baseline,0.0,0.92308,0.2956
31,Baseline,0.0,0.91748,0.2975
32,Baseline,0.0,0.94276,0.2978
33,Baseline,0.0,0.93156,0.2922
34,Baseline,0.0,0.93512,0.3018
35,Baseline,0.0,0.94032,0.295
36,Baseline,0.0,0.91888,0.2874
37,Baseline,0.0,0.91708,0.2856
38,Baseline,0.0,0.9442,0.2977
39,Baseline,0.0,0.92432,0.2818
40,Baseline,0.0,0.9438,0.2859
41,Baseline,0.0,0.93128,0.2782
42,Baseline,0.0,0.90572,0.2694
43,Baseline,0.0,0.9342,0.2857
44,Baseline,0.0,0.93672,0.2845
45,Baseline,0.0,0.93088,0.2804
46,Baseline,0.0,0.91828,0.2811
47,Baseline,0.0,0.92916,0.2834
48,Baseline,0.0,0.9468,0.2834
49,Baseline,0.0,0.93204,0.2756
50,Baseline,0.0,0.9262,0.2817
51,Baseline,0.0,0.92536,0.2796
52,Baseline,0.0,0.899,0.2752
53,Baseline,0.0,0.93804,0.2904
54,Baseline,0.0,0.9316,0.2807
55,Baseline,0.0,0.94256,0.284
56,Baseline,0.0,0.93524,0.2803
57,Baseline,0.0,0.92064,0.2744
58,Baseline,0.0,0.93552,0.2759
59,Baseline,0.0,0.93552,0.2821
60,Baseline,0.0,0.89348,0.2704
