epoch,reg_method,reg_val,train_acc,val_acc
1,BatchNorm,1,0.1208,0.1135
2,BatchNorm,1,0.18644,0.1748
3,BatchNorm,1,0.35032,0.2937
4,BatchNorm,1,0.41112,0.3328
5,BatchNorm,1,0.4382,0.3379
6,BatchNorm,1,0.4386,0.333
7,BatchNorm,1,0.49956,0.3558
8,BatchNorm,1,0.5656,0.3775
9,BatchNorm,1,0.62816,0.4011
10,BatchNorm,1,0.60872,0.3694
11,BatchNorm,1,0.65248,0.3773
12,BatchNorm,1,0.67768,0.3754
13,BatchNorm,1,0.77064,0.3919
14,BatchNorm,1,0.70924,0.3542
15,BatchNorm,1,0.76304,0.3676
16,BatchNorm,1,0.87792,0.4003
17,BatchNorm,1,0.8566,0.3817
18,BatchNorm,1,0.8488,0.3697
19,BatchNorm,1,0.89628,0.3805
20,BatchNorm,1,0.9214,0.3812
21,BatchNorm,1,0.94052,0.3859
22,BatchNorm,1,0.918,0.3772
23,BatchNorm,1,0.93076,0.3778
24,BatchNorm,1,0.97016,0.3896
25,BatchNorm,1,0.98188,0.3886
26,BatchNorm,1,0.97972,0.3878
27,BatchNorm,1,0.99488,0.4005
28,BatchNorm,1,0.9958,0.4066
29,BatchNorm,1,0.99964,0.4098
30,BatchNorm,1,0.99992,0.4112
31,BatchNorm,1,0.9998,0.4116
32,BatchNorm,1,0.99996,0.4116
33,BatchNorm,1,0.99992,0.4141
34,BatchNorm,1,0.99996,0.4139
35,BatchNorm,1,0.99996,0.4121
36,BatchNorm,1,0.99996,0.4159
37,BatchNorm,1,0.99996,0.4142
38,BatchNorm,1,0.99996,0.4151
39,BatchNorm,1,0.99996,0.4158
40,BatchNorm,1,0.99996,0.414
41,BatchNorm,1,0.99996,0.416
42,BatchNorm,1,1.0,0.4129
43,BatchNorm,1,1.0,0.4167
44,BatchNorm,1,1.0,0.417
45,BatchNorm,1,1.0,0.4151
46,BatchNorm,1,1.0,0.4179
47,BatchNorm,1,1.0,0.4159
48,BatchNorm,1,1.0,0.4155
49,BatchNorm,1,1.0,0.4168
50,BatchNorm,1,1.0,0.4156
51,BatchNorm,1,1.0,0.4171
52,BatchNorm,1,1.0,0.4177
53,BatchNorm,1,1.0,0.4164
54,BatchNorm,1,1.0,0.4135
55,BatchNorm,1,1.0,0.4178
56,BatchNorm,1,1.0,0.4158
57,BatchNorm,1,1.0,0.4163
58,BatchNorm,1,1.0,0.4153
59,BatchNorm,1,1.0,0.4147
60,BatchNorm,1,1.0,0.4161
