epoch,reg_method,reg_val,train_acc,val_acc
1,EarlyStopping,3,0.01424,0.013
2,EarlyStopping,3,0.08548,0.0816
3,EarlyStopping,3,0.12684,0.1223
4,EarlyStopping,3,0.16452,0.152
5,EarlyStopping,3,0.21332,0.1913
6,EarlyStopping,3,0.26228,0.2239
7,EarlyStopping,3,0.29684,0.2469
8,EarlyStopping,3,0.32508,0.2576
9,EarlyStopping,3,0.37736,0.2871
10,EarlyStopping,3,0.40852,0.2999
11,EarlyStopping,3,0.43188,0.2997
12,EarlyStopping,3,0.49816,0.3142
13,EarlyStopping,3,0.55928,0.3272
14,EarlyStopping,3,0.57908,0.3142
15,EarlyStopping,3,0.65,0.3162
16,EarlyStopping,3,0.70748,0.3228
1,EarlyStopping,5,0.02008,0.0189
2,EarlyStopping,5,0.06908,0.0643
3,EarlyStopping,5,0.11356,0.1118
4,EarlyStopping,5,0.15544,0.1496
5,EarlyStopping,5,0.20056,0.1819
6,EarlyStopping,5,0.22756,0.2005
7,EarlyStopping,5,0.2958,0.2536
8,EarlyStopping,5,0.32944,0.2715
9,EarlyStopping,5,0.37132,0.2942
10,EarlyStopping,5,0.4082,0.3073
11,EarlyStopping,5,0.43564,0.3114
12,EarlyStopping,5,0.48056,0.3169
13,EarlyStopping,5,0.51176,0.3267
14,EarlyStopping,5,0.54716,0.3147
15,EarlyStopping,5,0.5886,0.3244
16,EarlyStopping,5,0.65316,0.3311
17,EarlyStopping,5,0.70316,0.326
18,EarlyStopping,5,0.73368,0.3206
19,EarlyStopping,5,0.76228,0.3168
20,EarlyStopping,5,0.7984,0.3158
21,EarlyStopping,5,0.80268,0.3086
1,EarlyStopping,8,0.02568,0.0277
2,EarlyStopping,8,0.0894,0.0877
3,EarlyStopping,8,0.13808,0.1338
4,EarlyStopping,8,0.16416,0.1566
5,EarlyStopping,8,0.19396,0.1784
6,EarlyStopping,8,0.24624,0.2209
7,EarlyStopping,8,0.29748,0.2563
8,EarlyStopping,8,0.33492,0.2762
9,EarlyStopping,8,0.37036,0.3
10,EarlyStopping,8,0.38744,0.3018
11,EarlyStopping,8,0.44248,0.3194
12,EarlyStopping,8,0.47892,0.3318
13,EarlyStopping,8,0.51456,0.3305
14,EarlyStopping,8,0.55028,0.3364
15,EarlyStopping,8,0.58824,0.3314
16,EarlyStopping,8,0.66168,0.3393
17,EarlyStopping,8,0.68792,0.3311
18,EarlyStopping,8,0.73432,0.3254
19,EarlyStopping,8,0.75616,0.3209
20,EarlyStopping,8,0.78932,0.3182
21,EarlyStopping,8,0.80936,0.3087
22,EarlyStopping,8,0.83284,0.3137
23,EarlyStopping,8,0.82524,0.2946
24,EarlyStopping,8,0.8816,0.3094
1,EarlyStopping,12,0.03316,0.031
2,EarlyStopping,12,0.08776,0.0843
3,EarlyStopping,12,0.13064,0.1251
4,EarlyStopping,12,0.16952,0.1537
5,EarlyStopping,12,0.20792,0.1838
6,EarlyStopping,12,0.26432,0.233
7,EarlyStopping,12,0.30004,0.2542
8,EarlyStopping,12,0.34184,0.2764
9,EarlyStopping,12,0.36836,0.2906
10,EarlyStopping,12,0.41712,0.3084
11,EarlyStopping,12,0.44376,0.3097
12,EarlyStopping,12,0.50972,0.326
13,EarlyStopping,12,0.53164,0.3218
14,EarlyStopping,12,0.57484,0.3237
15,EarlyStopping,12,0.63664,0.3301
16,EarlyStopping,12,0.67504,0.326
17,EarlyStopping,12,0.7088,0.3167
18,EarlyStopping,12,0.73356,0.3093
19,EarlyStopping,12,0.76792,0.3127
20,EarlyStopping,12,0.80656,0.3114
21,EarlyStopping,12,0.82656,0.3036
22,EarlyStopping,12,0.83896,0.3068
23,EarlyStopping,12,0.86444,0.2997
24,EarlyStopping,12,0.88492,0.2986
25,EarlyStopping,12,0.90892,0.3026
26,EarlyStopping,12,0.89268,0.2938
27,EarlyStopping,12,0.89728,0.2966
