epoch,reg_method,reg_val,train_acc,val_acc
1,Baseline,0.0,0.75704,0.7465
2,Baseline,0.0,0.846,0.8357
3,Baseline,0.0,0.86744,0.853
4,Baseline,0.0,0.88488,0.8705
5,Baseline,0.0,0.89408,0.8756
6,Baseline,0.0,0.90316,0.8822
7,Baseline,0.0,0.91088,0.8864
8,Baseline,0.0,0.90124,0.8725
9,Baseline,0.0,0.90688,0.8797
10,Baseline,0.0,0.92616,0.8986
11,Baseline,0.0,0.91968,0.8854
12,Baseline,0.0,0.9342,0.8946
13,Baseline,0.0,0.93196,0.8913
14,Baseline,0.0,0.94564,0.8964
15,Baseline,0.0,0.94948,0.8984
16,Baseline,0.0,0.95128,0.8989
17,Baseline,0.0,0.947,0.8967
18,Baseline,0.0,0.9446,0.8865
19,Baseline,0.0,0.9526,0.8927
20,Baseline,0.0,0.95752,0.8972
21,Baseline,0.0,0.9712,0.9062
22,Baseline,0.0,0.96976,0.8989
23,Baseline,0.0,0.97204,0.9019
24,Baseline,0.0,0.96848,0.8936
25,Baseline,0.0,0.9828,0.9035
26,Baseline,0.0,0.98032,0.9003
27,Baseline,0.0,0.97864,0.9001
28,Baseline,0.0,0.97988,0.9018
29,Baseline,0.0,0.98368,0.9019
30,Baseline,0.0,0.98996,0.9023
31,Baseline,0.0,0.989,0.9001
32,Baseline,0.0,0.9876,0.9026
33,Baseline,0.0,0.98224,0.8957
34,Baseline,0.0,0.985,0.9018
35,Baseline,0.0,0.99348,0.9047
36,Baseline,0.0,0.99012,0.9059
37,Baseline,0.0,0.9914,0.8982
38,Baseline,0.0,0.99028,0.8977
39,Baseline,0.0,0.98588,0.8968
40,Baseline,0.0,0.99,0.9037
41,Baseline,0.0,0.9938,0.9037
42,Baseline,0.0,0.9968,0.9037
43,Baseline,0.0,0.99796,0.9048
44,Baseline,0.0,0.99568,0.9031
45,Baseline,0.0,0.99768,0.9085
46,Baseline,0.0,0.98584,0.8922
47,Baseline,0.0,0.99472,0.9039
48,Baseline,0.0,0.99688,0.9045
49,Baseline,0.0,0.99528,0.899
50,Baseline,0.0,0.99144,0.8971
51,Baseline,0.0,0.99572,0.9016
52,Baseline,0.0,0.99548,0.9005
53,Baseline,0.0,0.99916,0.9106
54,Baseline,0.0,0.99772,0.9077
55,Baseline,0.0,0.9998,0.9086
56,Baseline,0.0,1.0,0.9105
57,Baseline,0.0,1.0,0.9113
58,Baseline,0.0,1.0,0.9111
59,Baseline,0.0,1.0,0.9112
60,Baseline,0.0,1.0,0.911
