epoch,reg_method,reg_val,train_acc,val_acc
1,DataAug,1,0.18988,0.1958743085433313
2,DataAug,1,0.18988,0.1958743085433313
3,DataAug,1,0.4228,0.4247464658881377
4,DataAug,1,0.69088,0.6828134603564844
5,DataAug,1,0.72744,0.6958743085433313
6,DataAug,1,0.79304,0.7663260602335586
7,DataAug,1,0.80568,0.7629840196681008
8,DataAug,1,0.84556,0.800860479409957
9,DataAug,1,0.86248,0.8128457283343578
10,DataAug,1,0.86724,0.823179164105716
11,DataAug,1,0.89348,0.8371235402581438
12,DataAug,1,0.9004,0.8402350952673633
13,DataAug,1,0.90348,0.831860786724032
14,DataAug,1,0.91,0.8432698217578365
15,DataAug,1,0.91764,0.8422710510141365
16,DataAug,1,0.91356,0.8365857406269207
17,DataAug,1,0.93264,0.8519130301167793
18,DataAug,1,0.94232,0.8477258758451137
19,DataAug,1,0.94628,0.8597495390288875
20,DataAug,1,0.94652,0.8470728334357713
21,DataAug,1,0.94796,0.8415027658266748
22,DataAug,1,0.95864,0.8507221880762139
23,DataAug,1,0.96244,0.8448448063921328
24,DataAug,1,0.962,0.8449216349108789
25,DataAug,1,0.96188,0.8471112476951445
26,DataAug,1,0.96464,0.8479947756607252
27,DataAug,1,0.96736,0.8490703749231715
28,DataAug,1,0.97044,0.8567532267977873
29,DataAug,1,0.97268,0.8442301782421635
30,DataAug,1,0.9752,0.8547172710510141
31,DataAug,1,0.98008,0.8542947141979103
32,DataAug,1,0.97288,0.8470728334357713
33,DataAug,1,0.97688,0.842539950829748
34,DataAug,1,0.97904,0.8455746773202213
35,DataAug,1,0.95368,0.8262907191149355
36,DataAug,1,0.9762,0.8436539643515673
37,DataAug,1,0.97704,0.8484941610325752
38,DataAug,1,0.97732,0.8402350952673633
39,DataAug,1,0.97944,0.8510295021511985
40,DataAug,1,0.9762,0.8426167793484942
41,DataAug,1,0.98728,0.8491856177012908
42,DataAug,1,0.98904,0.8528349723417332
43,DataAug,1,0.97404,0.8400430239704979
44,DataAug,1,0.98764,0.8504532882606023
45,DataAug,1,0.97832,0.8403503380454825
46,DataAug,1,0.98268,0.8490703749231715
47,DataAug,1,0.98144,0.849838660110633
48,DataAug,1,0.9848,0.8471880762138906
49,DataAug,1,0.98352,0.8463813767670559
50,DataAug,1,0.98524,0.8469191763982791
51,DataAug,1,0.9812,0.8492240319606638
52,DataAug,1,0.98996,0.8498770743700061
53,DataAug,1,0.98956,0.8448063921327597
54,DataAug,1,0.98856,0.8461124769514444
55,DataAug,1,0.98484,0.8486862323294407
56,DataAug,1,0.9876,0.8514520590043024
57,DataAug,1,0.99152,0.8421558082360172
58,DataAug,1,0.98196,0.8377381684081131
59,DataAug,1,0.98904,0.8466886908420406
60,DataAug,1,0.98904,0.8495697602950215
1,DataAug,2,0.18988,0.1958743085433313
2,DataAug,2,0.18988,0.1958743085433313
3,DataAug,2,0.18988,0.1958743085433313
4,DataAug,2,0.28,0.31929932390903504
5,DataAug,2,0.41956,0.47579901659496004
6,DataAug,2,0.58076,0.6646051014136447
7,DataAug,2,0.61832,0.6861939151813153
8,DataAug,2,0.68044,0.738821450522434
9,DataAug,2,0.7192,0.7717040565457898
10,DataAug,2,0.75512,0.7940611555009219
11,DataAug,2,0.78212,0.8123847572218807
12,DataAug,2,0.79052,0.8075445605408728
13,DataAug,2,0.81752,0.8410802089735709
14,DataAug,2,0.81816,0.8364704978488015
15,DataAug,2,0.82128,0.8360863552550707
16,DataAug,2,0.83836,0.8563690842040566
17,DataAug,2,0.83216,0.8519514443761524
18,DataAug,2,0.84596,0.8540642286416718
19,DataAug,2,0.85568,0.8678165334972342
20,DataAug,2,0.85956,0.8634373079287031
21,DataAug,2,0.865,0.8702366318377381
22,DataAug,2,0.86852,0.8737707437000615
23,DataAug,2,0.87656,0.8763829133374309
24,DataAug,2,0.87788,0.881299938537185
25,DataAug,2,0.87092,0.878841425937308
26,DataAug,2,0.87868,0.8807237246465888
27,DataAug,2,0.88072,0.884181007990166
28,DataAug,2,0.87944,0.8826828518746158
29,DataAug,2,0.88572,0.8869084204056545
30,DataAug,2,0.8866,0.8770743700061463
31,DataAug,2,0.89468,0.8917102028272895
32,DataAug,2,0.8948,0.8919406883835279
33,DataAug,2,0.89744,0.8867931776275353
34,DataAug,2,0.89964,0.8957437000614629
35,DataAug,2,0.9006,0.8952059004302397
36,DataAug,2,0.90416,0.8923248309772588
37,DataAug,2,0.90236,0.8955516287645974
38,DataAug,2,0.89848,0.8952443146896127
39,DataAug,2,0.901,0.8886754763368162
40,DataAug,2,0.90484,0.8946296865396435
41,DataAug,2,0.91352,0.9033113091579594
42,DataAug,2,0.90456,0.8990089121081746
43,DataAug,2,0.91472,0.9022741241548863
44,DataAug,2,0.91024,0.895359557467732
45,DataAug,2,0.91228,0.8959741856177013
46,DataAug,2,0.9116,0.8926705593116164
47,DataAug,2,0.91424,0.8976259987707437
48,DataAug,2,0.90812,0.8899047326367547
49,DataAug,2,0.91172,0.8939382298709281
50,DataAug,2,0.91484,0.9029271665642287
51,DataAug,2,0.9174,0.8950522433927474
52,DataAug,2,0.91924,0.9048094652735095
53,DataAug,2,0.92032,0.8955132145052244
54,DataAug,2,0.91936,0.8962430854333129
55,DataAug,2,0.9222,0.90069913952059
56,DataAug,2,0.92192,0.8960125998770744
57,DataAug,2,0.9186,0.9008527965580824
58,DataAug,2,0.91372,0.8990857406269207
59,DataAug,2,0.91908,0.9009680393362016
60,DataAug,2,0.92776,0.8994698832206515
1,DataAug,3,0.18988,0.1958743085433313
2,DataAug,3,0.18988,0.1958743085433313
3,DataAug,3,0.18988,0.1958743085433313
4,DataAug,3,0.18988,0.1958743085433313
5,DataAug,3,0.20808,0.21323755377996312
6,DataAug,3,0.36072,0.4406499692685925
7,DataAug,3,0.46076,0.5572756607252612
8,DataAug,3,0.5452,0.6612246465888137
9,DataAug,3,0.58728,0.7050169022741242
10,DataAug,3,0.64352,0.7407421634910879
11,DataAug,3,0.6802,0.7656730178242164
12,DataAug,3,0.71824,0.785341118623233
13,DataAug,3,0.7384,0.808658574062692
14,DataAug,3,0.75672,0.8124231714812539
15,DataAug,3,0.77484,0.8333973570989551
16,DataAug,3,0.7756,0.8438844499078058
17,DataAug,3,0.78968,0.846880762138906
