epoch,reg_method,reg_val,train_acc,val_acc
1,L2,0.0001,0.18988,0.1958743085433313
2,L2,0.0001,0.22056,0.22649047326367547
3,L2,0.0001,0.64976,0.6640288875230486
4,L2,0.0001,0.79808,0.7832667486170867
5,L2,0.0001,0.84628,0.8309772587584512
6,L2,0.0001,0.87408,0.8441149354640443
7,L2,0.0001,0.89124,0.8479179471419791
8,L2,0.0001,0.90736,0.8518362015980332
9,L2,0.0001,0.93004,0.8613245236631838
10,L2,0.0001,0.92936,0.8665104486785494
11,L2,0.0001,0.94252,0.8633988936693301
12,L2,0.0001,0.96044,0.8699677320221266
13,L2,0.0001,0.95696,0.8566763982790412
14,L2,0.0001,0.9666,0.8670482483097726
15,L2,0.0001,0.9682,0.8678549477566072
16,L2,0.0001,0.97036,0.8602489244007375
17,L2,0.0001,0.97132,0.8582129686539643
18,L2,0.0001,0.97324,0.8601720958819914
19,L2,0.0001,0.97468,0.8593653964351567
20,L2,0.0001,0.98284,0.8605178242163491
21,L2,0.0001,0.98884,0.8629763368162262
22,L2,0.0001,0.98076,0.8597111247695144
23,L2,0.0001,0.98556,0.8567148125384143
24,L2,0.0001,0.99352,0.8569452980946527
25,L2,0.0001,0.99684,0.8710433312845728
26,L2,0.0001,0.99516,0.861439766441303
27,L2,0.0001,0.98472,0.8607867240319607
28,L2,0.0001,0.9698,0.8422710510141365
29,L2,0.0001,0.99652,0.8708128457283344
30,L2,0.0001,0.99712,0.865818992009834
31,L2,0.0001,0.99868,0.8706976029502151
32,L2,0.0001,0.99308,0.8642055931161647
33,L2,0.0001,0.99348,0.867701290719115
34,L2,0.0001,0.99676,0.8650891210817455
35,L2,0.0001,0.9998,0.8751536570374924
36,L2,0.0001,1.0,0.8779963122311002
37,L2,0.0001,1.0,0.8784956976029502
38,L2,0.0001,1.0,0.8787261831591887
39,L2,0.0001,1.0,0.8792639827904118
40,L2,0.0001,1.0,0.8792255685310387
41,L2,0.0001,1.0,0.8796097111247695
42,L2,0.0001,1.0,0.8790334972341733
43,L2,0.0001,1.0,0.8801090964966195
44,L2,0.0001,1.0,0.8797249539028887
45,L2,0.0001,1.0,0.8797249539028887
46,L2,0.0001,1.0,0.878879840196681
47,L2,0.0001,1.0,0.8797249539028887
48,L2,0.0001,1.0,0.8801859250153657
49,L2,0.0001,1.0,0.8801859250153657
50,L2,0.0001,1.0,0.8801475107559926
51,L2,0.0001,1.0,0.8809542102028273
