reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
BatchNorm,1.0,57,0.7702,1.0,conv1,train,0.064,0.058938029720783235,25000,10
BatchNorm,1.0,57,0.7702,1.0,conv1,val,0.13999999999999999,0.05979639672935009,10000,10
BatchNorm,1.0,57,0.7702,1.0,conv3,train,0.008,4.644603133201599e-06,25000,10
BatchNorm,1.0,57,0.7702,1.0,conv3,val,0.02,1.1611507833003998e-05,10000,10
BatchNorm,1.0,57,0.7702,1.0,fc1,train,2.536,0.39259979154139757,25000,10
BatchNorm,1.0,57,0.7702,1.0,fc1,val,4.29,0.384927924977988,10000,10
DataAug,0.0,60,0.6853,0.9972,conv1,train,0.332,0.23730872583627702,25000,10
DataAug,0.0,60,0.6853,0.9972,conv1,val,0.61,0.2398479239821434,10000,10
DataAug,0.0,60,0.6853,0.9972,conv3,train,1.18,0.7655381939318776,25000,10
DataAug,0.0,60,0.6853,0.9972,conv3,val,2.42,0.7633814135149122,10000,10
DataAug,0.0,60,0.6853,0.9972,fc1,train,43.628,1.398728014279604,25000,10
DataAug,0.0,60,0.6853,0.9972,fc1,val,55.86,1.3893145462565124,10000,10
DataAug,1.0,19,0.7224,0.90168,conv1,train,0.2,0.17998524522542952,25000,10
DataAug,1.0,19,0.7224,0.90168,conv1,val,0.38,0.18245790762901307,10000,10
DataAug,1.0,19,0.7224,0.90168,conv3,train,0.164,0.055331041042804716,25000,10
DataAug,1.0,19,0.7224,0.90168,conv3,val,0.38,0.05544417368844151,10000,10
DataAug,1.0,19,0.7224,0.90168,fc1,train,1.26,0.1722133898895979,25000,10
DataAug,1.0,19,0.7224,0.90168,fc1,val,2.33,0.17213343466594816,10000,10
DataAug,2.0,58,0.7846,0.87664,conv1,train,0.544,0.4606194771337509,25000,10
DataAug,2.0,58,0.7846,0.87664,conv1,val,1.05,0.464186832806468,10000,10
DataAug,2.0,58,0.7846,0.87664,conv3,train,0.464,0.41481815060049293,25000,10
DataAug,2.0,58,0.7846,0.87664,conv3,val,1.0999999999999999,0.41729821712598203,10000,10
DataAug,2.0,58,0.7846,0.87664,fc1,train,4.36,0.49232375974565745,25000,10
DataAug,2.0,58,0.7846,0.87664,fc1,val,7.12,0.4905037004433572,10000,10
DataAug,3.0,58,0.7752,0.8182,conv1,train,0.42,0.3938623789560795,25000,10
DataAug,3.0,58,0.7752,0.8182,conv1,val,0.7000000000000001,0.3965711189031601,10000,10
DataAug,3.0,58,0.7752,0.8182,conv3,train,0.42,0.279744241310358,25000,10
DataAug,3.0,58,0.7752,0.8182,conv3,val,0.9299999999999999,0.2811701643250883,10000,10
DataAug,3.0,58,0.7752,0.8182,fc1,train,3.5999999999999996,0.4387393595945835,25000,10
DataAug,3.0,58,0.7752,0.8182,fc1,val,5.75,0.4385704511076212,10000,10
Dropout,0.0,33,0.6865,0.99256,conv1,train,0.252,0.1337378373539448,25000,10
Dropout,0.0,33,0.6865,0.99256,conv1,val,0.51,0.13416287912130356,10000,10
Dropout,0.0,33,0.6865,0.99256,conv3,train,1.0919999999999999,0.7500379315951466,25000,10
Dropout,0.0,33,0.6865,0.99256,conv3,val,2.02,0.7529609096050263,10000,10
Dropout,0.0,33,0.6865,0.99256,fc1,train,22.968,1.084013118941188,25000,10
Dropout,0.0,33,0.6865,0.99256,fc1,val,31.730000000000004,1.0778154870539904,10000,10
Dropout,0.1,20,0.702,0.96104,conv1,train,0.184,0.12959823205471038,25000,10
Dropout,0.1,20,0.702,0.96104,conv1,val,0.36,0.1309773599743843,10000,10
Dropout,0.1,20,0.702,0.96104,conv3,train,0.22799999999999998,0.10670300353467464,25000,10
