reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
Baseline,0.0,57,0.9113,1.0,conv1,train,1.0,25000
Baseline,0.0,57,0.9113,1.0,conv1,val,1.0,10000
Baseline,0.0,57,0.9113,1.0,conv3,train,1.0,25000
Baseline,0.0,57,0.9113,1.0,conv3,val,1.0,10000
Baseline,0.0,57,0.9113,1.0,fc1,train,1.0,25000
Baseline,0.0,57,0.9113,1.0,fc1,val,1.0,10000
BatchNorm,1.0,40,0.9191,1.0,conv1,train,0.803835509644412,25000
BatchNorm,1.0,40,0.9191,1.0,conv1,val,0.8036550303198319,10000
BatchNorm,1.0,40,0.9191,1.0,conv3,train,0.36067841219303154,25000
BatchNorm,1.0,40,0.9191,1.0,conv3,val,0.3617677875871649,10000
BatchNorm,1.0,40,0.9191,1.0,fc1,train,0.6172855404045009,25000
BatchNorm,1.0,40,0.9191,1.0,fc1,val,0.6173443746684982,10000
DataAug,1.0,49,0.9099,0.99072,conv1,train,1.0447019283499186,25000
DataAug,1.0,49,0.9099,0.99072,conv1,val,1.045857553418615,10000
DataAug,1.0,49,0.9099,0.99072,conv3,train,0.8363633273469943,25000
DataAug,1.0,49,0.9099,0.99072,conv3,val,0.8365848323719585,10000
DataAug,1.0,49,0.9099,0.99072,fc1,train,0.7043629784728928,25000
DataAug,1.0,49,0.9099,0.99072,fc1,val,0.7052650362132583,10000
DataAug,2.0,58,0.9162,0.93628,conv1,train,1.7105301039608294,25000
DataAug,2.0,58,0.9162,0.93628,conv1,val,1.7109785055320925,10000
DataAug,2.0,58,0.9162,0.93628,conv3,train,0.49675085759680093,25000
DataAug,2.0,58,0.9162,0.93628,conv3,val,0.4975753113617064,10000
DataAug,2.0,58,0.9162,0.93628,fc1,train,0.35558668501636176,25000
DataAug,2.0,58,0.9162,0.93628,fc1,val,0.35652523922872237,10000
DataAug,3.0,54,0.9089,0.9106,conv1,train,1.836470524665427,25000
DataAug,3.0,54,0.9089,0.9106,conv1,val,1.8362521398718528,10000
DataAug,3.0,54,0.9089,0.9106,conv3,train,0.5073139538533022,25000
DataAug,3.0,54,0.9089,0.9106,conv3,val,0.5073745379347773,10000
DataAug,3.0,54,0.9089,0.9106,fc1,train,0.3744771178426618,25000
DataAug,3.0,54,0.9089,0.9106,fc1,val,0.3760273305893929,10000
Dropout,0.1,47,0.9138,0.9978,conv1,train,0.8680299951962038,25000
Dropout,0.1,47,0.9138,0.9978,conv1,val,0.8683093460812423,10000
Dropout,0.1,47,0.9138,0.9978,conv3,train,0.814828783239042,25000
Dropout,0.1,47,0.9138,0.9978,conv3,val,0.8151157761743378,10000
Dropout,0.1,47,0.9138,0.9978,fc1,train,0.6531157645421672,25000
Dropout,0.1,47,0.9138,0.9978,fc1,val,0.6527698697822231,10000
Dropout,0.2,45,0.9152,0.98704,conv1,train,0.7390996515719922,25000
Dropout,0.2,45,0.9152,0.98704,conv1,val,0.7392665307741887,10000
Dropout,0.2,45,0.9152,0.98704,conv3,train,0.5911232402595645,25000
Dropout,0.2,45,0.9152,0.98704,conv3,val,0.5911248271416361,10000
Dropout,0.2,45,0.9152,0.98704,fc1,train,0.5467472415810355,25000
Dropout,0.2,45,0.9152,0.98704,fc1,val,0.5470607186827602,10000
Dropout,0.25,58,0.9128,0.99272,conv1,train,1.0322713569402087,25000
Dropout,0.25,58,0.9128,0.99272,conv1,val,1.0333036385488692,10000
Dropout,0.25,58,0.9128,0.99272,conv3,train,0.5142907321273787,25000
Dropout,0.25,58,0.9128,0.99272,conv3,val,0.5134867212188511,10000
Dropout,0.25,58,0.9128,0.99272,fc1,train,0.5767821364571464,25000
Dropout,0.25,58,0.9128,0.99272,fc1,val,0.5765502681893074,10000
Dropout,0.3,58,0.9141,0.9874,conv1,train,0.8009477861421825,25000
Dropout,0.3,58,0.9141,0.9874,conv1,val,0.8015725115001887,10000
Dropout,0.3,58,0.9141,0.9874,conv3,train,0.5307336507163148,25000
Dropout,0.3,58,0.9141,0.9874,conv3,val,0.529592033949974,10000
Dropout,0.3,58,0.9141,0.9874,fc1,train,0.5818340515324097,25000
Dropout,0.3,58,0.9141,0.9874,fc1,val,0.5816660659889339,10000
Dropout,0.35,57,0.9147,0.98284,conv1,train,0.9028487134581868,25000
Dropout,0.35,57,0.9147,0.98284,conv1,val,0.9040117903346978,10000
Dropout,0.35,57,0.9147,0.98284,conv3,train,0.5104921900172108,25000
Dropout,0.35,57,0.9147,0.98284,conv3,val,0.5092806176294001,10000
Dropout,0.35,57,0.9147,0.98284,fc1,train,0.4994101883716668,25000
Dropout,0.35,57,0.9147,0.98284,fc1,val,0.4997449594106405,10000
Dropout,0.4,59,0.9152,0.97644,conv1,train,1.1533340396730998,25000
Dropout,0.4,59,0.9152,0.97644,conv1,val,1.1543851887663399,10000
Dropout,0.4,59,0.9152,0.97644,conv3,train,0.45973861001649324,25000
Dropout,0.4,59,0.9152,0.97644,conv3,val,0.4591157415101369,10000
Dropout,0.4,59,0.9152,0.97644,fc1,train,0.4746941404091987,25000
Dropout,0.4,59,0.9152,0.97644,fc1,val,0.4744755266817832,10000
Dropout,0.5,51,0.9144,0.96224,conv1,train,1.073241161036209,25000
Dropout,0.5,51,0.9144,0.96224,conv1,val,1.0741749796366546,10000
Dropout,0.5,51,0.9144,0.96224,conv3,train,0.3212894117515873,25000
Dropout,0.5,51,0.9144,0.96224,conv3,val,0.3205514884798854,10000
Dropout,0.5,51,0.9144,0.96224,fc1,train,0.37823954822907624,25000
Dropout,0.5,51,0.9144,0.96224,fc1,val,0.37835749313612793,10000
Dropout,0.6,57,0.9112,0.9542,conv1,train,1.4452611993830762,25000
Dropout,0.6,57,0.9112,0.9542,conv1,val,1.4464259883859505,10000
Dropout,0.6,57,0.9112,0.9542,conv3,train,0.22833920052113613,25000
Dropout,0.6,57,0.9112,0.9542,conv3,val,0.2280542433360105,10000
Dropout,0.6,57,0.9112,0.9542,fc1,train,0.33014594924808727,25000
Dropout,0.6,57,0.9112,0.9542,fc1,val,0.3300434473730216,10000
EarlyStopping,3.0,20,0.907,0.96616,conv1,train,0.9921740902028153,25000
EarlyStopping,3.0,20,0.907,0.96616,conv1,val,0.9928024961971921,10000
EarlyStopping,3.0,20,0.907,0.96616,conv3,train,0.4733164129554197,25000
EarlyStopping,3.0,20,0.907,0.96616,conv3,val,0.47349669078747403,10000
EarlyStopping,3.0,20,0.907,0.96616,fc1,train,0.43784085480332124,25000
EarlyStopping,3.0,20,0.907,0.96616,fc1,val,0.4376267779535064,10000
EarlyStopping,5.0,18,0.9033,0.96236,conv1,train,0.7806096785208108,25000
EarlyStopping,5.0,18,0.9033,0.96236,conv1,val,0.7809758902337807,10000
EarlyStopping,5.0,18,0.9033,0.96236,conv3,train,0.4679604514942422,25000
EarlyStopping,5.0,18,0.9033,0.96236,conv3,val,0.4682625769890549,10000
EarlyStopping,5.0,18,0.9033,0.96236,fc1,train,0.3738284683892224,25000
EarlyStopping,5.0,18,0.9033,0.96236,fc1,val,0.3740943205703853,10000
EarlyStopping,8.0,19,0.9079,0.96592,conv1,train,0.8604842412915538,25000
EarlyStopping,8.0,19,0.9079,0.96592,conv1,val,0.8606631000727115,10000
EarlyStopping,8.0,19,0.9079,0.96592,conv3,train,0.42454335167903007,25000
EarlyStopping,8.0,19,0.9079,0.96592,conv3,val,0.42482363910739324,10000
EarlyStopping,8.0,19,0.9079,0.96592,fc1,train,0.4418465431841431,25000
EarlyStopping,8.0,19,0.9079,0.96592,fc1,val,0.44205006423107,10000
EarlyStopping,12.0,39,0.9078,0.99468,conv1,train,0.9143200383529181,25000
EarlyStopping,12.0,39,0.9078,0.99468,conv1,val,0.9139033170338026,10000
EarlyStopping,12.0,39,0.9078,0.99468,conv3,train,0.7968993515383866,25000
EarlyStopping,12.0,39,0.9078,0.99468,conv3,val,0.796789065899986,10000
EarlyStopping,12.0,39,0.9078,0.99468,fc1,train,0.7400426055210734,25000
EarlyStopping,12.0,39,0.9078,0.99468,fc1,val,0.73978195212716,10000
GaussianNoise,0.01,60,0.911,1.0,conv1,train,1.0783430237219431,25000
GaussianNoise,0.01,60,0.911,1.0,conv1,val,1.07911011758217,10000
GaussianNoise,0.01,60,0.911,1.0,conv3,train,0.8729487886093915,25000
GaussianNoise,0.01,60,0.911,1.0,conv3,val,0.8725234843190981,10000
GaussianNoise,0.01,60,0.911,1.0,fc1,train,0.9098560130916357,25000
GaussianNoise,0.01,60,0.911,1.0,fc1,val,0.910632237130495,10000
GaussianNoise,0.05,41,0.9075,0.99764,conv1,train,0.7820722980098705,25000
GaussianNoise,0.05,41,0.9075,0.99764,conv1,val,0.7820680127282681,10000
GaussianNoise,0.05,41,0.9075,0.99764,conv3,train,0.7781220125070153,25000
GaussianNoise,0.05,41,0.9075,0.99764,conv3,val,0.7768919951062092,10000
GaussianNoise,0.05,41,0.9075,0.99764,fc1,train,0.6688445370108184,25000
GaussianNoise,0.05,41,0.9075,0.99764,fc1,val,0.6689884933406429,10000
GaussianNoise,0.1,44,0.9032,0.99124,conv1,train,1.0118260881772216,25000
GaussianNoise,0.1,44,0.9032,0.99124,conv1,val,1.0112127594681406,10000
GaussianNoise,0.1,44,0.9032,0.99124,conv3,train,0.8090729231778333,25000
GaussianNoise,0.1,44,0.9032,0.99124,conv3,val,0.807669472511063,10000
GaussianNoise,0.1,44,0.9032,0.99124,fc1,train,0.6557370416683698,25000
GaussianNoise,0.1,44,0.9032,0.99124,fc1,val,0.65475354458631,10000
GaussianNoise,0.2,27,0.8989,0.96332,conv1,train,0.9681358069908637,25000
GaussianNoise,0.2,27,0.8989,0.96332,conv1,val,0.9674513084822842,10000
GaussianNoise,0.2,27,0.8989,0.96332,conv3,train,0.636650980965564,25000
GaussianNoise,0.2,27,0.8989,0.96332,conv3,val,0.6367089284058773,10000
GaussianNoise,0.2,27,0.8989,0.96332,fc1,train,0.4352853743176893,25000
GaussianNoise,0.2,27,0.8989,0.96332,fc1,val,0.43558380864820045,10000
L1,0.0001,24,0.9002,0.93892,conv1,train,1.1183243555370694,25000
L1,0.0001,24,0.9002,0.93892,conv1,val,1.1188504568561506,10000
L1,0.0001,24,0.9002,0.93892,conv3,train,0.5421745545249197,25000
L1,0.0001,24,0.9002,0.93892,conv3,val,0.5439297883831777,10000
L1,0.0001,24,0.9002,0.93892,fc1,train,0.24881501313805865,25000
L1,0.0001,24,0.9002,0.93892,fc1,val,0.24921562375773845,10000
L1,0.001,41,0.8483,0.86304,conv1,train,1.055925711612607,25000
L1,0.001,41,0.8483,0.86304,conv1,val,1.055994430356393,10000
L1,0.001,41,0.8483,0.86304,conv3,train,0.061196159255863074,25000
L1,0.001,41,0.8483,0.86304,conv3,val,0.0615957236111323,10000
L1,0.001,41,0.8483,0.86304,fc1,train,0.24224917423597755,25000
L1,0.001,41,0.8483,0.86304,fc1,val,0.24228447701507583,10000
L1,0.01,1,0.1,0.10104,conv1,train,0.39564595386818746,25000
L1,0.01,1,0.1,0.10104,conv1,val,0.39474888306477224,10000
L1,0.01,1,0.1,0.10104,conv3,train,0.01897458213653763,25000
L1,0.01,1,0.1,0.10104,conv3,val,0.01904756937150644,10000
L1,0.01,1,0.1,0.10104,fc1,train,0.0025601734596303626,25000
L1,0.01,1,0.1,0.10104,fc1,val,0.0025689417684733457,10000
L1,0.05,1,0.1,0.10268,conv1,train,0.42667249286041165,25000
L1,0.05,1,0.1,0.10268,conv1,val,0.4257066316285919,10000
L1,0.05,1,0.1,0.10268,conv3,train,0.017608704053363938,25000
L1,0.05,1,0.1,0.10268,conv3,val,0.017676436325609144,10000
L1,0.05,1,0.1,0.10268,fc1,train,0.002601321646380371,25000
L1,0.05,1,0.1,0.10268,fc1,val,0.002610230690290994,10000
L1,0.1,1,0.1,0.10268,conv1,train,0.3991026721728897,25000
L1,0.1,1,0.1,0.10268,conv1,val,0.39819293270569395,10000
L1,0.1,1,0.1,0.10268,conv3,train,0.0178787404277701,25000
L1,0.1,1,0.1,0.10268,conv3,val,0.017947511336051283,10000
L1,0.1,1,0.1,0.10268,fc1,train,0.002524059613189734,25000
L1,0.1,1,0.1,0.10268,fc1,val,0.0025327040651229003,10000
L2,0.0001,53,0.9085,1.0,conv1,train,1.2153540193263999,25000
L2,0.0001,53,0.9085,1.0,conv1,val,1.2144118392115564,10000
L2,0.0001,53,0.9085,1.0,conv3,train,0.7282398553494733,25000
L2,0.0001,53,0.9085,1.0,conv3,val,0.7281596351448417,10000
L2,0.0001,53,0.9085,1.0,fc1,train,0.6993984069352526,25000
L2,0.0001,53,0.9085,1.0,fc1,val,0.6996712170943356,10000
