reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
Baseline,0.0,57,0.9113,1.0,conv1,train,0.044000000000000004,0.6859873771047592,25000,10
Baseline,0.0,57,0.9113,1.0,conv1,val,0.11,0.6863481421172619,10000,10
Baseline,0.0,57,0.9113,1.0,conv3,train,0.11199999999999999,0.04530913591384888,25000,10
Baseline,0.0,57,0.9113,1.0,conv3,val,0.21,0.044702810966968536,10000,10
Baseline,0.0,57,0.9113,1.0,fc1,train,70.184,1.4429886030650139,25000,10
Baseline,0.0,57,0.9113,1.0,fc1,val,82.72,1.4409451768040658,10000,10
BatchNorm,1.0,40,0.9191,1.0,conv1,train,0.027999999999999997,0.4527906220734119,25000,10
BatchNorm,1.0,40,0.9191,1.0,conv1,val,0.06999999999999999,0.4537635142832994,10000,10
BatchNorm,1.0,40,0.9191,1.0,conv3,train,0.024,0.0039635438621044156,25000,10
BatchNorm,1.0,40,0.9191,1.0,conv3,val,0.05,0.0038695160008966924,10000,10
BatchNorm,1.0,40,0.9191,1.0,fc1,train,9.44,1.0764569413399696,25000,10
BatchNorm,1.0,40,0.9191,1.0,fc1,val,15.340000000000002,1.0761681021749974,10000,10
DataAug,1.0,49,0.9099,0.99072,conv1,train,0.076,0.6764341820716858,25000,10
DataAug,1.0,49,0.9099,0.99072,conv1,val,0.19,0.680657903149724,10000,10
DataAug,1.0,49,0.9099,0.99072,conv3,train,0.044000000000000004,0.011046250123977662,25000,10
DataAug,1.0,49,0.9099,0.99072,conv3,val,0.09,0.01082377082183957,10000,10
DataAug,1.0,49,0.9099,0.99072,fc1,train,32.784,1.0747081450903415,25000,10
DataAug,1.0,49,0.9099,0.99072,fc1,val,45.85,1.073415142056346,10000,10
DataAug,2.0,58,0.9162,0.93628,conv1,train,0.076,0.7422347342789173,25000,10
DataAug,2.0,58,0.9162,0.93628,conv1,val,0.16999999999999998,0.744449260044098,10000,10
DataAug,2.0,58,0.9162,0.93628,conv3,train,0.008,2.6365765929222106e-06,25000,10
DataAug,2.0,58,0.9162,0.93628,conv3,val,0.02,6.591441482305527e-06,10000,10
DataAug,2.0,58,0.9162,0.93628,fc1,train,0.928,0.7444372021222114,25000,10
DataAug,2.0,58,0.9162,0.93628,fc1,val,1.76,0.7436779694765806,10000,10
DataAug,3.0,54,0.9089,0.9106,conv1,train,0.08800000000000001,0.7744302794086934,25000,10
DataAug,3.0,54,0.9089,0.9106,conv1,val,0.19,0.7779777735382318,10000,10
DataAug,3.0,54,0.9089,0.9106,conv3,train,0.004,0.0,25000,10
DataAug,3.0,54,0.9089,0.9106,conv3,val,0.01,0.0,10000,10
DataAug,3.0,54,0.9089,0.9106,fc1,train,1.4080000000000001,0.739728170980215,25000,10
DataAug,3.0,54,0.9089,0.9106,fc1,val,2.8000000000000003,0.7395752416223288,10000,10
Dropout,0.1,47,0.9138,0.9978,conv1,train,0.055999999999999994,0.5327023316884041,25000,10
Dropout,0.1,47,0.9138,0.9978,conv1,val,0.13999999999999999,0.5344155432373285,10000,10
Dropout,0.1,47,0.9138,0.9978,conv3,train,0.055999999999999994,0.007945789441764354,25000,10
Dropout,0.1,47,0.9138,0.9978,conv3,val,0.12,0.007893562445789575,10000,10
Dropout,0.1,47,0.9138,0.9978,fc1,train,16.328,1.024531583507061,25000,10
Dropout,0.1,47,0.9138,0.9978,fc1,val,25.729999999999997,1.02439512770772,10000,10
Dropout,0.2,45,0.9152,0.98704,conv1,train,0.055999999999999994,0.4521886834645271,25000,10
Dropout,0.2,45,0.9152,0.98704,conv1,val,0.13999999999999999,0.4554540821403265,10000,10
Dropout,0.2,45,0.9152,0.98704,conv3,train,0.004,0.0,25000,10
Dropout,0.2,45,0.9152,0.98704,conv3,val,0.01,0.0,10000,10
Dropout,0.2,45,0.9152,0.98704,fc1,train,9.164,0.8857558092308044,25000,10
Dropout,0.2,45,0.9152,0.98704,fc1,val,14.42,0.8845691519886255,10000,10
Dropout,0.25,58,0.9128,0.99272,conv1,train,0.068,0.4597326189088821,25000,10
Dropout,0.25,58,0.9128,0.99272,conv1,val,0.16,0.4635593504041433,10000,10
Dropout,0.25,58,0.9128,0.99272,conv3,train,0.004,0.0,25000,10
Dropout,0.25,58,0.9128,0.99272,conv3,val,0.01,0.0,10000,10
Dropout,0.25,58,0.9128,0.99272,fc1,train,8.792,0.8819817440497876,25000,10
Dropout,0.25,58,0.9128,0.99272,fc1,val,14.41,0.8814780838131905,10000,10
Dropout,0.3,58,0.9141,0.9874,conv1,train,0.055999999999999994,0.4254907579123974,25000,10
Dropout,0.3,58,0.9141,0.9874,conv1,val,0.13999999999999999,0.42829116224050523,10000,10
Dropout,0.3,58,0.9141,0.9874,conv3,train,0.004,0.0,25000,10
Dropout,0.3,58,0.9141,0.9874,conv3,val,0.01,0.0,10000,10
Dropout,0.3,58,0.9141,0.9874,fc1,train,9.372,0.8961455108106137,25000,10
Dropout,0.3,58,0.9141,0.9874,fc1,val,14.6,0.8949908126682043,10000,10
Dropout,0.35,57,0.9147,0.98284,conv1,train,0.07200000000000001,0.32840369765877725,25000,10
Dropout,0.35,57,0.9147,0.98284,conv1,val,0.18,0.3301918725967407,10000,10
Dropout,0.35,57,0.9147,0.98284,conv3,train,0.004,0.0,25000,10
Dropout,0.35,57,0.9147,0.98284,conv3,val,0.01,0.0,10000,10
Dropout,0.35,57,0.9147,0.98284,fc1,train,4.372,0.8113784454071522,25000,10
Dropout,0.35,57,0.9147,0.98284,fc1,val,6.9,0.8102286070019007,10000,10
Dropout,0.4,59,0.9152,0.97644,conv1,train,0.092,0.39546520474910735,25000,10
