reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
BatchNorm,1.0,32,0.8889827904118008,1.0,conv1,train,0.5367226806096803,25000
BatchNorm,1.0,32,0.8889827904118008,1.0,conv1,val,0.517162965434688,26032
BatchNorm,1.0,32,0.8889827904118008,1.0,conv3,train,0.1493282955295998,25000
BatchNorm,1.0,32,0.8889827904118008,1.0,conv3,val,0.147800203230978,26032
BatchNorm,1.0,32,0.8889827904118008,1.0,fc1,train,0.334685102305513,25000
BatchNorm,1.0,32,0.8889827904118008,1.0,fc1,val,0.3054897285396216,26032
DataAug,1.0,57,0.8549861708666256,0.99156,conv1,train,0.7318302073828015,25000
DataAug,1.0,57,0.8549861708666256,0.99156,conv1,val,0.733140750194252,26032
DataAug,1.0,57,0.8549861708666256,0.99156,conv3,train,1.0769520236724726,25000
DataAug,1.0,57,0.8549861708666256,0.99156,conv3,val,1.0576229660541254,26032
DataAug,1.0,57,0.8549861708666256,0.99156,fc1,train,0.9809185376360288,25000
DataAug,1.0,57,0.8549861708666256,0.99156,fc1,val,0.9758516020035432,26032
DataAug,2.0,57,0.905001536570375,0.92236,conv1,train,0.759690880095503,25000
DataAug,2.0,57,0.905001536570375,0.92236,conv1,val,0.7474479087264374,26032
DataAug,2.0,57,0.905001536570375,0.92236,conv3,train,0.4347201114181274,25000
DataAug,2.0,57,0.905001536570375,0.92236,conv3,val,0.43075407873671817,26032
DataAug,2.0,57,0.905001536570375,0.92236,fc1,train,0.34090102709026127,25000
DataAug,2.0,57,0.905001536570375,0.92236,fc1,val,0.3255293986058808,26032
DataAug,3.0,58,0.907037492317148,0.89144,conv1,train,0.975512573911085,25000
DataAug,3.0,58,0.907037492317148,0.89144,conv1,val,0.9579385961678556,26032
DataAug,3.0,58,0.907037492317148,0.89144,conv3,train,0.42301538885295,25000
DataAug,3.0,58,0.907037492317148,0.89144,conv3,val,0.43248160749364917,26032
DataAug,3.0,58,0.907037492317148,0.89144,fc1,train,0.34834174331644047,25000
DataAug,3.0,58,0.907037492317148,0.89144,fc1,val,0.3293889925308386,26032
Dropout,0.1,60,0.886140135218193,0.9992,conv1,train,0.8265225595139202,25000
Dropout,0.1,60,0.886140135218193,0.9992,conv1,val,0.8181758344628526,26032
Dropout,0.1,60,0.886140135218193,0.9992,conv3,train,0.9879805561401688,25000
Dropout,0.1,60,0.886140135218193,0.9992,conv3,val,0.9746926105747422,26032
Dropout,0.1,60,0.886140135218193,0.9992,fc1,train,0.8605617611520244,25000
Dropout,0.1,60,0.886140135218193,0.9992,fc1,val,0.8463092569569617,26032
Dropout,0.15,57,0.8867931776275353,0.999,conv1,train,0.8705410324246775,25000
Dropout,0.15,57,0.8867931776275353,0.999,conv1,val,0.8723388315296303,26032
Dropout,0.15,57,0.8867931776275353,0.999,conv3,train,0.9420714965312768,25000
Dropout,0.15,57,0.8867931776275353,0.999,conv3,val,0.9267815946666687,26032
Dropout,0.15,57,0.8867931776275353,0.999,fc1,train,0.8497651270084144,25000
Dropout,0.15,57,0.8867931776275353,0.999,fc1,val,0.8360193532253161,26032
Dropout,0.2,57,0.8906346035648433,0.99888,conv1,train,0.7484046214343535,25000
Dropout,0.2,57,0.8906346035648433,0.99888,conv1,val,0.7413866176282069,26032
Dropout,0.2,57,0.8906346035648433,0.99888,conv3,train,0.8817321988495458,25000
Dropout,0.2,57,0.8906346035648433,0.99888,conv3,val,0.8690940262545479,26032
Dropout,0.2,57,0.8906346035648433,0.99888,fc1,train,0.7508234047333862,25000
Dropout,0.2,57,0.8906346035648433,0.99888,fc1,val,0.7394758855139756,26032
Dropout,0.225,53,0.8899047326367547,0.99868,conv1,train,0.6680711813805421,25000
Dropout,0.225,53,0.8899047326367547,0.99868,conv1,val,0.6655294177245777,26032
Dropout,0.225,53,0.8899047326367547,0.99868,conv3,train,0.8077211462644183,25000
Dropout,0.225,53,0.8899047326367547,0.99868,conv3,val,0.7935454484600332,26032
Dropout,0.225,53,0.8899047326367547,0.99868,fc1,train,0.7199791043993259,25000
Dropout,0.225,53,0.8899047326367547,0.99868,fc1,val,0.7063230656740044,26032
