method,reg_val,sigma,acc_mean,acc_std
BatchNorm,1.0,0.0,76.77000000000001,0.0
BatchNorm,1.0,0.05,70.01,0.20832666655999357
BatchNorm,1.0,0.1,49.27333333333333,0.1391242450313962
BatchNorm,1.0,0.2,26.77,0.03741657386774052
BatchNorm,1.0,0.3,20.073333333333334,0.0984321537348903
BatchNorm,1.0,0.4,17.486666666666665,0.11897712198383051
BatchNorm,1.0,0.5,16.103333333333335,0.2715797406942493
Baseline,0.0,0.0,68.53,0.0
Baseline,0.0,0.05,67.28,0.0668331255192052
Baseline,0.0,0.1,63.07333333333333,0.10964589468932243
Baseline,0.0,0.2,48.85333333333333,0.09843215373489013
Baseline,0.0,0.3,36.09666666666667,0.31372316175606546
Baseline,0.0,0.4,27.75,0.131402688962847
Baseline,0.0,0.5,22.793333333333333,0.32724438710066367
DataAug,2.0,0.0,77.68,0.0
DataAug,2.0,0.05,73.78333333333335,0.11953614051360395
DataAug,2.0,0.1,62.026666666666664,0.004714045207909379
DataAug,2.0,0.2,38.586666666666666,0.6785441932713144
DataAug,2.0,0.3,24.459999999999997,0.23762715894162087
DataAug,2.0,0.4,17.926666666666666,0.1651934892448514
DataAug,2.0,0.5,14.516666666666666,0.2217105219775448
Dropout,0.525,0.0,71.76,0.0
Dropout,0.525,0.05,68.08666666666666,0.012472191289251585
Dropout,0.525,0.1,56.75,0.22015146301277835
Dropout,0.525,0.2,34.88999999999999,0.4315089802078303
Dropout,0.525,0.3,23.27666666666667,0.2248456260538672
Dropout,0.525,0.4,18.293333333333333,0.2503774927761854
Dropout,0.525,0.5,16.463333333333335,0.19293061504650375
GaussianNoise,0.01,0.0,69.63000000000001,0.0
GaussianNoise,0.01,0.05,68.82,0.10033277962194596
GaussianNoise,0.01,0.1,65.57333333333332,0.0654896090146211
GaussianNoise,0.01,0.2,53.03666666666667,0.19344824171395889
GaussianNoise,0.01,0.3,39.14333333333334,0.33717782977071326
GaussianNoise,0.01,0.4,27.76,0.32403703492039265
GaussianNoise,0.01,0.5,20.786666666666665,0.26144895401503315
L1,0.0001,0.0,65.38000000000001,0.0
L1,0.0001,0.05,64.51666666666667,0.2283759084394758
L1,0.0001,0.1,60.89000000000001,0.3040833219146794
L1,0.0001,0.2,46.910000000000004,0.29877527787062225
L1,0.0001,0.3,34.03333333333334,0.12472191289246395
L1,0.0001,0.4,25.833333333333332,0.057348835113619316
L1,0.0001,0.5,20.956666666666667,0.19482185594936474
L2,0.0001,0.0,71.25,0.0
L2,0.0001,0.05,70.30666666666667,0.17441967269268388
L2,0.0001,0.1,65.65333333333332,0.06548960901463266
L2,0.0001,0.2,49.18,0.14514360704718016
L2,0.0001,0.3,32.52,0.22196095752782
L2,0.0001,0.4,22.496666666666666,0.032998316455371636
L2,0.0001,0.5,17.773333333333333,0.17556258776351677
