method,reg_val,sigma,acc_mean,acc_std
BatchNorm,1.0,0.0,76.77000000000001,0.0
BatchNorm,1.0,0.005,76.73333333333333,0.012472191289246521
BatchNorm,1.0,0.01,76.2,0.31633315770982307
BatchNorm,1.0,0.02,74.71,0.5804021594262593
BatchNorm,1.0,0.03,72.58,0.7964923100695946
BatchNorm,1.0,0.05,64.44666666666667,3.0164585563574766
BatchNorm,1.0,0.075,51.42666666666667,3.119212863670718
BatchNorm,1.0,0.1,45.04333333333333,6.541316551140315
BatchNorm,1.0,0.15,32.23,1.145338377947759
Baseline,0.0,0.0,68.53,0.0
Baseline,0.0,0.005,68.43,0.048989794855659616
Baseline,0.0,0.01,68.31666666666668,0.02054804667656839
Baseline,0.0,0.02,67.82666666666667,0.308148593304525
Baseline,0.0,0.03,67.66666666666666,0.18372685039360845
Baseline,0.0,0.05,66.44333333333333,0.17931970208417133
Baseline,0.0,0.075,64.34999999999998,0.44143704722946264
Baseline,0.0,0.1,60.31666666666666,0.22895899681432721
Baseline,0.0,0.15,53.41,2.1037743858756945
DataAug,2.0,0.0,77.68,0.0
DataAug,2.0,0.005,77.58999999999999,0.02160246899469734
DataAug,2.0,0.01,77.39333333333333,0.0873053390247195
DataAug,2.0,0.02,76.97999999999999,0.2631856125753586
DataAug,2.0,0.03,76.44333333333334,0.3320977098519191
DataAug,2.0,0.05,74.61,0.1657307052620832
DataAug,2.0,0.075,71.16666666666667,0.20072092289766366
DataAug,2.0,0.1,65.76666666666667,1.0739749634987845
DataAug,2.0,0.15,50.17666666666667,2.3016274435470407
Dropout,0.525,0.0,71.76,0.0
Dropout,0.525,0.005,71.92666666666668,0.03299831645537139
Dropout,0.525,0.01,71.69333333333333,0.1312334645668693
Dropout,0.525,0.02,71.55333333333334,0.06128258770283661
Dropout,0.525,0.03,71.19,0.4121488404286281
Dropout,0.525,0.05,70.49333333333334,0.514220013439991
Dropout,0.525,0.075,68.22666666666667,0.07039570693981016
Dropout,0.525,0.1,65.70666666666666,0.28963578661638073
Dropout,0.525,0.15,55.63999999999999,0.985088828481978
GaussianNoise,0.01,0.0,69.63000000000001,0.0
GaussianNoise,0.01,0.005,69.67,0.014142135623724787
GaussianNoise,0.01,0.01,69.72333333333333,0.17632041540584037
GaussianNoise,0.01,0.02,69.18333333333334,0.009428090415818758
GaussianNoise,0.01,0.03,69.03666666666668,0.22065558884580153
GaussianNoise,0.01,0.05,67.37333333333333,0.45987921119451025
GaussianNoise,0.01,0.075,65.05333333333333,0.37862323694612093
GaussianNoise,0.01,0.1,62.49666666666667,0.4630574718350016
GaussianNoise,0.01,0.15,52.553333333333335,2.03224561070315
L1,0.0001,0.0,65.38000000000001,0.0
L1,0.0001,0.005,65.38333333333334,0.06182412330330567
L1,0.0001,0.01,65.28666666666668,0.15151090903151554
L1,0.0001,0.02,64.9,0.10708252269472224
L1,0.0001,0.03,64.09666666666668,0.4124991582483011
L1,0.0001,0.05,62.25,0.6086597297888761
L1,0.0001,0.075,58.98333333333333,0.5704579057408379
L1,0.0001,0.1,55.18333333333334,1.4706536717467595
L1,0.0001,0.15,42.82,2.113874799193809
L2,0.0001,0.0,71.25,0.0
L2,0.0001,0.005,71.24000000000001,0.0496655480858365
L2,0.0001,0.01,71.4,0.13140268896284807
L2,0.0001,0.02,70.24333333333333,0.2168460795638716
L2,0.0001,0.03,69.61333333333333,0.5490193277310196
L2,0.0001,0.05,66.87333333333333,0.07542472332655677
L2,0.0001,0.075,60.95666666666667,0.6937979212678272
L2,0.0001,0.1,51.74,1.970093060407722
L2,0.0001,0.15,36.74333333333333,1.7436806537385872
