method,reg_val,sigma,acc_mean,acc_std
BatchNorm,1.0,0.0,76.77000000000001,0.0
BatchNorm,1.0,0.005,76.63333333333333,0.046427960923944966
BatchNorm,1.0,0.01,76.60666666666667,0.08219218670625435
BatchNorm,1.0,0.02,75.94333333333333,0.06236095644623514
BatchNorm,1.0,0.03,74.66333333333334,0.5113598428591011
BatchNorm,1.0,0.05,71.38666666666667,0.7144850515503374
BatchNorm,1.0,0.075,66.50666666666666,1.5921962469773934
BatchNorm,1.0,0.1,59.06666666666667,3.1443105585945026
BatchNorm,1.0,0.15,48.75,2.453568829277058
Baseline,0.0,0.0,68.53,0.0
Baseline,0.0,0.005,68.39666666666666,0.06128258770283198
Baseline,0.0,0.01,68.32,0.22992752481307235
Baseline,0.0,0.02,67.83999999999999,0.1314026889628481
Baseline,0.0,0.03,67.02333333333333,0.2509094568874509
Baseline,0.0,0.05,64.40333333333334,0.7780459855018605
Baseline,0.0,0.075,60.376666666666665,0.6066483513718763
Baseline,0.0,0.1,56.29999999999999,0.10424330514074609
Baseline,0.0,0.15,45.99,1.0727845387899047
DataAug,2.0,0.0,77.68,0.0
DataAug,2.0,0.005,77.57333333333332,0.13274871834493251
DataAug,2.0,0.01,77.47333333333334,0.15584892970081138
DataAug,2.0,0.02,77.03,0.19510680835549685
DataAug,2.0,0.03,76.63666666666667,0.2714569742867021
DataAug,2.0,0.05,73.37666666666667,0.8933955202235785
DataAug,2.0,0.075,69.21666666666668,1.1003130867570767
DataAug,2.0,0.1,63.76,1.0180700696252019
DataAug,2.0,0.15,52.07333333333332,1.1299065841426381
Dropout,0.525,0.0,71.76,0.0
Dropout,0.525,0.005,71.74,0.14854853303438362
Dropout,0.525,0.01,71.66666666666667,0.15627610892975108
Dropout,0.525,0.02,71.39333333333333,0.2561683474245463
Dropout,0.525,0.03,71.33666666666666,0.3226280968683434
Dropout,0.525,0.05,70.10666666666667,0.44611906731524426
Dropout,0.525,0.075,69.09333333333332,0.44229201012704633
Dropout,0.525,0.1,66.90333333333332,0.10964589468932243
Dropout,0.525,0.15,61.806666666666665,1.217821369860493
GaussianNoise,0.01,0.0,69.63000000000001,0.0
GaussianNoise,0.01,0.005,69.58,0.04320493798938372
GaussianNoise,0.01,0.01,69.45666666666666,0.08730533902472312
GaussianNoise,0.01,0.02,69.02666666666666,0.05906681715556798
GaussianNoise,0.01,0.03,68.00999999999999,0.25019992006393893
GaussianNoise,0.01,0.05,65.88,0.45254833995939414
GaussianNoise,0.01,0.075,61.203333333333326,0.8561282354621598
GaussianNoise,0.01,0.1,57.52333333333333,0.3633486235314816
GaussianNoise,0.01,0.15,47.153333333333336,0.2322833518691223
L1,0.0001,0.0,65.38000000000001,0.0
L1,0.0001,0.005,65.24000000000001,0.21954498400100614
L1,0.0001,0.01,65.23333333333333,0.3578019315518305
L1,0.0001,0.02,64.66,0.3973243846867073
L1,0.0001,0.03,63.05666666666667,0.15434449203720524
L1,0.0001,0.05,58.66333333333333,1.1523984650381223
L1,0.0001,0.075,53.63333333333333,1.0045341651177875
L1,0.0001,0.1,48.163333333333334,1.9765682943481162
L1,0.0001,0.15,35.449999999999996,2.4138903592886476
L2,0.0001,0.0,71.25,0.0
L2,0.0001,0.005,71.13,0.04242640687119446
L2,0.0001,0.01,70.87,0.14236104336041577
L2,0.0001,0.02,69.07666666666667,0.12657891697365106
L2,0.0001,0.03,67.36333333333333,0.07717224601859925
L2,0.0001,0.05,60.23,0.5812629926863262
L2,0.0001,0.075,53.18333333333334,0.40185680147148345
L2,0.0001,0.1,42.28333333333333,1.5533261802410392
L2,0.0001,0.15,33.92333333333333,1.405165075316379
