method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,91.10000000000001,0.0
Baseline,0.0,0.005,91.12,0.02160246899469076
Baseline,0.0,0.01,91.06333333333333,0.026246692913379513
Baseline,0.0,0.02,90.85000000000001,0.058878405775520136
Baseline,0.0,0.03,90.52,0.19026297590441169
Baseline,0.0,0.05,89.48666666666666,0.5144144459696166
Baseline,0.0,0.075,87.37,0.5944745579080728
Baseline,0.0,0.1,83.59333333333335,2.438925081989103
Baseline,0.0,0.15,72.42,5.264187180056068
BatchNorm,1.0,0.0,91.86999999999999,0.0
BatchNorm,1.0,0.005,91.76333333333334,0.08379870059984611
BatchNorm,1.0,0.01,91.68666666666667,0.17913371790059168
BatchNorm,1.0,0.02,90.74666666666667,0.17613126418164102
BatchNorm,1.0,0.03,89.27666666666666,0.5713337222869176
BatchNorm,1.0,0.05,82.71,2.525641832617338
BatchNorm,1.0,0.075,69.2,1.2280336586049512
BatchNorm,1.0,0.1,61.18333333333334,1.7168252353949414
BatchNorm,1.0,0.15,35.70666666666667,5.473343483547227
DataAug,2.0,0.0,91.34,0.0
DataAug,2.0,0.005,91.36333333333334,0.04988876515698862
DataAug,2.0,0.01,91.29,0.06976149845484944
DataAug,2.0,0.02,91.21,0.024494897427826907
DataAug,2.0,0.03,90.53000000000002,0.02449489742783271
DataAug,2.0,0.05,89.57,0.6070145522692736
DataAug,2.0,0.075,87.37,0.5651548460377956
DataAug,2.0,0.1,77.90333333333335,1.2972877689840256
DataAug,2.0,0.15,52.67333333333334,5.5757470849703665
Dropout,0.2,0.0,91.18,0.0
Dropout,0.2,0.005,91.21333333333332,0.03299831645537139
Dropout,0.2,0.01,91.16666666666667,0.10656244908764015
Dropout,0.2,0.02,91.12,0.1801850900231935
Dropout,0.2,0.03,90.86666666666667,0.08653836657165138
Dropout,0.2,0.05,90.11333333333334,0.365543735033473
Dropout,0.2,0.075,88.44666666666667,0.3179447890576072
Dropout,0.2,0.1,85.00999999999999,0.8696359391530801
Dropout,0.2,0.15,76.93666666666667,1.6139048574463417
GaussianNoise,0.01,0.0,91.10000000000001,0.0
GaussianNoise,0.01,0.005,91.08333333333333,0.061282587702830425
GaussianNoise,0.01,0.01,91.08,0.08640987597877402
GaussianNoise,0.01,0.02,90.98,0.17048949136726504
GaussianNoise,0.01,0.03,90.84666666666665,0.15369522511198142
GaussianNoise,0.01,0.05,89.87666666666667,0.11728408057172217
GaussianNoise,0.01,0.075,87.55333333333333,0.8234210479591992
GaussianNoise,0.01,0.1,85.04666666666667,0.9553126306200629
GaussianNoise,0.01,0.15,72.11,2.551796752617
L1,0.0001,0.0,89.25999999999999,0.0
L1,0.0001,0.005,89.19666666666667,0.10498677165349399
L1,0.0001,0.01,89.21999999999998,0.08041558721209811
L1,0.0001,0.02,89.11333333333334,0.1461354014452223
L1,0.0001,0.03,88.82666666666667,0.3094439457406722
L1,0.0001,0.05,87.72333333333331,0.09533566430716289
L1,0.0001,0.075,85.39999999999999,1.03983973124067
L1,0.0001,0.1,80.82333333333334,1.5207965748982466
L1,0.0001,0.15,72.58,2.584917793663856
L2,0.0001,0.0,90.79,0.0
L2,0.0001,0.005,90.82,0.0496655480858365
L2,0.0001,0.01,90.81,0.18457157599876167
L2,0.0001,0.02,90.58666666666666,0.12119772641798808
L2,0.0001,0.03,90.08,0.17146428199481986
L2,0.0001,0.05,88.42333333333335,0.7652595783276525
L2,0.0001,0.075,85.81666666666666,0.5535541727981274
L2,0.0001,0.1,75.89333333333333,1.3684378766397225
L2,0.0001,0.15,60.193333333333335,2.2960449085813246
