method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,87.98017824216349,0.0
Baseline,0.0,0.005,87.92767875435361,0.017274556396273982
Baseline,0.0,0.01,87.9622515877894,0.05657324839780318
Baseline,0.0,0.02,87.75481458717475,0.04141303428804789
Baseline,0.0,0.03,87.52048760499899,0.18386305729286204
Baseline,0.0,0.05,86.9660417947142,0.2231336160334615
Baseline,0.0,0.075,85.4858123335382,0.16189786216552307
Baseline,0.0,0.1,82.4318787133784,0.6810660289729579
Baseline,0.0,0.15,77.62241343986888,1.0515563889337616
BatchNorm,1.0,0.0,89.21327596803934,0.0
BatchNorm,1.0,0.005,89.130045072731,0.04505381091415328
BatchNorm,1.0,0.01,89.04425322679778,0.052390064908516755
BatchNorm,1.0,0.02,87.36555009219421,0.7004960712000474
BatchNorm,1.0,0.03,85.50886088916205,0.211088209741804
BatchNorm,1.0,0.05,78.27033394796148,2.2364233569760086
BatchNorm,1.0,0.075,66.15191559106741,1.5878936807748572
BatchNorm,1.0,0.1,52.81192378610941,1.8189574351576936
BatchNorm,1.0,0.15,43.49390493751281,2.3016443119321406
DataAug,2.0,0.0,89.94698832206515,0.0
DataAug,2.0,0.005,89.95467117393976,0.029920409356553164
DataAug,2.0,0.01,89.96235402581438,0.0791619622826946
DataAug,2.0,0.02,89.86247695144438,0.09549633447030847
DataAug,2.0,0.03,89.51034624052448,0.3515178776323909
DataAug,2.0,0.05,88.09029911903298,0.37371018051427424
DataAug,2.0,0.075,84.13619135423069,0.16897423142760462
DataAug,2.0,0.1,80.46762958410163,1.1402515824954735
DataAug,2.0,0.15,63.25419995902479,4.206193981232954
Dropout,0.5,0.0,90.2082052858021,0.0
Dropout,0.5,0.005,90.1736324523663,0.038542094200197496
Dropout,0.5,0.01,90.15698627330465,0.014822573374809085
Dropout,0.5,0.02,90.02765826674862,0.03492670993901291
Dropout,0.5,0.03,89.90601311206721,0.0907061091396449
Dropout,0.5,0.05,89.50266338864986,0.07451002113284631
Dropout,0.5,0.075,88.23115140340094,0.09618065948685812
Dropout,0.5,0.1,86.26306084818684,0.21664643311014878
Dropout,0.5,0.15,79.62507682851874,1.6660396116243485
GaussianNoise,0.01,0.0,87.82652120467117,0.0
GaussianNoise,0.01,0.005,87.81627740217168,0.02667571534521745
GaussianNoise,0.01,0.01,87.78298504404836,0.012676058871922528
GaussianNoise,0.01,0.02,87.6741446424913,0.09390346300603566
GaussianNoise,0.01,0.03,87.38859864781807,0.06273022287398256
GaussianNoise,0.01,0.05,86.8200676090965,0.2245181191795072
GaussianNoise,0.01,0.075,84.46655398483917,1.1004387253482077
GaussianNoise,0.01,0.1,83.05803114115959,0.4963456624049841
GaussianNoise,0.01,0.15,75.7580413849621,1.1785284978403194
L1,0.0001,0.0,84.7841118623233,0.0
L1,0.0001,0.005,84.7879532882606,0.038157304921505535
L1,0.0001,0.01,84.83148944888343,0.12084051154890631
L1,0.0001,0.02,84.3359455029707,0.25256868373600966
L1,0.0001,0.03,84.38076213890595,0.20276034450517516
L1,0.0001,0.05,82.64827904118009,0.4910518480874741
L1,0.0001,0.075,80.29348494161032,0.9347434699201345
L1,0.0001,0.1,77.4482687973776,0.809343462006382
L1,0.0001,0.15,66.61672812948167,3.1358372441591507
L2,0.0001,0.0,87.95328826060233,0.0
L2,0.0001,0.005,88.02883630403606,0.028973848850095237
L2,0.0001,0.01,87.87517926654375,0.009582199822708882
L2,0.0001,0.02,87.72024175373899,0.14223078029668024
L2,0.0001,0.03,86.89305470190534,0.21042694076001972
L2,0.0001,0.05,85.39617906166768,0.2907045592033636
L2,0.0001,0.075,81.8121286621594,0.8443353620247868
L2,0.0001,0.1,75.52371440278633,2.9094523753324877
L2,0.0001,0.15,60.18233968449088,3.6457342663266825
