method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,87.98017824216349,0.0
Baseline,0.0,0.005,87.90975209997951,0.06306909627138527
Baseline,0.0,0.01,87.86109403810694,0.05959371173027556
Baseline,0.0,0.02,87.3181725056341,0.07893379946436282
Baseline,0.0,0.03,86.70482483097726,0.28031005531085607
Baseline,0.0,0.05,84.17460561360376,0.7175164864906377
Baseline,0.0,0.075,80.22305879942635,0.818324914012853
Baseline,0.0,0.1,75.13701085843066,0.85201368605097
Baseline,0.0,0.15,60.59977463634501,1.0065725131012477
BatchNorm,1.0,0.0,89.21327596803934,0.0
BatchNorm,1.0,0.005,89.13260602335588,0.01746335496950906
BatchNorm,1.0,0.01,88.93157139930342,0.12197493550614125
BatchNorm,1.0,0.02,88.47956361401351,0.10364733837762634
BatchNorm,1.0,0.03,87.7023150993649,0.3598431811111794
BatchNorm,1.0,0.05,84.48576111452572,0.9357129746823217
BatchNorm,1.0,0.075,80.54958000409754,1.7659681201950312
BatchNorm,1.0,0.1,74.58768694939562,1.3213326439644224
BatchNorm,1.0,0.15,57.643157139930345,7.773158896221788
DataAug,2.0,0.0,89.94698832206515,0.0
DataAug,2.0,0.005,89.9559516492522,0.04570418023349034
DataAug,2.0,0.01,89.84583077238271,0.17590580578851156
DataAug,2.0,0.02,89.37461585740628,0.11269637741081974
DataAug,2.0,0.03,88.40273509526736,0.17628755232919396
DataAug,2.0,0.05,84.76490473263675,0.7036698265825488
DataAug,2.0,0.075,79.18331284572834,1.820989868982161
DataAug,2.0,0.1,74.98975619750051,2.5888215269177706
DataAug,2.0,0.15,55.0540360581848,1.9931839392563608
Dropout,0.5,0.0,90.2082052858021,0.0
Dropout,0.5,0.005,90.18259577955337,0.03715585466232615
Dropout,0.5,0.01,90.1019258348699,0.05021683966177098
Dropout,0.5,0.02,90.10832821143208,0.07415710016169955
Dropout,0.5,0.03,89.7638803523868,0.10762088398611865
Dropout,0.5,0.05,89.08650891210817,0.12775268245479265
Dropout,0.5,0.075,88.03779963122311,0.13552486828085136
Dropout,0.5,0.1,86.2822679778734,0.16005429207129312
Dropout,0.5,0.15,82.61882810899407,0.29955460367967496
GaussianNoise,0.01,0.0,87.82652120467117,0.0
GaussianNoise,0.01,0.005,87.71640032780168,0.02611667441914136
GaussianNoise,0.01,0.01,87.61780372874411,0.07483937305983202
GaussianNoise,0.01,0.02,87.26823396844911,0.061168668881866804
GaussianNoise,0.01,0.03,86.4640954722393,0.26734656419494796
GaussianNoise,0.01,0.05,84.12722802704364,0.3429570920097385
GaussianNoise,0.01,0.075,81.0656115550092,0.41210223524504686
GaussianNoise,0.01,0.1,74.64658881376768,2.4145269410820522
GaussianNoise,0.01,0.15,63.44755173120262,2.1820862289437803
L1,0.0001,0.0,84.7841118623233,0.0
L1,0.0001,0.005,84.83148944888343,0.039715382143187004
L1,0.0001,0.01,84.61765007170662,0.03353769937950324
L1,0.0001,0.02,83.96332718705183,0.3950800698821836
L1,0.0001,0.03,83.13101823396845,0.38624110954896873
L1,0.0001,0.05,79.88373284163082,0.4267768701831827
L1,0.0001,0.075,74.05500921942225,1.5698825771551301
L1,0.0001,0.1,66.87282319196886,1.6623223025108764
L1,0.0001,0.15,54.49830977258758,2.0587199981379607
L2,0.0001,0.0,87.95328826060233,0.0
L2,0.0001,0.005,87.9622515877894,0.09602711155118127
L2,0.0001,0.01,87.67670559311615,0.04929414196609408
L2,0.0001,0.02,86.5959844294202,0.2040018611380516
L2,0.0001,0.03,85.09910878918255,0.4233360605351312
L2,0.0001,0.05,78.09490883015775,1.1115882814906966
L2,0.0001,0.075,69.40304240934235,4.588032923438475
L2,0.0001,0.1,62.30536775250974,1.6211677151455355
L2,0.0001,0.15,40.36570374923172,3.3569799053888256
