method,reg_val,epoch,layer,unique_pctg
BatchNorm,1.0,1,conv1,100.0
BatchNorm,1.0,1,conv3,66.71000000000001
BatchNorm,1.0,1,fc1,42.42
BatchNorm,1.0,10,conv1,100.0
BatchNorm,1.0,10,conv3,97.75
BatchNorm,1.0,10,fc1,56.98
BatchNorm,1.0,20,conv1,100.0
BatchNorm,1.0,20,conv3,96.69
BatchNorm,1.0,20,fc1,76.86
BatchNorm,1.0,30,conv1,100.0
BatchNorm,1.0,30,conv3,96.15
BatchNorm,1.0,30,fc1,81.72
BatchNorm,1.0,40,conv1,100.0
BatchNorm,1.0,40,conv3,95.27
BatchNorm,1.0,40,fc1,82.98
BatchNorm,1.0,50,conv1,100.0
BatchNorm,1.0,50,conv3,94.21000000000001
BatchNorm,1.0,50,fc1,83.47
BatchNorm,1.0,60,conv1,100.0
BatchNorm,1.0,60,conv3,94.28
BatchNorm,1.0,60,fc1,84.98
Baseline,0.0,1,conv1,100.0
Baseline,0.0,1,conv3,7.04
Baseline,0.0,1,fc1,1.03
Baseline,0.0,10,conv1,100.0
Baseline,0.0,10,conv3,98.35000000000001
Baseline,0.0,10,fc1,12.85
Baseline,0.0,20,conv1,100.0
Baseline,0.0,20,conv3,100.0
Baseline,0.0,20,fc1,86.97
Baseline,0.0,30,conv1,100.0
Baseline,0.0,30,conv3,100.0
Baseline,0.0,30,fc1,98.95
Baseline,0.0,40,conv1,100.0
Baseline,0.0,40,conv3,100.0
Baseline,0.0,40,fc1,99.9
Baseline,0.0,50,conv1,100.0
Baseline,0.0,50,conv3,100.0
Baseline,0.0,50,fc1,99.97
Baseline,0.0,60,conv1,100.0
Baseline,0.0,60,conv3,100.0
Baseline,0.0,60,fc1,99.98
DataAug,2.0,1,conv1,100.0
DataAug,2.0,1,conv3,4.68
DataAug,2.0,1,fc1,0.5700000000000001
DataAug,2.0,10,conv1,100.0
DataAug,2.0,10,conv3,70.08
DataAug,2.0,10,fc1,4.859999999999999
DataAug,2.0,20,conv1,100.0
DataAug,2.0,20,conv3,98.0
DataAug,2.0,20,fc1,19.3
DataAug,2.0,30,conv1,100.0
DataAug,2.0,30,conv3,99.86
DataAug,2.0,30,fc1,40.699999999999996
DataAug,2.0,40,conv1,100.0
DataAug,2.0,40,conv3,99.99
DataAug,2.0,40,fc1,65.58
DataAug,2.0,50,conv1,100.0
DataAug,2.0,50,conv3,100.0
DataAug,2.0,50,fc1,82.16
DataAug,2.0,60,conv1,100.0
DataAug,2.0,60,conv3,100.0
DataAug,2.0,60,fc1,95.67
Dropout,0.525,1,conv1,100.0
Dropout,0.525,1,conv3,2.4299999999999997
Dropout,0.525,1,fc1,0.24
Dropout,0.525,10,conv1,100.0
Dropout,0.525,10,conv3,37.46
Dropout,0.525,10,fc1,1.0999999999999999
Dropout,0.525,20,conv1,100.0
Dropout,0.525,20,conv3,70.46
Dropout,0.525,20,fc1,3.94
Dropout,0.525,30,conv1,100.0
Dropout,0.525,30,conv3,90.51
Dropout,0.525,30,fc1,10.65
Dropout,0.525,40,conv1,100.0
Dropout,0.525,40,conv3,97.87
Dropout,0.525,40,fc1,13.370000000000001
Dropout,0.525,50,conv1,100.0
Dropout,0.525,50,conv3,99.22999999999999
Dropout,0.525,50,fc1,24.63
Dropout,0.525,60,conv1,100.0
Dropout,0.525,60,conv3,99.76
Dropout,0.525,60,fc1,33.98
EarlyStopping,8.0,1,conv1,100.0
EarlyStopping,8.0,1,conv3,15.47
EarlyStopping,8.0,1,fc1,0.89
EarlyStopping,8.0,10,conv1,100.0
EarlyStopping,8.0,10,conv3,96.37
EarlyStopping,8.0,10,fc1,15.03
GaussianNoise,0.01,1,conv1,100.0
GaussianNoise,0.01,1,conv3,10.72
GaussianNoise,0.01,1,fc1,0.5599999999999999
GaussianNoise,0.01,10,conv1,100.0
GaussianNoise,0.01,10,conv3,98.89
GaussianNoise,0.01,10,fc1,9.180000000000001
GaussianNoise,0.01,20,conv1,100.0
GaussianNoise,0.01,20,conv3,100.0
GaussianNoise,0.01,20,fc1,95.55
GaussianNoise,0.01,30,conv1,100.0
GaussianNoise,0.01,30,conv3,100.0
GaussianNoise,0.01,30,fc1,99.53999999999999
GaussianNoise,0.01,40,conv1,100.0
GaussianNoise,0.01,40,conv3,100.0
GaussianNoise,0.01,40,fc1,99.92999999999999
GaussianNoise,0.01,50,conv1,100.0
GaussianNoise,0.01,50,conv3,100.0
GaussianNoise,0.01,50,fc1,100.0
GaussianNoise,0.01,60,conv1,100.0
GaussianNoise,0.01,60,conv3,100.0
GaussianNoise,0.01,60,fc1,100.0
L1,0.0001,1,conv1,100.0
L1,0.0001,1,conv3,5.67
L1,0.0001,1,fc1,0.54
L1,0.0001,10,conv1,100.0
L1,0.0001,10,conv3,91.81
L1,0.0001,10,fc1,3.9699999999999998
L1,0.0001,20,conv1,100.0
L1,0.0001,20,conv3,99.97
L1,0.0001,20,fc1,25.319999999999997
L1,0.0001,30,conv1,100.0
L1,0.0001,30,conv3,100.0
L1,0.0001,30,fc1,68.62
L1,0.0001,40,conv1,100.0
L1,0.0001,40,conv3,100.0
L1,0.0001,40,fc1,82.24000000000001
L1,0.0001,50,conv1,100.0
L1,0.0001,50,conv3,100.0
L1,0.0001,50,fc1,86.6
L1,0.0001,60,conv1,100.0
L1,0.0001,60,conv3,100.0
L1,0.0001,60,fc1,91.89
L2,0.0001,1,conv1,100.0
L2,0.0001,1,conv3,9.53
L2,0.0001,1,fc1,0.76
L2,0.0001,10,conv1,100.0
L2,0.0001,10,conv3,98.16
L2,0.0001,10,fc1,12.16
L2,0.0001,20,conv1,100.0
L2,0.0001,20,conv3,100.0
L2,0.0001,20,fc1,89.75999999999999
L2,0.0001,30,conv1,100.0
L2,0.0001,30,conv3,100.0
