method,reg_val,epoch,layer,unique_pctg
Baseline,0.0,1,conv1,100.0
Baseline,0.0,1,conv3,79.11
Baseline,0.0,1,fc1,58.4
Baseline,0.0,10,conv1,100.0
Baseline,0.0,10,conv3,99.98
Baseline,0.0,10,fc1,74.06
Baseline,0.0,20,conv1,100.0
Baseline,0.0,20,conv3,100.0
Baseline,0.0,20,fc1,96.2
Baseline,0.0,30,conv1,100.0
Baseline,0.0,30,conv3,100.0
Baseline,0.0,30,fc1,99.82
Baseline,0.0,40,conv1,100.0
Baseline,0.0,40,conv3,100.0
Baseline,0.0,40,fc1,99.96000000000001
Baseline,0.0,50,conv1,100.0
Baseline,0.0,50,conv3,100.0
Baseline,0.0,50,fc1,100.0
Baseline,0.0,60,conv1,100.0
Baseline,0.0,60,conv3,100.0
Baseline,0.0,60,fc1,100.0
BatchNorm,1.0,1,conv1,100.0
BatchNorm,1.0,1,conv3,93.73
BatchNorm,1.0,1,fc1,93.34
BatchNorm,1.0,10,conv1,100.0
BatchNorm,1.0,10,conv3,97.05
BatchNorm,1.0,10,fc1,99.06
BatchNorm,1.0,20,conv1,100.0
BatchNorm,1.0,20,conv3,98.46000000000001
BatchNorm,1.0,20,fc1,99.19
BatchNorm,1.0,30,conv1,100.0
BatchNorm,1.0,30,conv3,97.22
BatchNorm,1.0,30,fc1,99.48
BatchNorm,1.0,40,conv1,100.0
BatchNorm,1.0,40,conv3,97.14
BatchNorm,1.0,40,fc1,99.53999999999999
BatchNorm,1.0,50,conv1,100.0
BatchNorm,1.0,50,conv3,96.67
BatchNorm,1.0,50,fc1,99.51
BatchNorm,1.0,60,conv1,100.0
BatchNorm,1.0,60,conv3,96.65
BatchNorm,1.0,60,fc1,99.59
DataAug,2.0,1,conv1,100.0
DataAug,2.0,1,conv3,99.44
DataAug,2.0,1,fc1,62.94
DataAug,2.0,10,conv1,100.0
DataAug,2.0,10,conv3,100.0
DataAug,2.0,10,fc1,54.53
DataAug,2.0,20,conv1,100.0
DataAug,2.0,20,conv3,99.99
DataAug,2.0,20,fc1,60.699999999999996
DataAug,2.0,30,conv1,100.0
DataAug,2.0,30,conv3,100.0
DataAug,2.0,30,fc1,68.66
DataAug,2.0,40,conv1,100.0
DataAug,2.0,40,conv3,100.0
DataAug,2.0,40,fc1,85.5
DataAug,2.0,50,conv1,100.0
DataAug,2.0,50,conv3,100.0
DataAug,2.0,50,fc1,80.69
DataAug,2.0,60,conv1,100.0
DataAug,2.0,60,conv3,100.0
DataAug,2.0,60,fc1,91.21000000000001
Dropout,0.2,1,conv1,100.0
Dropout,0.2,1,conv3,91.56
Dropout,0.2,1,fc1,82.12
Dropout,0.2,10,conv1,100.0
Dropout,0.2,10,conv3,99.95
Dropout,0.2,10,fc1,68.85
Dropout,0.2,20,conv1,100.0
Dropout,0.2,20,conv3,99.99
Dropout,0.2,20,fc1,90.77
Dropout,0.2,30,conv1,100.0
Dropout,0.2,30,conv3,100.0
Dropout,0.2,30,fc1,97.26
Dropout,0.2,40,conv1,100.0
Dropout,0.2,40,conv3,100.0
Dropout,0.2,40,fc1,97.84
Dropout,0.2,50,conv1,100.0
Dropout,0.2,50,conv3,100.0
Dropout,0.2,50,fc1,99.55000000000001
Dropout,0.2,60,conv1,100.0
Dropout,0.2,60,conv3,100.0
Dropout,0.2,60,fc1,99.42999999999999
EarlyStopping,8.0,1,conv1,100.0
EarlyStopping,8.0,1,conv3,94.66
EarlyStopping,8.0,1,fc1,82.27
EarlyStopping,8.0,10,conv1,100.0
EarlyStopping,8.0,10,conv3,99.95
EarlyStopping,8.0,10,fc1,66.97999999999999
EarlyStopping,8.0,20,conv1,100.0
EarlyStopping,8.0,20,conv3,100.0
EarlyStopping,8.0,20,fc1,90.52
GaussianNoise,0.01,1,conv1,100.0
GaussianNoise,0.01,1,conv3,90.72
GaussianNoise,0.01,1,fc1,71.59
GaussianNoise,0.01,10,conv1,100.0
GaussianNoise,0.01,10,conv3,99.98
GaussianNoise,0.01,10,fc1,69.91000000000001
GaussianNoise,0.01,20,conv1,100.0
GaussianNoise,0.01,20,conv3,100.0
GaussianNoise,0.01,20,fc1,92.25999999999999
GaussianNoise,0.01,30,conv1,100.0
GaussianNoise,0.01,30,conv3,100.0
GaussianNoise,0.01,30,fc1,99.83
GaussianNoise,0.01,40,conv1,100.0
GaussianNoise,0.01,40,conv3,100.0
GaussianNoise,0.01,40,fc1,99.97
GaussianNoise,0.01,50,conv1,100.0
GaussianNoise,0.01,50,conv3,100.0
GaussianNoise,0.01,50,fc1,100.0
GaussianNoise,0.01,60,conv1,100.0
GaussianNoise,0.01,60,conv3,100.0
GaussianNoise,0.01,60,fc1,99.99
L1,0.0001,1,conv1,100.0
L1,0.0001,1,conv3,96.24000000000001
L1,0.0001,1,fc1,89.53
L1,0.0001,10,conv1,100.0
L1,0.0001,10,conv3,99.96000000000001
L1,0.0001,10,fc1,27.72
L1,0.0001,20,conv1,100.0
L1,0.0001,20,conv3,100.0
L1,0.0001,20,fc1,36.57
L1,0.0001,30,conv1,100.0
L1,0.0001,30,conv3,100.0
L1,0.0001,30,fc1,53.779999999999994
L1,0.0001,40,conv1,100.0
L1,0.0001,40,conv3,100.0
L1,0.0001,40,fc1,61.029999999999994
L1,0.0001,50,conv1,100.0
L1,0.0001,50,conv3,100.0
L1,0.0001,50,fc1,78.95
L1,0.0001,60,conv1,100.0
L1,0.0001,60,conv3,100.0
L1,0.0001,60,fc1,85.57000000000001
L2,0.0001,1,conv1,100.0
L2,0.0001,1,conv3,77.71000000000001
L2,0.0001,1,fc1,60.61
L2,0.0001,10,conv1,100.0
L2,0.0001,10,conv3,100.0
L2,0.0001,10,fc1,62.27
L2,0.0001,20,conv1,100.0
L2,0.0001,20,conv3,100.0
L2,0.0001,20,fc1,86.39
L2,0.0001,30,conv1,100.0
L2,0.0001,30,conv3,100.0
L2,0.0001,30,fc1,97.86
L2,0.0001,40,conv1,100.0
L2,0.0001,40,conv3,100.0
L2,0.0001,40,fc1,99.68
L2,0.0001,50,conv1,100.0
L2,0.0001,50,conv3,100.0
L2,0.0001,50,fc1,99.98
L2,0.0001,60,conv1,100.0
L2,0.0001,60,conv3,100.0
L2,0.0001,60,fc1,99.97
