epoch,reg_method,reg_val,train_acc,val_acc
1,BatchNorm,1,0.58992,0.5726
2,BatchNorm,1,0.61064,0.583
3,BatchNorm,1,0.66416,0.6256
4,BatchNorm,1,0.4032,0.3757
5,BatchNorm,1,0.73732,0.6591
6,BatchNorm,1,0.60328,0.5456
7,BatchNorm,1,0.79048,0.6801
8,BatchNorm,1,0.87776,0.7334
9,BatchNorm,1,0.84188,0.7034
10,BatchNorm,1,0.88048,0.7003
11,BatchNorm,1,0.93472,0.737
12,BatchNorm,1,0.92888,0.7159
13,BatchNorm,1,0.9676,0.7425
14,BatchNorm,1,0.96608,0.7422
15,BatchNorm,1,0.96096,0.7418
16,BatchNorm,1,0.97816,0.7466
17,BatchNorm,1,0.98552,0.74
18,BatchNorm,1,0.99556,0.7531
19,BatchNorm,1,0.998,0.7543
20,BatchNorm,1,0.99984,0.7573
21,BatchNorm,1,1.0,0.7663
22,BatchNorm,1,1.0,0.7666
23,BatchNorm,1,1.0,0.7681
24,BatchNorm,1,1.0,0.7671
25,BatchNorm,1,1.0,0.7671
26,BatchNorm,1,1.0,0.7662
27,BatchNorm,1,1.0,0.7697
28,BatchNorm,1,1.0,0.7693
29,BatchNorm,1,1.0,0.7695
30,BatchNorm,1,1.0,0.7681
31,BatchNorm,1,1.0,0.7694
32,BatchNorm,1,1.0,0.7692
33,BatchNorm,1,1.0,0.7696
34,BatchNorm,1,1.0,0.7677
35,BatchNorm,1,1.0,0.7673
36,BatchNorm,1,1.0,0.7668
37,BatchNorm,1,1.0,0.7676
38,BatchNorm,1,1.0,0.769
39,BatchNorm,1,1.0,0.7683
40,BatchNorm,1,1.0,0.7685
41,BatchNorm,1,1.0,0.7671
42,BatchNorm,1,1.0,0.7674
43,BatchNorm,1,1.0,0.7679
44,BatchNorm,1,1.0,0.7686
45,BatchNorm,1,1.0,0.7669
46,BatchNorm,1,1.0,0.7682
47,BatchNorm,1,1.0,0.768
48,BatchNorm,1,1.0,0.7692
49,BatchNorm,1,1.0,0.7694
50,BatchNorm,1,1.0,0.7689
51,BatchNorm,1,1.0,0.769
52,BatchNorm,1,1.0,0.7676
53,BatchNorm,1,1.0,0.7682
54,BatchNorm,1,1.0,0.7692
55,BatchNorm,1,1.0,0.7687
56,BatchNorm,1,1.0,0.7696
57,BatchNorm,1,1.0,0.7702
58,BatchNorm,1,1.0,0.765
59,BatchNorm,1,1.0,0.7682
60,BatchNorm,1,1.0,0.7677
