epoch,reg_method,reg_val,train_acc,val_acc
1,GaussianNoise,0.01,0.27584,0.2863
2,GaussianNoise,0.01,0.44772,0.446
3,GaussianNoise,0.01,0.51468,0.5079
4,GaussianNoise,0.01,0.57576,0.5529
5,GaussianNoise,0.01,0.59692,0.5589
6,GaussianNoise,0.01,0.66464,0.6107
7,GaussianNoise,0.01,0.71156,0.638
8,GaussianNoise,0.01,0.75776,0.6622
9,GaussianNoise,0.01,0.79076,0.6698
10,GaussianNoise,0.01,0.80252,0.6615
11,GaussianNoise,0.01,0.83264,0.6693
12,GaussianNoise,0.01,0.84756,0.661
13,GaussianNoise,0.01,0.8724,0.6638
14,GaussianNoise,0.01,0.90092,0.6564
15,GaussianNoise,0.01,0.92452,0.6667
16,GaussianNoise,0.01,0.95252,0.668
17,GaussianNoise,0.01,0.9472,0.6721
18,GaussianNoise,0.01,0.9454,0.6591
19,GaussianNoise,0.01,0.97172,0.673
20,GaussianNoise,0.01,0.96468,0.6656
21,GaussianNoise,0.01,0.94896,0.6588
22,GaussianNoise,0.01,0.96336,0.6586
23,GaussianNoise,0.01,0.9802,0.6678
24,GaussianNoise,0.01,0.98496,0.6711
25,GaussianNoise,0.01,0.97796,0.6739
26,GaussianNoise,0.01,0.98508,0.6732
27,GaussianNoise,0.01,0.97252,0.6646
28,GaussianNoise,0.01,0.97604,0.6752
29,GaussianNoise,0.01,0.9716,0.6615
30,GaussianNoise,0.01,0.99116,0.6709
31,GaussianNoise,0.01,0.99056,0.6769
32,GaussianNoise,0.01,0.9892,0.6754
33,GaussianNoise,0.01,0.98028,0.661
34,GaussianNoise,0.01,0.98424,0.6714
35,GaussianNoise,0.01,0.99024,0.6779
36,GaussianNoise,0.01,0.9882,0.6729
37,GaussianNoise,0.01,0.98836,0.6706
38,GaussianNoise,0.01,0.97464,0.6545
39,GaussianNoise,0.01,0.98856,0.6729
40,GaussianNoise,0.01,0.98568,0.6705
41,GaussianNoise,0.01,0.98284,0.6712
42,GaussianNoise,0.01,0.97828,0.6601
43,GaussianNoise,0.01,0.99004,0.6722
44,GaussianNoise,0.01,0.9926,0.6793
45,GaussianNoise,0.01,0.99272,0.6697
46,GaussianNoise,0.01,0.98736,0.671
47,GaussianNoise,0.01,0.991,0.6752
48,GaussianNoise,0.01,0.9936,0.6744
49,GaussianNoise,0.01,0.9972,0.6799
50,GaussianNoise,0.01,0.99672,0.6796
51,GaussianNoise,0.01,0.99704,0.6796
52,GaussianNoise,0.01,0.99976,0.6881
53,GaussianNoise,0.01,0.99968,0.6883
54,GaussianNoise,0.01,0.99976,0.6926
55,GaussianNoise,0.01,1.0,0.6943
56,GaussianNoise,0.01,1.0,0.6954
57,GaussianNoise,0.01,1.0,0.6967
58,GaussianNoise,0.01,1.0,0.6962
59,GaussianNoise,0.01,1.0,0.6956
60,GaussianNoise,0.01,1.0,0.6963
1,GaussianNoise,0.05,0.34328,0.3522
2,GaussianNoise,0.05,0.4382,0.432
3,GaussianNoise,0.05,0.5004,0.4892
4,GaussianNoise,0.05,0.58864,0.5675
5,GaussianNoise,0.05,0.62156,0.582
6,GaussianNoise,0.05,0.65316,0.5978
7,GaussianNoise,0.05,0.69728,0.6256
8,GaussianNoise,0.05,0.751,0.6555
9,GaussianNoise,0.05,0.76792,0.6544
10,GaussianNoise,0.05,0.79616,0.6567
11,GaussianNoise,0.05,0.85156,0.6691
12,GaussianNoise,0.05,0.87772,0.6748
13,GaussianNoise,0.05,0.8658,0.6532
14,GaussianNoise,0.05,0.92476,0.6714
15,GaussianNoise,0.05,0.93928,0.6751
16,GaussianNoise,0.05,0.94492,0.6742
17,GaussianNoise,0.05,0.95928,0.6734
18,GaussianNoise,0.05,0.94576,0.6556
19,GaussianNoise,0.05,0.95672,0.6662
20,GaussianNoise,0.05,0.95944,0.6571
21,GaussianNoise,0.05,0.97076,0.6631
22,GaussianNoise,0.05,0.97396,0.6723
23,GaussianNoise,0.05,0.98064,0.6687
24,GaussianNoise,0.05,0.97872,0.6696
25,GaussianNoise,0.05,0.98656,0.6634
26,GaussianNoise,0.05,0.97868,0.6634
