epoch,reg_method,reg_val,train_acc,val_acc
1,DataAug,1,0.01144,0.0101
2,DataAug,1,0.07624,0.0776
3,DataAug,1,0.12224,0.118
4,DataAug,1,0.16456,0.161
5,DataAug,1,0.20576,0.1938
6,DataAug,1,0.23912,0.2176
7,DataAug,1,0.28044,0.2486
8,DataAug,1,0.3096,0.2709
9,DataAug,1,0.33288,0.2899
10,DataAug,1,0.35136,0.3008
11,DataAug,1,0.3788,0.3107
12,DataAug,1,0.42432,0.3432
13,DataAug,1,0.44248,0.3448
14,DataAug,1,0.46908,0.3561
15,DataAug,1,0.49572,0.3591
16,DataAug,1,0.5078,0.3576
17,DataAug,1,0.52184,0.3544
18,DataAug,1,0.5612,0.3658
19,DataAug,1,0.55884,0.3611
20,DataAug,1,0.60268,0.3683
21,DataAug,1,0.62728,0.3686
22,DataAug,1,0.6532,0.3692
23,DataAug,1,0.66476,0.3631
24,DataAug,1,0.69284,0.3678
25,DataAug,1,0.71704,0.3657
26,DataAug,1,0.7212,0.3648
27,DataAug,1,0.75008,0.3677
28,DataAug,1,0.74412,0.3575
29,DataAug,1,0.76888,0.3632
30,DataAug,1,0.77856,0.3535
31,DataAug,1,0.79028,0.3475
32,DataAug,1,0.798,0.3492
33,DataAug,1,0.80824,0.356
34,DataAug,1,0.82068,0.3502
35,DataAug,1,0.83916,0.35
36,DataAug,1,0.8246,0.3413
37,DataAug,1,0.82892,0.3481
38,DataAug,1,0.80216,0.3338
39,DataAug,1,0.83764,0.3391
40,DataAug,1,0.84344,0.3501
41,DataAug,1,0.84492,0.3409
42,DataAug,1,0.84844,0.3441
43,DataAug,1,0.87204,0.3446
44,DataAug,1,0.86896,0.3398
45,DataAug,1,0.85212,0.3351
46,DataAug,1,0.83032,0.3312
47,DataAug,1,0.8576,0.3349
48,DataAug,1,0.87856,0.3422
49,DataAug,1,0.87588,0.3341
50,DataAug,1,0.87488,0.3315
51,DataAug,1,0.86808,0.3397
52,DataAug,1,0.88108,0.3256
53,DataAug,1,0.86532,0.3328
54,DataAug,1,0.85184,0.3221
55,DataAug,1,0.88124,0.3361
56,DataAug,1,0.87644,0.3317
57,DataAug,1,0.88256,0.3247
58,DataAug,1,0.87772,0.3276
59,DataAug,1,0.88012,0.3278
60,DataAug,1,0.86552,0.3324
1,DataAug,2,0.02612,0.025
2,DataAug,2,0.06024,0.0595
3,DataAug,2,0.09052,0.1034
4,DataAug,2,0.12252,0.1293
5,DataAug,2,0.14676,0.153
6,DataAug,2,0.17388,0.1873
7,DataAug,2,0.19688,0.1989
8,DataAug,2,0.21784,0.2178
9,DataAug,2,0.21936,0.224
10,DataAug,2,0.25184,0.249
11,DataAug,2,0.26668,0.2701
12,DataAug,2,0.2866,0.2813
13,DataAug,2,0.28892,0.2844
14,DataAug,2,0.314,0.3166
15,DataAug,2,0.33244,0.3142
16,DataAug,2,0.33768,0.3309
17,DataAug,2,0.3358,0.319
18,DataAug,2,0.36024,0.3399
19,DataAug,2,0.37508,0.3509
20,DataAug,2,0.39044,0.3631
21,DataAug,2,0.40056,0.371
22,DataAug,2,0.41272,0.3799
23,DataAug,2,0.40376,0.3669
24,DataAug,2,0.42296,0.3815
25,DataAug,2,0.43144,0.3878
26,DataAug,2,0.44564,0.3933
27,DataAug,2,0.45664,0.3947
28,DataAug,2,0.46944,0.406
29,DataAug,2,0.47284,0.4038
30,DataAug,2,0.48492,0.4091
31,DataAug,2,0.4748,0.4094
32,DataAug,2,0.49116,0.4154
33,DataAug,2,0.48624,0.4081
34,DataAug,2,0.50484,0.42
35,DataAug,2,0.52192,0.4253
36,DataAug,2,0.52488,0.4207
37,DataAug,2,0.53528,0.4315
38,DataAug,2,0.5254,0.4257
39,DataAug,2,0.53876,0.4264
40,DataAug,2,0.54724,0.4387
41,DataAug,2,0.55204,0.4288
42,DataAug,2,0.554,0.4352
43,DataAug,2,0.54792,0.4275
44,DataAug,2,0.52132,0.4073
45,DataAug,2,0.56776,0.4419
46,DataAug,2,0.55456,0.4276
47,DataAug,2,0.58196,0.4399
48,DataAug,2,0.57844,0.4425
49,DataAug,2,0.57752,0.4325
