epoch,reg_method,reg_val,train_acc,val_acc
1,L2,0.0001,0.02232,0.0228
2,L2,0.0001,0.08764,0.0854
3,L2,0.0001,0.13008,0.1285
4,L2,0.0001,0.17688,0.1668
5,L2,0.0001,0.20828,0.1917
6,L2,0.0001,0.24956,0.2199
7,L2,0.0001,0.29664,0.2478
8,L2,0.0001,0.3018,0.2474
9,L2,0.0001,0.36232,0.2866
10,L2,0.0001,0.39248,0.3063
11,L2,0.0001,0.419,0.3043
12,L2,0.0001,0.47212,0.3218
13,L2,0.0001,0.52348,0.3332
14,L2,0.0001,0.56644,0.3386
15,L2,0.0001,0.61084,0.3339
16,L2,0.0001,0.666,0.3404
17,L2,0.0001,0.6996,0.3379
18,L2,0.0001,0.71916,0.3296
19,L2,0.0001,0.73164,0.3205
20,L2,0.0001,0.77828,0.3182
21,L2,0.0001,0.81584,0.321
22,L2,0.0001,0.83884,0.3136
23,L2,0.0001,0.82292,0.3118
24,L2,0.0001,0.86044,0.3064
25,L2,0.0001,0.875,0.3067
26,L2,0.0001,0.86152,0.3002
27,L2,0.0001,0.88072,0.2958
28,L2,0.0001,0.8812,0.2967
29,L2,0.0001,0.9078,0.3066
30,L2,0.0001,0.91208,0.3061
31,L2,0.0001,0.9202,0.3031
32,L2,0.0001,0.89412,0.2913
33,L2,0.0001,0.92748,0.3086
34,L2,0.0001,0.93984,0.3062
35,L2,0.0001,0.94724,0.3073
36,L2,0.0001,0.958,0.3088
37,L2,0.0001,0.94872,0.3074
38,L2,0.0001,0.9476,0.3079
39,L2,0.0001,0.95816,0.3038
40,L2,0.0001,0.9328,0.2981
41,L2,0.0001,0.94152,0.3044
42,L2,0.0001,0.95688,0.3038
43,L2,0.0001,0.9414,0.2963
44,L2,0.0001,0.95584,0.3073
45,L2,0.0001,0.96172,0.3087
46,L2,0.0001,0.94208,0.2943
47,L2,0.0001,0.96372,0.3066
48,L2,0.0001,0.95588,0.3017
49,L2,0.0001,0.97256,0.303
50,L2,0.0001,0.97332,0.3126
51,L2,0.0001,0.97748,0.3034
52,L2,0.0001,0.97892,0.3011
53,L2,0.0001,0.97664,0.3129
54,L2,0.0001,0.97636,0.308
55,L2,0.0001,0.98864,0.3139
56,L2,0.0001,0.99344,0.3218
57,L2,0.0001,0.99684,0.3247
58,L2,0.0001,0.99624,0.3234
59,L2,0.0001,0.9996,0.3291
60,L2,0.0001,0.99992,0.3292
1,L2,0.001,0.01672,0.0164
2,L2,0.001,0.055,0.0519
3,L2,0.001,0.09704,0.0946
4,L2,0.001,0.11688,0.109
5,L2,0.001,0.16276,0.157
6,L2,0.001,0.18912,0.1755
7,L2,0.001,0.21468,0.1902
8,L2,0.001,0.25084,0.219
9,L2,0.001,0.26844,0.2293
10,L2,0.001,0.3116,0.2533
11,L2,0.001,0.32088,0.2648
12,L2,0.001,0.351,0.2715
13,L2,0.001,0.36008,0.28
14,L2,0.001,0.38988,0.2924
15,L2,0.001,0.42024,0.3002
16,L2,0.001,0.45824,0.3168
17,L2,0.001,0.4888,0.3202
18,L2,0.001,0.48692,0.3128
19,L2,0.001,0.51956,0.3146
20,L2,0.001,0.5512,0.3182
21,L2,0.001,0.58744,0.3181
22,L2,0.001,0.60904,0.3091
23,L2,0.001,0.62248,0.3038
24,L2,0.001,0.661,0.322
25,L2,0.001,0.66656,0.3091
26,L2,0.001,0.71656,0.309
27,L2,0.001,0.72776,0.3046
28,L2,0.001,0.76804,0.3119
29,L2,0.001,0.7964,0.3107
30,L2,0.001,0.78568,0.3035
31,L2,0.001,0.82644,0.3103
32,L2,0.001,0.79888,0.3031
33,L2,0.001,0.8312,0.3024
34,L2,0.001,0.84644,0.3106
35,L2,0.001,0.86464,0.3052
36,L2,0.001,0.874,0.3113
37,L2,0.001,0.86312,0.3055
38,L2,0.001,0.88072,0.3114
39,L2,0.001,0.87172,0.2944
40,L2,0.001,0.89456,0.3049
41,L2,0.001,0.89496,0.3013
42,L2,0.001,0.88408,0.3017
43,L2,0.001,0.91152,0.3027
44,L2,0.001,0.91432,0.3063
45,L2,0.001,0.90324,0.3073
46,L2,0.001,0.91752,0.3071
47,L2,0.001,0.92352,0.3103
48,L2,0.001,0.89904,0.2997
49,L2,0.001,0.91384,0.3078
50,L2,0.001,0.91184,0.3069
51,L2,0.001,0.94144,0.3132
52,L2,0.001,0.93656,0.3132
53,L2,0.001,0.94256,0.3153
54,L2,0.001,0.91336,0.3091
55,L2,0.001,0.92988,0.3071
56,L2,0.001,0.92112,0.3057
57,L2,0.001,0.9252,0.3053
58,L2,0.001,0.94732,0.3111
59,L2,0.001,0.93812,0.3103
60,L2,0.001,0.9362,0.3162
1,L2,0.01,0.01112,0.01
2,L2,0.01,0.01112,0.01
3,L2,0.01,0.01112,0.01
4,L2,0.01,0.01112,0.01
5,L2,0.01,0.01112,0.01
6,L2,0.01,0.01112,0.01
7,L2,0.01,0.01112,0.01
8,L2,0.01,0.01112,0.01
9,L2,0.01,0.01112,0.01
10,L2,0.01,0.01112,0.01
11,L2,0.01,0.01112,0.01
12,L2,0.01,0.01112,0.01
13,L2,0.01,0.01112,0.01
14,L2,0.01,0.01104,0.01
15,L2,0.01,0.01112,0.01
16,L2,0.01,0.01112,0.01
17,L2,0.01,0.01112,0.01
18,L2,0.01,0.01112,0.01
19,L2,0.01,0.01112,0.01
20,L2,0.01,0.01112,0.01
21,L2,0.01,0.01112,0.01
22,L2,0.01,0.01112,0.01
23,L2,0.01,0.01112,0.01
24,L2,0.01,0.01112,0.01
25,L2,0.01,0.01112,0.01
26,L2,0.01,0.01112,0.01
27,L2,0.01,0.01112,0.01
28,L2,0.01,0.01112,0.01
29,L2,0.01,0.01112,0.01
30,L2,0.01,0.01112,0.01
31,L2,0.01,0.01112,0.01
32,L2,0.01,0.01112,0.01
33,L2,0.01,0.01112,0.01
34,L2,0.01,0.01112,0.01
35,L2,0.01,0.01112,0.01
36,L2,0.01,0.01112,0.01
37,L2,0.01,0.01112,0.01
38,L2,0.01,0.01112,0.01
39,L2,0.01,0.01112,0.01
40,L2,0.01,0.01112,0.01
41,L2,0.01,0.01112,0.01
42,L2,0.01,0.01112,0.01
43,L2,0.01,0.01112,0.01
44,L2,0.01,0.01112,0.01
45,L2,0.01,0.01112,0.01
46,L2,0.01,0.01112,0.01
47,L2,0.01,0.01112,0.01
48,L2,0.01,0.01112,0.01
49,L2,0.01,0.01112,0.01
50,L2,0.01,0.01112,0.01
51,L2,0.01,0.01112,0.01
52,L2,0.01,0.01112,0.01
53,L2,0.01,0.01112,0.01
54,L2,0.01,0.01112,0.01
55,L2,0.01,0.01112,0.01
56,L2,0.01,0.01112,0.01
57,L2,0.01,0.01112,0.01
58,L2,0.01,0.01112,0.01
59,L2,0.01,0.01112,0.01
60,L2,0.01,0.01112,0.01
1,L2,0.05,0.01052,0.01
2,L2,0.05,0.01112,0.01
3,L2,0.05,0.01112,0.01
4,L2,0.05,0.01112,0.01
5,L2,0.05,0.01112,0.01
6,L2,0.05,0.01112,0.01
7,L2,0.05,0.01112,0.01
8,L2,0.05,0.01112,0.01
9,L2,0.05,0.01112,0.01
10,L2,0.05,0.01112,0.01
11,L2,0.05,0.01112,0.01
12,L2,0.05,0.01112,0.01
13,L2,0.05,0.01112,0.01
14,L2,0.05,0.01112,0.01
15,L2,0.05,0.01112,0.01
16,L2,0.05,0.01112,0.01
17,L2,0.05,0.01112,0.01
18,L2,0.05,0.01112,0.01
19,L2,0.05,0.01112,0.01
20,L2,0.05,0.01112,0.01
21,L2,0.05,0.01112,0.01
22,L2,0.05,0.01112,0.01
23,L2,0.05,0.01112,0.01
24,L2,0.05,0.01112,0.01
25,L2,0.05,0.01112,0.01
26,L2,0.05,0.01112,0.01
27,L2,0.05,0.01112,0.01
28,L2,0.05,0.01112,0.01
29,L2,0.05,0.01112,0.01
30,L2,0.05,0.01112,0.01
31,L2,0.05,0.01112,0.01
32,L2,0.05,0.01112,0.01
33,L2,0.05,0.01112,0.01
34,L2,0.05,0.01112,0.01
35,L2,0.05,0.01112,0.01
36,L2,0.05,0.01112,0.01
37,L2,0.05,0.01112,0.01
38,L2,0.05,0.01112,0.01
39,L2,0.05,0.01112,0.01
40,L2,0.05,0.01112,0.01
41,L2,0.05,0.01112,0.01
42,L2,0.05,0.01112,0.01
43,L2,0.05,0.01112,0.01
44,L2,0.05,0.01112,0.01
45,L2,0.05,0.01112,0.01
46,L2,0.05,0.01112,0.01
47,L2,0.05,0.01112,0.01
48,L2,0.05,0.01112,0.01
49,L2,0.05,0.01112,0.01
50,L2,0.05,0.01112,0.01
51,L2,0.05,0.01112,0.01
52,L2,0.05,0.01112,0.01
53,L2,0.05,0.01112,0.01
54,L2,0.05,0.01112,0.01
55,L2,0.05,0.01112,0.01
56,L2,0.05,0.01112,0.01
57,L2,0.05,0.01112,0.01
58,L2,0.05,0.01112,0.01
59,L2,0.05,0.01112,0.01
60,L2,0.05,0.01112,0.01
1,L2,0.1,0.01112,0.01
2,L2,0.1,0.01112,0.01
3,L2,0.1,0.01112,0.01
4,L2,0.1,0.01112,0.01
5,L2,0.1,0.01112,0.01
6,L2,0.1,0.01112,0.01
7,L2,0.1,0.01112,0.01
8,L2,0.1,0.01112,0.01
9,L2,0.1,0.01112,0.01
10,L2,0.1,0.01112,0.01
11,L2,0.1,0.01112,0.01
12,L2,0.1,0.01112,0.01
13,L2,0.1,0.01112,0.01
14,L2,0.1,0.01112,0.01
15,L2,0.1,0.01112,0.01
16,L2,0.1,0.01112,0.01
17,L2,0.1,0.01112,0.01
18,L2,0.1,0.01112,0.01
19,L2,0.1,0.01112,0.01
20,L2,0.1,0.01112,0.01
21,L2,0.1,0.01112,0.01
22,L2,0.1,0.01112,0.01
23,L2,0.1,0.01112,0.01
24,L2,0.1,0.01112,0.01
25,L2,0.1,0.01112,0.01
26,L2,0.1,0.01112,0.01
27,L2,0.1,0.01112,0.01
28,L2,0.1,0.01112,0.01
29,L2,0.1,0.01104,0.01
30,L2,0.1,0.01112,0.01
31,L2,0.1,0.01112,0.01
32,L2,0.1,0.01112,0.01
33,L2,0.1,0.01112,0.01
34,L2,0.1,0.01112,0.01
35,L2,0.1,0.01112,0.01
36,L2,0.1,0.01112,0.01
37,L2,0.1,0.01112,0.01
38,L2,0.1,0.01112,0.01
39,L2,0.1,0.01112,0.01
40,L2,0.1,0.01112,0.01
41,L2,0.1,0.01112,0.01
42,L2,0.1,0.01112,0.01
43,L2,0.1,0.01112,0.01
44,L2,0.1,0.01112,0.01
45,L2,0.1,0.01112,0.01
