epoch,reg_method,reg_val,train_acc,val_acc
1,EarlyStopping,3,0.77148,0.7649
2,EarlyStopping,3,0.83412,0.8208
3,EarlyStopping,3,0.86744,0.8527
4,EarlyStopping,3,0.85496,0.8415
5,EarlyStopping,3,0.89416,0.8714
6,EarlyStopping,3,0.8936,0.8748
7,EarlyStopping,3,0.9002,0.8752
8,EarlyStopping,3,0.91552,0.891
9,EarlyStopping,3,0.91632,0.8885
10,EarlyStopping,3,0.90692,0.8792
11,EarlyStopping,3,0.92804,0.8939
12,EarlyStopping,3,0.9318,0.8977
13,EarlyStopping,3,0.92404,0.8881
14,EarlyStopping,3,0.942,0.901
15,EarlyStopping,3,0.9414,0.9001
16,EarlyStopping,3,0.9462,0.9036
17,EarlyStopping,3,0.95136,0.9008
18,EarlyStopping,3,0.94888,0.8993
19,EarlyStopping,3,0.95984,0.9043
20,EarlyStopping,3,0.96616,0.907
21,EarlyStopping,3,0.97056,0.9059
22,EarlyStopping,3,0.96184,0.902
23,EarlyStopping,3,0.95824,0.8982
1,EarlyStopping,5,0.78024,0.7776
2,EarlyStopping,5,0.85068,0.8373
3,EarlyStopping,5,0.87536,0.8584
4,EarlyStopping,5,0.8886,0.8716
5,EarlyStopping,5,0.89368,0.8724
6,EarlyStopping,5,0.89744,0.875
7,EarlyStopping,5,0.9054,0.8805
8,EarlyStopping,5,0.91456,0.8884
9,EarlyStopping,5,0.91696,0.8856
10,EarlyStopping,5,0.92604,0.893
11,EarlyStopping,5,0.92752,0.895
12,EarlyStopping,5,0.93652,0.8961
13,EarlyStopping,5,0.94192,0.9001
14,EarlyStopping,5,0.9332,0.8965
15,EarlyStopping,5,0.94384,0.9017
16,EarlyStopping,5,0.9456,0.8969
17,EarlyStopping,5,0.95596,0.901
18,EarlyStopping,5,0.96236,0.9033
19,EarlyStopping,5,0.96252,0.9014
20,EarlyStopping,5,0.96504,0.9022
21,EarlyStopping,5,0.95916,0.896
22,EarlyStopping,5,0.96068,0.899
23,EarlyStopping,5,0.9668,0.8994
1,EarlyStopping,8,0.7876,0.7741
2,EarlyStopping,8,0.8414,0.8317
3,EarlyStopping,8,0.86132,0.8475
4,EarlyStopping,8,0.889,0.8705
5,EarlyStopping,8,0.89736,0.8796
6,EarlyStopping,8,0.88236,0.8635
7,EarlyStopping,8,0.91016,0.8864
8,EarlyStopping,8,0.9186,0.8893
9,EarlyStopping,8,0.92024,0.892
10,EarlyStopping,8,0.91924,0.8919
11,EarlyStopping,8,0.92936,0.8961
12,EarlyStopping,8,0.93976,0.9033
13,EarlyStopping,8,0.93816,0.8996
14,EarlyStopping,8,0.94648,0.902
15,EarlyStopping,8,0.95148,0.9039
16,EarlyStopping,8,0.95164,0.9004
17,EarlyStopping,8,0.95124,0.9008
18,EarlyStopping,8,0.96088,0.9065
19,EarlyStopping,8,0.96592,0.9079
20,EarlyStopping,8,0.96696,0.9022
21,EarlyStopping,8,0.96676,0.8974
22,EarlyStopping,8,0.96652,0.9029
23,EarlyStopping,8,0.97588,0.9076
24,EarlyStopping,8,0.9786,0.9028
25,EarlyStopping,8,0.97528,0.9
26,EarlyStopping,8,0.9794,0.902
27,EarlyStopping,8,0.9706,0.8968
1,EarlyStopping,12,0.7432,0.7322
2,EarlyStopping,12,0.81496,0.8081
3,EarlyStopping,12,0.85884,0.8466
4,EarlyStopping,12,0.88236,0.8666
5,EarlyStopping,12,0.89084,0.8679
6,EarlyStopping,12,0.89004,0.8685
7,EarlyStopping,12,0.90768,0.883
8,EarlyStopping,12,0.90868,0.882
9,EarlyStopping,12,0.914,0.8854
10,EarlyStopping,12,0.9244,0.8934
11,EarlyStopping,12,0.91272,0.881
12,EarlyStopping,12,0.93444,0.8964
13,EarlyStopping,12,0.93096,0.8964
14,EarlyStopping,12,0.93648,0.8944
15,EarlyStopping,12,0.92852,0.8859
16,EarlyStopping,12,0.94516,0.8958
17,EarlyStopping,12,0.95272,0.9026
18,EarlyStopping,12,0.94904,0.8956
19,EarlyStopping,12,0.95928,0.9004
20,EarlyStopping,12,0.95532,0.9029
21,EarlyStopping,12,0.9588,0.898
22,EarlyStopping,12,0.9582,0.896
23,EarlyStopping,12,0.96008,0.8976
24,EarlyStopping,12,0.96712,0.902
25,EarlyStopping,12,0.97284,0.9013
26,EarlyStopping,12,0.9738,0.8963
27,EarlyStopping,12,0.97008,0.8973
28,EarlyStopping,12,0.97928,0.9015
29,EarlyStopping,12,0.97656,0.905
30,EarlyStopping,12,0.98524,0.9068
31,EarlyStopping,12,0.98512,0.9036
32,EarlyStopping,12,0.98064,0.8992
33,EarlyStopping,12,0.97456,0.8956
34,EarlyStopping,12,0.98852,0.9025
35,EarlyStopping,12,0.99176,0.9052
36,EarlyStopping,12,0.99016,0.903
37,EarlyStopping,12,0.98356,0.901
38,EarlyStopping,12,0.9894,0.907
39,EarlyStopping,12,0.99468,0.9078
40,EarlyStopping,12,0.99132,0.9012
41,EarlyStopping,12,0.99292,0.9029
42,EarlyStopping,12,0.98988,0.9008
43,EarlyStopping,12,0.98852,0.9002
44,EarlyStopping,12,0.97496,0.8881
45,EarlyStopping,12,0.99052,0.9019
46,EarlyStopping,12,0.9886,0.9008
47,EarlyStopping,12,0.9964,0.9027
48,EarlyStopping,12,0.99896,0.9071
49,EarlyStopping,12,0.99636,0.9015
50,EarlyStopping,12,0.99888,0.9077
51,EarlyStopping,12,0.99992,0.9076
