epoch,reg_method,reg_val,train_acc,val_acc
1,L2,0.0001,0.70524,0.6956
2,L2,0.0001,0.85044,0.8369
3,L2,0.0001,0.87576,0.8557
4,L2,0.0001,0.87644,0.8583
5,L2,0.0001,0.89272,0.872
6,L2,0.0001,0.8912,0.8696
7,L2,0.0001,0.90848,0.8811
8,L2,0.0001,0.91248,0.8828
9,L2,0.0001,0.91428,0.8903
10,L2,0.0001,0.91776,0.889
11,L2,0.0001,0.926,0.8949
12,L2,0.0001,0.92884,0.8916
13,L2,0.0001,0.93844,0.9013
14,L2,0.0001,0.94052,0.8995
15,L2,0.0001,0.93544,0.8932
16,L2,0.0001,0.94252,0.8958
17,L2,0.0001,0.94792,0.8968
18,L2,0.0001,0.94844,0.8973
19,L2,0.0001,0.95388,0.898
20,L2,0.0001,0.95548,0.9002
21,L2,0.0001,0.96652,0.9037
22,L2,0.0001,0.95768,0.8969
23,L2,0.0001,0.96004,0.8962
24,L2,0.0001,0.97252,0.9053
25,L2,0.0001,0.9716,0.9026
26,L2,0.0001,0.97232,0.8984
27,L2,0.0001,0.97276,0.8974
28,L2,0.0001,0.9772,0.9045
29,L2,0.0001,0.98124,0.9021
30,L2,0.0001,0.96584,0.8897
31,L2,0.0001,0.98664,0.9053
32,L2,0.0001,0.98528,0.9034
33,L2,0.0001,0.979,0.8994
34,L2,0.0001,0.97676,0.8986
35,L2,0.0001,0.99048,0.9066
36,L2,0.0001,0.98376,0.8982
37,L2,0.0001,0.98844,0.9031
38,L2,0.0001,0.98356,0.8976
39,L2,0.0001,0.98628,0.9033
40,L2,0.0001,0.99084,0.8994
41,L2,0.0001,0.99292,0.9055
42,L2,0.0001,0.99564,0.9025
43,L2,0.0001,0.99168,0.9002
44,L2,0.0001,0.98864,0.9023
45,L2,0.0001,0.98936,0.9
46,L2,0.0001,0.99848,0.9036
47,L2,0.0001,0.99752,0.9043
48,L2,0.0001,0.9988,0.9053
49,L2,0.0001,0.9998,0.9069
50,L2,0.0001,1.0,0.9076
51,L2,0.0001,1.0,0.9077
52,L2,0.0001,1.0,0.9078
53,L2,0.0001,1.0,0.9085
54,L2,0.0001,1.0,0.9074
55,L2,0.0001,1.0,0.9079
56,L2,0.0001,1.0,0.9071
57,L2,0.0001,1.0,0.9084
58,L2,0.0001,1.0,0.9081
59,L2,0.0001,1.0,0.908
60,L2,0.0001,1.0,0.9079
1,L2,0.001,0.78056,0.7707
2,L2,0.001,0.806,0.7969
3,L2,0.001,0.83632,0.8187
4,L2,0.001,0.85404,0.8362
5,L2,0.001,0.88296,0.8655
6,L2,0.001,0.88796,0.8706
7,L2,0.001,0.90332,0.8832
8,L2,0.001,0.88316,0.8614
9,L2,0.001,0.88232,0.8603
10,L2,0.001,0.90164,0.8759
11,L2,0.001,0.90948,0.883
12,L2,0.001,0.91644,0.8882
13,L2,0.001,0.9144,0.887
14,L2,0.001,0.92788,0.8955
15,L2,0.001,0.92264,0.8885
16,L2,0.001,0.90568,0.8764
17,L2,0.001,0.93544,0.8958
18,L2,0.001,0.93212,0.8953
19,L2,0.001,0.92788,0.8913
20,L2,0.001,0.92712,0.8883
21,L2,0.001,0.9286,0.889
22,L2,0.001,0.93004,0.8905
23,L2,0.001,0.93536,0.8964
24,L2,0.001,0.93596,0.8909
25,L2,0.001,0.94116,0.8954
26,L2,0.001,0.94304,0.8958
27,L2,0.001,0.9168,0.8798
28,L2,0.001,0.94564,0.8939
29,L2,0.001,0.9506,0.8985
30,L2,0.001,0.94152,0.8972
31,L2,0.001,0.94788,0.8981
32,L2,0.001,0.93968,0.8888
33,L2,0.001,0.93728,0.8947
34,L2,0.001,0.93984,0.8915
35,L2,0.001,0.95012,0.9
36,L2,0.001,0.94552,0.8903
37,L2,0.001,0.949,0.8962
38,L2,0.001,0.95276,0.8997
39,L2,0.001,0.95168,0.8964
40,L2,0.001,0.95764,0.9007
41,L2,0.001,0.95268,0.8994
42,L2,0.001,0.9472,0.8899
43,L2,0.001,0.9646,0.9034
44,L2,0.001,0.95004,0.8913
45,L2,0.001,0.9646,0.9046
46,L2,0.001,0.9524,0.8975
47,L2,0.001,0.96044,0.899
48,L2,0.001,0.95612,0.8921
49,L2,0.001,0.94264,0.8883
50,L2,0.001,0.95532,0.8931
51,L2,0.001,0.96336,0.8992
52,L2,0.001,0.96812,0.9013
53,L2,0.001,0.9682,0.8974
54,L2,0.001,0.97228,0.904
55,L2,0.001,0.96964,0.9018
56,L2,0.001,0.96884,0.9012
57,L2,0.001,0.97168,0.8987
58,L2,0.001,0.9728,0.9074
59,L2,0.001,0.96904,0.9001
60,L2,0.001,0.96716,0.8983
1,L2,0.01,0.70264,0.6986
2,L2,0.01,0.7886,0.774
3,L2,0.01,0.80028,0.7884
4,L2,0.01,0.82464,0.8128
5,L2,0.01,0.82148,0.8117
6,L2,0.01,0.83608,0.8289
7,L2,0.01,0.83976,0.8314
8,L2,0.01,0.82532,0.8101
9,L2,0.01,0.80088,0.7863
10,L2,0.01,0.8308,0.8162
11,L2,0.01,0.84032,0.8254
12,L2,0.01,0.83512,0.8229
13,L2,0.01,0.8428,0.8325
14,L2,0.01,0.80468,0.7964
15,L2,0.01,0.83628,0.8244
16,L2,0.01,0.84012,0.8296
17,L2,0.01,0.84664,0.8343
18,L2,0.01,0.83,0.8234
19,L2,0.01,0.83284,0.8214
20,L2,0.01,0.83008,0.8191
21,L2,0.01,0.85088,0.8409
22,L2,0.01,0.85592,0.8404
23,L2,0.01,0.84124,0.8291
24,L2,0.01,0.8402,0.8283
25,L2,0.01,0.82924,0.8179
26,L2,0.01,0.81864,0.8075
27,L2,0.01,0.8498,0.8366
28,L2,0.01,0.83744,0.8258
29,L2,0.01,0.83652,0.8248
30,L2,0.01,0.81816,0.8042
31,L2,0.01,0.83984,0.8271
32,L2,0.01,0.81972,0.8122
33,L2,0.01,0.83392,0.8233
34,L2,0.01,0.84164,0.832
35,L2,0.01,0.84992,0.8394
36,L2,0.01,0.85244,0.8376
37,L2,0.01,0.83768,0.8209
38,L2,0.01,0.81988,0.8098
39,L2,0.01,0.84824,0.8335
40,L2,0.01,0.85436,0.841
41,L2,0.01,0.84068,0.8278
42,L2,0.01,0.83024,0.8113
43,L2,0.01,0.83724,0.8273
44,L2,0.01,0.84664,0.8352
45,L2,0.01,0.8484,0.8316
46,L2,0.01,0.84564,0.8327
47,L2,0.01,0.82844,0.8141
48,L2,0.01,0.85472,0.8403
49,L2,0.01,0.84084,0.8296
50,L2,0.01,0.84144,0.8284
51,L2,0.01,0.83676,0.8186
52,L2,0.01,0.84516,0.8321
53,L2,0.01,0.83232,0.8162
54,L2,0.01,0.84252,0.8325
55,L2,0.01,0.84468,0.8313
56,L2,0.01,0.84788,0.8321
57,L2,0.01,0.85348,0.8413
58,L2,0.01,0.82336,0.8043
59,L2,0.01,0.84608,0.8319
60,L2,0.01,0.843,0.8299
1,L2,0.05,0.10104,0.1
2,L2,0.05,0.10268,0.1
3,L2,0.05,0.10136,0.1
4,L2,0.05,0.0998,0.1
5,L2,0.05,0.09968,0.1
6,L2,0.05,0.10268,0.1
7,L2,0.05,0.10268,0.1
8,L2,0.05,0.10268,0.1
9,L2,0.05,0.10136,0.1
10,L2,0.05,0.10136,0.1
11,L2,0.05,0.10268,0.1
12,L2,0.05,0.10268,0.1
13,L2,0.05,0.10268,0.1
14,L2,0.05,0.10268,0.1
15,L2,0.05,0.10268,0.1
16,L2,0.05,0.10268,0.1
17,L2,0.05,0.10136,0.1
18,L2,0.05,0.10136,0.1
19,L2,0.05,0.10268,0.1
20,L2,0.05,0.10136,0.1
21,L2,0.05,0.09816,0.1
22,L2,0.05,0.10268,0.1
23,L2,0.05,0.10076,0.1
24,L2,0.05,0.10104,0.1
25,L2,0.05,0.10136,0.1
26,L2,0.05,0.09908,0.1
27,L2,0.05,0.10268,0.1
28,L2,0.05,0.10268,0.1
29,L2,0.05,0.10268,0.1
30,L2,0.05,0.10016,0.1
31,L2,0.05,0.10268,0.1
32,L2,0.05,0.10136,0.1
33,L2,0.05,0.10136,0.1
34,L2,0.05,0.10104,0.1
35,L2,0.05,0.10136,0.1
36,L2,0.05,0.10268,0.1
37,L2,0.05,0.10104,0.1
38,L2,0.05,0.10268,0.1
39,L2,0.05,0.10136,0.1
40,L2,0.05,0.10104,0.1
41,L2,0.05,0.10268,0.1
42,L2,0.05,0.10136,0.1
43,L2,0.05,0.10136,0.1
44,L2,0.05,0.10016,0.1
45,L2,0.05,0.09908,0.1
46,L2,0.05,0.10104,0.1
47,L2,0.05,0.09968,0.1
48,L2,0.05,0.10268,0.1
49,L2,0.05,0.09968,0.1
50,L2,0.05,0.10104,0.1
51,L2,0.05,0.10136,0.1
52,L2,0.05,0.10104,0.1
53,L2,0.05,0.10076,0.1
54,L2,0.05,0.10268,0.1
55,L2,0.05,0.10136,0.1
56,L2,0.05,0.09908,0.1
57,L2,0.05,0.10104,0.1
58,L2,0.05,0.0998,0.1
59,L2,0.05,0.10268,0.1
60,L2,0.05,0.10136,0.1
1,L2,0.1,0.10104,0.1
2,L2,0.1,0.10104,0.1
3,L2,0.1,0.10268,0.1
4,L2,0.1,0.10268,0.1
5,L2,0.1,0.10268,0.1
6,L2,0.1,0.10104,0.1
7,L2,0.1,0.10076,0.1
8,L2,0.1,0.10268,0.1
9,L2,0.1,0.10076,0.1
10,L2,0.1,0.10076,0.1
11,L2,0.1,0.10104,0.1
12,L2,0.1,0.10268,0.1
13,L2,0.1,0.10104,0.1
14,L2,0.1,0.10016,0.1
15,L2,0.1,0.10268,0.1
16,L2,0.1,0.10136,0.1
17,L2,0.1,0.09908,0.1
18,L2,0.1,0.10268,0.1
19,L2,0.1,0.10268,0.1
20,L2,0.1,0.10268,0.1
21,L2,0.1,0.10104,0.1
22,L2,0.1,0.09908,0.1
23,L2,0.1,0.10016,0.1
24,L2,0.1,0.10136,0.1
25,L2,0.1,0.10268,0.1
26,L2,0.1,0.10268,0.1
27,L2,0.1,0.10268,0.1
28,L2,0.1,0.10076,0.1
29,L2,0.1,0.10076,0.1
30,L2,0.1,0.10136,0.1
31,L2,0.1,0.10268,0.1
32,L2,0.1,0.09908,0.1
33,L2,0.1,0.10268,0.1
34,L2,0.1,0.10268,0.1
35,L2,0.1,0.10016,0.1
36,L2,0.1,0.10076,0.1
37,L2,0.1,0.10268,0.1
38,L2,0.1,0.10268,0.1
39,L2,0.1,0.10016,0.1
40,L2,0.1,0.10268,0.1
41,L2,0.1,0.10268,0.1
42,L2,0.1,0.10076,0.1
43,L2,0.1,0.10104,0.1
44,L2,0.1,0.10136,0.1
45,L2,0.1,0.10136,0.1
46,L2,0.1,0.10136,0.1
47,L2,0.1,0.10136,0.1
48,L2,0.1,0.10104,0.1
49,L2,0.1,0.10076,0.1
50,L2,0.1,0.10104,0.1
51,L2,0.1,0.10076,0.1
52,L2,0.1,0.10136,0.1
53,L2,0.1,0.09968,0.1
54,L2,0.1,0.10136,0.1
55,L2,0.1,0.10076,0.1
56,L2,0.1,0.10268,0.1
57,L2,0.1,0.10076,0.1
58,L2,0.1,0.10268,0.1
59,L2,0.1,0.10268,0.1
60,L2,0.1,0.09968,0.1
