epoch,reg_method,reg_val,train_acc,val_acc
1,Dropout,0.1,0.18988,0.1958743085433313
2,Dropout,0.1,0.18988,0.1958743085433313
3,Dropout,0.1,0.29664,0.3020897357098955
4,Dropout,0.1,0.72544,0.7335971112476951
5,Dropout,0.1,0.821,0.8055086047940996
6,Dropout,0.1,0.85824,0.8321296865396435
7,Dropout,0.1,0.87564,0.8392747387830363
8,Dropout,0.1,0.89588,0.8496081745543946
9,Dropout,0.1,0.90664,0.8545251997541488
10,Dropout,0.1,0.92324,0.8673171481253842
11,Dropout,0.1,0.92876,0.8641287645974186
12,Dropout,0.1,0.94072,0.8721957590657652
13,Dropout,0.1,0.953,0.8791871542716656
14,Dropout,0.1,0.95204,0.8613629379225568
15,Dropout,0.1,0.96804,0.8756146281499693
16,Dropout,0.1,0.96516,0.8731177012907191
17,Dropout,0.1,0.96576,0.8720805162876459
18,Dropout,0.1,0.9758,0.8788030116779348
19,Dropout,0.1,0.97584,0.8748079287031346
20,Dropout,0.1,0.97664,0.8718884449907806
21,Dropout,0.1,0.981,0.8661263060848187
22,Dropout,0.1,0.9832,0.8707360172095882
23,Dropout,0.1,0.98764,0.8791487400122926
24,Dropout,0.1,0.98724,0.8743085433312846
25,Dropout,0.1,0.99132,0.8776505838967424
26,Dropout,0.1,0.99084,0.87649815611555
27,Dropout,0.1,0.98824,0.8703902888752305
28,Dropout,0.1,0.98968,0.8767670559311617
29,Dropout,0.1,0.99096,0.874539028887523
30,Dropout,0.1,0.9952,0.8776121696373694
31,Dropout,0.1,0.99544,0.8762676705593117
32,Dropout,0.1,0.99708,0.8793023970497849
33,Dropout,0.1,0.99552,0.8764213275968039
34,Dropout,0.1,0.99588,0.8763444990780578
35,Dropout,0.1,0.99688,0.8789566687154272
36,Dropout,0.1,0.99728,0.8782267977873387
37,Dropout,0.1,0.99704,0.8804932390903504
38,Dropout,0.1,0.99716,0.8806468961278426
39,Dropout,0.1,0.99596,0.8750768285187461
40,Dropout,0.1,0.99744,0.8795712968653965
41,Dropout,0.1,0.99704,0.8786109403810695
42,Dropout,0.1,0.99804,0.8836047940995697
43,Dropout,0.1,0.99636,0.8713890596189305
44,Dropout,0.1,0.99844,0.8767286416717885
45,Dropout,0.1,0.99812,0.8775353411186232
46,Dropout,0.1,0.99816,0.8781115550092194
47,Dropout,0.1,0.99768,0.8755377996312231
48,Dropout,0.1,0.99776,0.880838967424708
49,Dropout,0.1,0.9968,0.8794560540872772
50,Dropout,0.1,0.99844,0.8775737553779963
51,Dropout,0.1,0.99872,0.8763829133374309
52,Dropout,0.1,0.99936,0.8829901659496004
53,Dropout,0.1,0.99816,0.8789950829748002
54,Dropout,0.1,0.99928,0.8801475107559926
55,Dropout,0.1,0.99908,0.8773432698217578
56,Dropout,0.1,0.99956,0.8814920098340504
57,Dropout,0.1,0.99984,0.8835279655808236
58,Dropout,0.1,0.99956,0.8793023970497849
59,Dropout,0.1,0.99908,0.8807237246465888
60,Dropout,0.1,0.9994,0.8821450522433928
1,Dropout,0.2,0.18988,0.1958743085433313
2,Dropout,0.2,0.18988,0.1958743085433313
3,Dropout,0.2,0.391,0.3969345421020283
4,Dropout,0.2,0.75676,0.7567224953902889
5,Dropout,0.2,0.82308,0.8059695759065765
6,Dropout,0.2,0.85532,0.8267132759680393
7,Dropout,0.2,0.87984,0.8510295021511985
8,Dropout,0.2,0.89156,0.853680086047941
9,Dropout,0.2,0.90028,0.8579440688383528
10,Dropout,0.2,0.915,0.8680854333128457
11,Dropout,0.2,0.92728,0.8710049170251998
12,Dropout,0.2,0.9316,0.8726951444376152
13,Dropout,0.2,0.93988,0.8715811309157959
14,Dropout,0.2,0.94708,0.876959127228027
15,Dropout,0.2,0.954,0.8816072526121697
16,Dropout,0.2,0.95276,0.8749615857406269
17,Dropout,0.2,0.96588,0.8814920098340504
18,Dropout,0.2,0.96788,0.880838967424708
19,Dropout,0.2,0.97076,0.8831438229870928
