epoch,reg_method,reg_val,train_acc,val_acc
1,EarlyStopping,3,0.18988,0.1958743085433313
2,EarlyStopping,3,0.18988,0.1958743085433313
3,EarlyStopping,3,0.58376,0.604179471419791
4,EarlyStopping,3,0.7846,0.7615242778119238
5,EarlyStopping,3,0.85028,0.8287108174554395
6,EarlyStopping,3,0.8676,0.826021819299324
7,EarlyStopping,3,0.90308,0.8578288260602336
8,EarlyStopping,3,0.91576,0.8623232944068838
9,EarlyStopping,3,0.91036,0.8523355869698832
10,EarlyStopping,3,0.9332,0.8636677934849416
11,EarlyStopping,3,0.9314,0.8519898586355255
12,EarlyStopping,3,0.95212,0.8659726490473264
13,EarlyStopping,3,0.94396,0.8534496004917025
14,EarlyStopping,3,0.9704,0.8699677320221266
15,EarlyStopping,3,0.97116,0.8651659496004918
16,EarlyStopping,3,0.96636,0.8612861094038107
17,EarlyStopping,3,0.9782,0.8577519975414875
1,EarlyStopping,5,0.18988,0.1958743085433313
2,EarlyStopping,5,0.18988,0.1958743085433313
3,EarlyStopping,5,0.41004,0.41502765826674864
4,EarlyStopping,5,0.78232,0.7681699446834666
5,EarlyStopping,5,0.8358,0.8141902274124155
6,EarlyStopping,5,0.85756,0.8296711739397664
7,EarlyStopping,5,0.89096,0.8459204056545789
8,EarlyStopping,5,0.90288,0.8535648432698217
9,EarlyStopping,5,0.9228,0.8673555623847572
10,EarlyStopping,5,0.93464,0.8642824216349109
11,EarlyStopping,5,0.93996,0.861478180700676
12,EarlyStopping,5,0.95064,0.8592117393976644
13,EarlyStopping,5,0.95808,0.864820221266134
14,EarlyStopping,5,0.9636,0.8603257529194838
1,EarlyStopping,8,0.18988,0.1958743085433313
2,EarlyStopping,8,0.33016,0.3601720958819914
3,EarlyStopping,8,0.76656,0.7665565457897972
4,EarlyStopping,8,0.84828,0.826559618930547
5,EarlyStopping,8,0.87164,0.8475338045482483
6,EarlyStopping,8,0.89468,0.8646281499692686
7,EarlyStopping,8,0.90476,0.8592117393976644
8,EarlyStopping,8,0.91924,0.8573678549477566
9,EarlyStopping,8,0.92964,0.8675092194222496
10,EarlyStopping,8,0.93396,0.8665104486785494
11,EarlyStopping,8,0.94504,0.864858635525507
12,EarlyStopping,8,0.95,0.8558312845728334
13,EarlyStopping,8,0.95284,0.8554471419791027
14,EarlyStopping,8,0.96316,0.8549093423478795
15,EarlyStopping,8,0.97508,0.8549093423478795
16,EarlyStopping,8,0.97344,0.8590580823601721
17,EarlyStopping,8,0.9764,0.8551782421634911
1,EarlyStopping,12,0.18988,0.1958743085433313
2,EarlyStopping,12,0.18996,0.1964121081745544
3,EarlyStopping,12,0.52508,0.5303856791641057
4,EarlyStopping,12,0.79504,0.7874923171481254
5,EarlyStopping,12,0.8562,0.8302858020897357
6,EarlyStopping,12,0.87372,0.8362015980331899
7,EarlyStopping,12,0.89048,0.8472264904732637
8,EarlyStopping,12,0.89888,0.8414643515673018
9,EarlyStopping,12,0.91552,0.8517209588199139
10,EarlyStopping,12,0.9434,0.8686232329440688
11,EarlyStopping,12,0.9356,0.8615550092194223
12,EarlyStopping,12,0.94584,0.8601336816226183
13,EarlyStopping,12,0.9648,0.8675860479409957
14,EarlyStopping,12,0.95832,0.8583282114320836
15,EarlyStopping,12,0.97048,0.8642824216349109
16,EarlyStopping,12,0.97216,0.8613629379225568
17,EarlyStopping,12,0.97796,0.8615550092194223
18,EarlyStopping,12,0.9722,0.8599031960663799
19,EarlyStopping,12,0.98548,0.8668945912722803
20,EarlyStopping,12,0.98096,0.8593269821757836
21,EarlyStopping,12,0.98464,0.8600184388444991
22,EarlyStopping,12,0.98668,0.8674708051628764
