epoch,reg_method,reg_val,train_acc,val_acc
1,GaussianNoise,0.01,0.18988,0.1958743085433313
2,GaussianNoise,0.01,0.18988,0.1958743085433313
3,GaussianNoise,0.01,0.22044,0.22844960049170251
4,GaussianNoise,0.01,0.65692,0.6489704978488015
5,GaussianNoise,0.01,0.81632,0.8096957590657652
6,GaussianNoise,0.01,0.86052,0.83720036877689
7,GaussianNoise,0.01,0.87832,0.8505301167793485
8,GaussianNoise,0.01,0.8972,0.8537953288260602
9,GaussianNoise,0.01,0.91248,0.8625537799631223
10,GaussianNoise,0.01,0.91992,0.8564843269821758
11,GaussianNoise,0.01,0.94016,0.8672019053472649
12,GaussianNoise,0.01,0.94644,0.8711969883220652
13,GaussianNoise,0.01,0.95644,0.864820221266134
14,GaussianNoise,0.01,0.94668,0.853180700676091
15,GaussianNoise,0.01,0.9706,0.8674323909035033
16,GaussianNoise,0.01,0.97568,0.8597111247695144
17,GaussianNoise,0.01,0.96416,0.8582513829133375
18,GaussianNoise,0.01,0.97684,0.8612861094038107
19,GaussianNoise,0.01,0.96364,0.8336278426551936
20,GaussianNoise,0.01,0.97956,0.8609019668100799
21,GaussianNoise,0.01,0.9832,0.8595958819913952
22,GaussianNoise,0.01,0.98268,0.8579440688383528
23,GaussianNoise,0.01,0.97928,0.8579824830977258
24,GaussianNoise,0.01,0.98916,0.8605946527350953
25,GaussianNoise,0.01,0.99192,0.8635525507068224
26,GaussianNoise,0.01,0.98972,0.8564843269821758
27,GaussianNoise,0.01,0.99396,0.8641671788567916
28,GaussianNoise,0.01,0.99332,0.8661263060848187
29,GaussianNoise,0.01,0.98068,0.8517209588199139
30,GaussianNoise,0.01,0.99804,0.8658958205285802
31,GaussianNoise,0.01,0.99496,0.8623617086662569
32,GaussianNoise,0.01,0.98912,0.8471112476951445
33,GaussianNoise,0.01,0.9954,0.8589428395820529
34,GaussianNoise,0.01,0.99072,0.8531038721573448
35,GaussianNoise,0.01,0.99276,0.8659342347879533
36,GaussianNoise,0.01,0.9912,0.8610940381069453
37,GaussianNoise,0.01,0.996,0.865818992009834
38,GaussianNoise,0.01,0.99776,0.8690457897971727
39,GaussianNoise,0.01,0.9968,0.864359250153657
40,GaussianNoise,0.01,0.99956,0.8705823601720959
41,GaussianNoise,0.01,0.99932,0.8709665027658267
42,GaussianNoise,0.01,0.9998,0.8738859864781807
43,GaussianNoise,0.01,1.0,0.8734250153657037
44,GaussianNoise,0.01,1.0,0.8756914566687154
45,GaussianNoise,0.01,1.0,0.8763829133374309
46,GaussianNoise,0.01,1.0,0.8771896127842655
47,GaussianNoise,0.01,1.0,0.8773432698217578
48,GaussianNoise,0.01,1.0,0.8774200983405039
49,GaussianNoise,0.01,1.0,0.8775353411186232
50,GaussianNoise,0.01,1.0,0.8779194837123541
51,GaussianNoise,0.01,1.0,0.8782652120467117
52,GaussianNoise,0.01,1.0,0.8777274124154887
53,GaussianNoise,0.01,1.0,0.8776889981561156
54,GaussianNoise,0.01,1.0,0.8776889981561156
55,GaussianNoise,0.01,1.0,0.8777658266748617
56,GaussianNoise,0.01,1.0,0.8775737553779963
57,GaussianNoise,0.01,1.0,0.8778426551936078
58,GaussianNoise,0.01,1.0,0.8780731407498463
59,GaussianNoise,0.01,1.0,0.878380454824831
60,GaussianNoise,0.01,1.0,0.8782652120467117
1,GaussianNoise,0.05,0.18988,0.1958743085433313
2,GaussianNoise,0.05,0.23124,0.23048555623847572
3,GaussianNoise,0.05,0.66388,0.6756684081130916
4,GaussianNoise,0.05,0.81784,0.8032421634910879
5,GaussianNoise,0.05,0.86452,0.8365857406269207
6,GaussianNoise,0.05,0.86088,0.8327443146896127
7,GaussianNoise,0.05,0.88288,0.8344729563614014
8,GaussianNoise,0.05,0.8924,0.8461508912108174
9,GaussianNoise,0.05,0.91576,0.8575983405039951
10,GaussianNoise,0.05,0.92476,0.8547172710510141
11,GaussianNoise,0.05,0.9212,0.8408113091579594
12,GaussianNoise,0.05,0.93696,0.854678856791641
13,GaussianNoise,0.05,0.93064,0.8441533497234174
14,GaussianNoise,0.05,0.95144,0.8497618315918869
15,GaussianNoise,0.05,0.95892,0.8588275968039336
16,GaussianNoise,0.05,0.96016,0.8466502765826674
17,GaussianNoise,0.05,0.97176,0.8532575291948371
18,GaussianNoise,0.05,0.97268,0.8517209588199139
19,GaussianNoise,0.05,0.97492,0.8532575291948371
20,GaussianNoise,0.05,0.97008,0.8477258758451137
21,GaussianNoise,0.05,0.97108,0.849339274738783
22,GaussianNoise,0.05,0.97732,0.8416180086047941
23,GaussianNoise,0.05,0.98144,0.8555239704978488
24,GaussianNoise,0.05,0.98548,0.8579440688383528
25,GaussianNoise,0.05,0.9854,0.8571373693915181
26,GaussianNoise,0.05,0.978,0.8449216349108789
27,GaussianNoise,0.05,0.988,0.8613245236631838
28,GaussianNoise,0.05,0.99292,0.8627842655193608
29,GaussianNoise,0.05,0.9864,0.8521051014136447
30,GaussianNoise,0.05,0.9818,0.8443070067609096
31,GaussianNoise,0.05,0.99148,0.8600952673632453
32,GaussianNoise,0.05,0.99096,0.8654348494161033
33,GaussianNoise,0.05,0.98976,0.8568300553165334
34,GaussianNoise,0.05,0.99504,0.8584050399508297
35,GaussianNoise,0.05,0.995,0.8620159803318992
36,GaussianNoise,0.05,0.99488,0.8528349723417332
37,GaussianNoise,0.05,0.99092,0.857559926244622
38,GaussianNoise,0.05,0.99484,0.8587507682851875
39,GaussianNoise,0.05,0.98996,0.859519053472649
40,GaussianNoise,0.05,0.99184,0.8594422249539029
41,GaussianNoise,0.05,0.99296,0.8552934849416103
42,GaussianNoise,0.05,0.99472,0.8592885679164106
43,GaussianNoise,0.05,0.99616,0.8616318377381684
44,GaussianNoise,0.05,0.99496,0.8573678549477566
45,GaussianNoise,0.05,0.99556,0.8632836508912108
46,GaussianNoise,0.05,0.99772,0.8637446220036877
47,GaussianNoise,0.05,0.9986,0.8623232944068838
48,GaussianNoise,0.05,0.99332,0.8622080516287646
49,GaussianNoise,0.05,0.99676,0.8627458512599877
50,GaussianNoise,0.05,0.99532,0.8559081130915795
51,GaussianNoise,0.05,0.998,0.8637830362630609
52,GaussianNoise,0.05,0.99688,0.858020897357099
53,GaussianNoise,0.05,0.99856,0.8655500921942225
54,GaussianNoise,0.05,0.99852,0.8643976644130301
55,GaussianNoise,0.05,0.998,0.8672787338660111
56,GaussianNoise,0.05,0.99836,0.8670482483097726
57,GaussianNoise,0.05,0.99836,0.8658574062692072
58,GaussianNoise,0.05,0.99832,0.8613245236631838
59,GaussianNoise,0.05,0.99812,0.863821450522434
60,GaussianNoise,0.05,0.99764,0.8573678549477566
1,GaussianNoise,0.1,0.18988,0.1958743085433313
2,GaussianNoise,0.1,0.18988,0.1958743085433313
3,GaussianNoise,0.1,0.18988,0.1958743085433313
4,GaussianNoise,0.1,0.49972,0.5160955746773203
5,GaussianNoise,0.1,0.78608,0.7852258758451137
6,GaussianNoise,0.1,0.83132,0.8157267977873387
7,GaussianNoise,0.1,0.84844,0.823678549477566
8,GaussianNoise,0.1,0.88084,0.8490319606637984
9,GaussianNoise,0.1,0.89868,0.8529886293792256
10,GaussianNoise,0.1,0.909,0.8576751690227412
11,GaussianNoise,0.1,0.91956,0.8562538414259373
12,GaussianNoise,0.1,0.92452,0.8558312845728334
13,GaussianNoise,0.1,0.93304,0.8547172710510141
14,GaussianNoise,0.1,0.9376,0.8573294406883836
15,GaussianNoise,0.1,0.9438,0.8604409956976029
16,GaussianNoise,0.1,0.94968,0.8614013521819299
17,GaussianNoise,0.1,0.94868,0.861478180700676
18,GaussianNoise,0.1,0.9574,0.8645897357098955
19,GaussianNoise,0.1,0.96116,0.8632068223724647
20,GaussianNoise,0.1,0.96228,0.8623617086662569
21,GaussianNoise,0.1,0.9658,0.8585971112476951
22,GaussianNoise,0.1,0.96688,0.8602873386601106
23,GaussianNoise,0.1,0.97456,0.8642440073755377
24,GaussianNoise,0.1,0.97836,0.8605946527350953
25,GaussianNoise,0.1,0.97944,0.865319606637984
26,GaussianNoise,0.1,0.97604,0.8520666871542717
27,GaussianNoise,0.1,0.97684,0.8450752919483713
28,GaussianNoise,0.1,0.98288,0.8620928088506453
29,GaussianNoise,0.1,0.98472,0.8570221266133989
30,GaussianNoise,0.1,0.98168,0.8542562999385371
31,GaussianNoise,0.1,0.98116,0.8613245236631838
32,GaussianNoise,0.1,0.9878,0.8616702519975414
33,GaussianNoise,0.1,0.98496,0.8582897971727105
34,GaussianNoise,0.1,0.9908,0.8623232944068838
35,GaussianNoise,0.1,0.99076,0.8615165949600492
36,GaussianNoise,0.1,0.9938,0.857060540872772
37,GaussianNoise,0.1,0.991,0.856100184388445
38,GaussianNoise,0.1,0.99212,0.8621696373693916
