reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
BatchNorm,1.0,57,0.7702,1.0,conv1,train,0.172,25000,10
BatchNorm,1.0,57,0.7702,1.0,conv1,val,0.35000000000000003,10000,10
BatchNorm,1.0,57,0.7702,1.0,conv3,train,0.008,25000,10
BatchNorm,1.0,57,0.7702,1.0,conv3,val,0.02,10000,10
BatchNorm,1.0,57,0.7702,1.0,fc1,train,90.872,25000,10
BatchNorm,1.0,57,0.7702,1.0,fc1,val,91.59,10000,10
DataAug,0.0,60,0.6853,0.9972,conv1,train,1.1199999999999999,25000,10
DataAug,0.0,60,0.6853,0.9972,conv1,val,1.97,10000,10
DataAug,0.0,60,0.6853,0.9972,conv3,train,96.576,25000,10
DataAug,0.0,60,0.6853,0.9972,conv3,val,97.58,10000,10
DataAug,0.0,60,0.6853,0.9972,fc1,train,100.0,25000,10
DataAug,0.0,60,0.6853,0.9972,fc1,val,100.0,10000,10
DataAug,1.0,19,0.7224,0.90168,conv1,train,0.72,25000,10
DataAug,1.0,19,0.7224,0.90168,conv1,val,1.34,10000,10
DataAug,1.0,19,0.7224,0.90168,conv3,train,7.152,25000,10
DataAug,1.0,19,0.7224,0.90168,conv3,val,8.76,10000,10
DataAug,1.0,19,0.7224,0.90168,fc1,train,44.856,25000,10
DataAug,1.0,19,0.7224,0.90168,fc1,val,48.07,10000,10
DataAug,2.0,58,0.7846,0.87664,conv1,train,1.748,25000,10
DataAug,2.0,58,0.7846,0.87664,conv1,val,3.1399999999999997,10000,10
DataAug,2.0,58,0.7846,0.87664,conv3,train,62.988,25000,10
DataAug,2.0,58,0.7846,0.87664,conv3,val,66.07,10000,10
DataAug,2.0,58,0.7846,0.87664,fc1,train,87.58399999999999,25000,10
DataAug,2.0,58,0.7846,0.87664,fc1,val,88.35,10000,10
DataAug,3.0,58,0.7752,0.8182,conv1,train,2.012,25000,10
DataAug,3.0,58,0.7752,0.8182,conv1,val,3.37,10000,10
DataAug,3.0,58,0.7752,0.8182,conv3,train,45.572,25000,10
DataAug,3.0,58,0.7752,0.8182,conv3,val,48.64,10000,10
DataAug,3.0,58,0.7752,0.8182,fc1,train,83.72,25000,10
DataAug,3.0,58,0.7752,0.8182,fc1,val,85.22999999999999,10000,10
Dropout,0.0,33,0.6865,0.99256,conv1,train,0.9039999999999999,25000,10
Dropout,0.0,33,0.6865,0.99256,conv1,val,1.54,10000,10
Dropout,0.0,33,0.6865,0.99256,conv3,train,92.932,25000,10
Dropout,0.0,33,0.6865,0.99256,conv3,val,94.47,10000,10
Dropout,0.0,33,0.6865,0.99256,fc1,train,99.884,25000,10
Dropout,0.0,33,0.6865,0.99256,fc1,val,99.92,10000,10
Dropout,0.1,20,0.702,0.96104,conv1,train,0.5720000000000001,25000,10
Dropout,0.1,20,0.702,0.96104,conv1,val,0.95,10000,10
Dropout,0.1,20,0.702,0.96104,conv3,train,12.879999999999999,25000,10
Dropout,0.1,20,0.702,0.96104,conv3,val,15.409999999999998,10000,10
Dropout,0.1,20,0.702,0.96104,fc1,train,34.548,25000,10
Dropout,0.1,20,0.702,0.96104,fc1,val,36.75,10000,10
Dropout,0.15,22,0.7125,0.96312,conv1,train,0.984,25000,10
Dropout,0.15,22,0.7125,0.96312,conv1,val,1.81,10000,10
Dropout,0.15,22,0.7125,0.96312,conv3,train,10.596,25000,10
Dropout,0.15,22,0.7125,0.96312,conv3,val,12.24,10000,10
Dropout,0.15,22,0.7125,0.96312,fc1,train,36.656,25000,10
Dropout,0.15,22,0.7125,0.96312,fc1,val,38.76,10000,10
Dropout,0.2,20,0.7078,0.91508,conv1,train,0.764,25000,10
Dropout,0.2,20,0.7078,0.91508,conv1,val,1.31,10000,10
Dropout,0.2,20,0.7078,0.91508,conv3,train,2.468,25000,10
Dropout,0.2,20,0.7078,0.91508,conv3,val,3.18,10000,10
Dropout,0.2,20,0.7078,0.91508,fc1,train,15.708,25000,10
Dropout,0.2,20,0.7078,0.91508,fc1,val,17.549999999999997,10000,10
Dropout,0.225,46,0.7119,0.99448,conv1,train,1.468,25000,10
Dropout,0.225,46,0.7119,0.99448,conv1,val,2.56,10000,10
Dropout,0.225,46,0.7119,0.99448,conv3,train,53.664,25000,10
Dropout,0.225,46,0.7119,0.99448,conv3,val,56.79,10000,10
Dropout,0.225,46,0.7119,0.99448,fc1,train,85.028,25000,10
Dropout,0.225,46,0.7119,0.99448,fc1,val,85.76,10000,10
Dropout,0.25,39,0.7096,0.98572,conv1,train,1.2919999999999998,25000,10
Dropout,0.25,39,0.7096,0.98572,conv1,val,2.22,10000,10
