reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
BatchNorm,1.0,57,0.7702,1.0,conv1,train,0.736,1.1656151430356503,25000,30
BatchNorm,1.0,57,0.7702,1.0,conv1,val,1.4500000000000002,1.1696721968322992,10000,30
BatchNorm,1.0,57,0.7702,1.0,conv3,train,0.184,0.9373620411610604,25000,30
BatchNorm,1.0,57,0.7702,1.0,conv3,val,0.41000000000000003,0.9374615768730641,10000,30
BatchNorm,1.0,57,0.7702,1.0,fc1,train,74.48,1.533204083573818,25000,30
BatchNorm,1.0,57,0.7702,1.0,fc1,val,84.3,1.5330764829039574,10000,30
DataAug,0.0,60,0.6853,0.9972,conv1,train,6.683999999999999,1.3055992940092087,25000,30
DataAug,0.0,60,0.6853,0.9972,conv1,val,10.8,1.3081011766791344,10000,30
DataAug,0.0,60,0.6853,0.9972,conv3,train,27.672,1.0681284507423638,25000,30
DataAug,0.0,60,0.6853,0.9972,conv3,val,39.69,1.06761882879138,10000,30
DataAug,0.0,60,0.6853,0.9972,fc1,train,99.984,2.788155129084587,25000,30
DataAug,0.0,60,0.6853,0.9972,fc1,val,99.98,2.7824248432993888,10000,30
DataAug,1.0,19,0.7224,0.90168,conv1,train,2.8080000000000003,1.2954804746568203,25000,30
DataAug,1.0,19,0.7224,0.90168,conv1,val,4.84,1.300609907734394,10000,30
DataAug,1.0,19,0.7224,0.90168,conv3,train,2.284,0.3127515037858486,25000,30
DataAug,1.0,19,0.7224,0.90168,conv3,val,4.01,0.30964619517996905,10000,30
DataAug,1.0,19,0.7224,0.90168,fc1,train,42.559999999999995,1.3528276212254167,25000,30
DataAug,1.0,19,0.7224,0.90168,fc1,val,54.730000000000004,1.3540679026573896,10000,30
DataAug,2.0,58,0.7846,0.87664,conv1,train,11.052,1.6227963678383828,25000,30
DataAug,2.0,58,0.7846,0.87664,conv1,val,17.53,1.6271816597998143,10000,30
DataAug,2.0,58,0.7846,0.87664,conv3,train,5.244,0.478230741661489,25000,30
DataAug,2.0,58,0.7846,0.87664,conv3,val,8.44,0.4807448973402381,10000,30
DataAug,2.0,58,0.7846,0.87664,fc1,train,80.276,1.7768377892184257,25000,30
DataAug,2.0,58,0.7846,0.87664,fc1,val,89.22,1.7754878694951535,10000,30
DataAug,3.0,58,0.7752,0.8182,conv1,train,6.732,1.4047648902392387,25000,30
DataAug,3.0,58,0.7752,0.8182,conv1,val,11.35,1.4079499590456486,10000,30
DataAug,3.0,58,0.7752,0.8182,conv3,train,4.707999999999999,0.3757714243251085,25000,30
DataAug,3.0,58,0.7752,0.8182,conv3,val,7.85,0.3769750348947942,10000,30
DataAug,3.0,58,0.7752,0.8182,fc1,train,75.036,1.7153383814191818,25000,30
DataAug,3.0,58,0.7752,0.8182,fc1,val,85.68,1.714661476391554,10000,30
Dropout,0.0,33,0.6865,0.99256,conv1,train,4.352,1.257557073522806,25000,30
Dropout,0.0,33,0.6865,0.99256,conv1,val,6.92,1.2594660608828068,10000,30
Dropout,0.0,33,0.6865,0.99256,conv3,train,18.04,0.9242441644483804,25000,30
Dropout,0.0,33,0.6865,0.99256,conv3,val,26.529999999999998,0.9280999681629241,10000,30
Dropout,0.0,33,0.6865,0.99256,fc1,train,99.612,2.4487293654203417,25000,30
Dropout,0.0,33,0.6865,0.99256,fc1,val,99.87,2.445694588005543,10000,30
Dropout,0.1,20,0.702,0.96104,conv1,train,3.436,1.1190359900391103,25000,30
Dropout,0.1,20,0.702,0.96104,conv1,val,5.57,1.122509014815092,10000,30
Dropout,0.1,20,0.702,0.96104,conv3,train,2.052,0.3169164821395278,25000,30
Dropout,0.1,20,0.702,0.96104,conv3,val,3.83,0.31565036560818555,10000,30
Dropout,0.1,20,0.702,0.96104,fc1,train,34.392,1.2680410995444655,25000,30
Dropout,0.1,20,0.702,0.96104,fc1,val,45.300000000000004,1.260196799466014,10000,30
Dropout,0.15,22,0.7125,0.96312,conv1,train,3.84,1.1886658488059043,25000,30
Dropout,0.15,22,0.7125,0.96312,conv1,val,6.61,1.1931691740214825,10000,30
Dropout,0.15,22,0.7125,0.96312,conv3,train,1.844,0.1939063702210784,25000,30
Dropout,0.15,22,0.7125,0.96312,conv3,val,3.36,0.19441001599505545,10000,30
Dropout,0.15,22,0.7125,0.96312,fc1,train,34.476,1.2875607882851363,25000,30
Dropout,0.15,22,0.7125,0.96312,fc1,val,45.019999999999996,1.2770888808399439,10000,30
Dropout,0.2,20,0.7078,0.91508,conv1,train,3.4840000000000004,1.1973580705428124,25000,30
Dropout,0.2,20,0.7078,0.91508,conv1,val,5.53,1.197750778335333,10000,30
Dropout,0.2,20,0.7078,0.91508,conv3,train,1.376,0.2601930443876982,25000,30
Dropout,0.2,20,0.7078,0.91508,conv3,val,2.4299999999999997,0.2587019278541207,10000,30
Dropout,0.2,20,0.7078,0.91508,fc1,train,20.7,1.0361348097029328,25000,30
Dropout,0.2,20,0.7078,0.91508,fc1,val,29.34,1.026960947228223,10000,30
