reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,num_images,n_bins
BatchNorm,1.0,57,0.7702,1.0,conv1,train,100.0,25000,30
BatchNorm,1.0,57,0.7702,1.0,conv1,val,100.0,10000,30
BatchNorm,1.0,57,0.7702,1.0,conv3,train,96.87599999999999,25000,30
BatchNorm,1.0,57,0.7702,1.0,conv3,val,98.83,10000,30
BatchNorm,1.0,57,0.7702,1.0,fc1,train,63.068000000000005,25000,30
BatchNorm,1.0,57,0.7702,1.0,fc1,val,75.16000000000001,10000,30
DataAug,0.0,60,0.6853,0.9972,conv1,train,100.0,25000,30
DataAug,0.0,60,0.6853,0.9972,conv1,val,100.0,10000,30
DataAug,0.0,60,0.6853,0.9972,conv3,train,100.0,25000,30
DataAug,0.0,60,0.6853,0.9972,conv3,val,100.0,10000,30
DataAug,0.0,60,0.6853,0.9972,fc1,train,99.9,25000,30
DataAug,0.0,60,0.6853,0.9972,fc1,val,99.95,10000,30
DataAug,1.0,19,0.7224,0.90168,conv1,train,100.0,25000,30
DataAug,1.0,19,0.7224,0.90168,conv1,val,100.0,10000,30
DataAug,1.0,19,0.7224,0.90168,conv3,train,99.96000000000001,25000,30
DataAug,1.0,19,0.7224,0.90168,conv3,val,99.97,10000,30
DataAug,1.0,19,0.7224,0.90168,fc1,train,32.632,25000,30
DataAug,1.0,19,0.7224,0.90168,fc1,val,43.919999999999995,10000,30
DataAug,2.0,58,0.7846,0.87664,conv1,train,100.0,25000,30
DataAug,2.0,58,0.7846,0.87664,conv1,val,100.0,10000,30
DataAug,2.0,58,0.7846,0.87664,conv3,train,100.0,25000,30
DataAug,2.0,58,0.7846,0.87664,conv3,val,100.0,10000,30
DataAug,2.0,58,0.7846,0.87664,fc1,train,69.108,25000,30
DataAug,2.0,58,0.7846,0.87664,fc1,val,80.5,10000,30
DataAug,3.0,58,0.7752,0.8182,conv1,train,100.0,25000,30
DataAug,3.0,58,0.7752,0.8182,conv1,val,100.0,10000,30
DataAug,3.0,58,0.7752,0.8182,conv3,train,100.0,25000,30
DataAug,3.0,58,0.7752,0.8182,conv3,val,100.0,10000,30
DataAug,3.0,58,0.7752,0.8182,fc1,train,63.168,25000,30
DataAug,3.0,58,0.7752,0.8182,fc1,val,75.97,10000,30
Dropout,0.0,33,0.6865,0.99256,conv1,train,100.0,25000,30
Dropout,0.0,33,0.6865,0.99256,conv1,val,100.0,10000,30
Dropout,0.0,33,0.6865,0.99256,conv3,train,100.0,25000,30
Dropout,0.0,33,0.6865,0.99256,conv3,val,100.0,10000,30
Dropout,0.0,33,0.6865,0.99256,fc1,train,98.61999999999999,25000,30
Dropout,0.0,33,0.6865,0.99256,fc1,val,99.58,10000,30
Dropout,0.1,20,0.702,0.96104,conv1,train,100.0,25000,30
Dropout,0.1,20,0.702,0.96104,conv1,val,100.0,10000,30
Dropout,0.1,20,0.702,0.96104,conv3,train,99.984,25000,30
Dropout,0.1,20,0.702,0.96104,conv3,val,100.0,10000,30
Dropout,0.1,20,0.702,0.96104,fc1,train,25.887999999999998,25000,30
Dropout,0.1,20,0.702,0.96104,fc1,val,35.91,10000,30
Dropout,0.15,22,0.7125,0.96312,conv1,train,100.0,25000,30
Dropout,0.15,22,0.7125,0.96312,conv1,val,100.0,10000,30
Dropout,0.15,22,0.7125,0.96312,conv3,train,99.91600000000001,25000,30
Dropout,0.15,22,0.7125,0.96312,conv3,val,99.98,10000,30
Dropout,0.15,22,0.7125,0.96312,fc1,train,25.64,25000,30
Dropout,0.15,22,0.7125,0.96312,fc1,val,35.74,10000,30
Dropout,0.2,20,0.7078,0.91508,conv1,train,100.0,25000,30
Dropout,0.2,20,0.7078,0.91508,conv1,val,100.0,10000,30
Dropout,0.2,20,0.7078,0.91508,conv3,train,99.556,25000,30
Dropout,0.2,20,0.7078,0.91508,conv3,val,99.75,10000,30
Dropout,0.2,20,0.7078,0.91508,fc1,train,15.128,25000,30
Dropout,0.2,20,0.7078,0.91508,fc1,val,22.36,10000,30
Dropout,0.225,46,0.7119,0.99448,conv1,train,100.0,25000,30
Dropout,0.225,46,0.7119,0.99448,conv1,val,100.0,10000,30
Dropout,0.225,46,0.7119,0.99448,conv3,train,100.0,25000,30
Dropout,0.225,46,0.7119,0.99448,conv3,val,100.0,10000,30
Dropout,0.225,46,0.7119,0.99448,fc1,train,66.532,25000,30
Dropout,0.225,46,0.7119,0.99448,fc1,val,78.3,10000,30
Dropout,0.25,39,0.7096,0.98572,conv1,train,100.0,25000,30
Dropout,0.25,39,0.7096,0.98572,conv1,val,100.0,10000,30
Dropout,0.25,39,0.7096,0.98572,conv3,train,99.996,25000,30
Dropout,0.25,39,0.7096,0.98572,conv3,val,99.99,10000,30
Dropout,0.25,39,0.7096,0.98572,fc1,train,49.312,25000,30
Dropout,0.25,39,0.7096,0.98572,fc1,val,63.23,10000,30
Dropout,0.275,37,0.713,0.97568,conv1,train,100.0,25000,30
Dropout,0.275,37,0.713,0.97568,conv1,val,100.0,10000,30
Dropout,0.275,37,0.713,0.97568,conv3,train,99.96000000000001,25000,30
Dropout,0.275,37,0.713,0.97568,conv3,val,99.98,10000,30
Dropout,0.275,37,0.713,0.97568,fc1,train,36.716,25000,30
Dropout,0.275,37,0.713,0.97568,fc1,val,48.8,10000,30
Dropout,0.3,41,0.7204,0.97604,conv1,train,100.0,25000,30
Dropout,0.3,41,0.7204,0.97604,conv1,val,100.0,10000,30
Dropout,0.3,41,0.7204,0.97604,conv3,train,99.96000000000001,25000,30
Dropout,0.3,41,0.7204,0.97604,conv3,val,100.0,10000,30
Dropout,0.3,41,0.7204,0.97604,fc1,train,43.784,25000,30
Dropout,0.3,41,0.7204,0.97604,fc1,val,56.589999999999996,10000,30
Dropout,0.325,60,0.7176,0.9888,conv1,train,100.0,25000,30
Dropout,0.325,60,0.7176,0.9888,conv1,val,100.0,10000,30
Dropout,0.325,60,0.7176,0.9888,conv3,train,99.992,25000,30
Dropout,0.325,60,0.7176,0.9888,conv3,val,100.0,10000,30
Dropout,0.325,60,0.7176,0.9888,fc1,train,64.20400000000001,25000,30
Dropout,0.325,60,0.7176,0.9888,fc1,val,76.03,10000,30
Dropout,0.35,49,0.724,0.97312,conv1,train,100.0,25000,30
Dropout,0.35,49,0.724,0.97312,conv1,val,100.0,10000,30
Dropout,0.35,49,0.724,0.97312,conv3,train,99.976,25000,30
Dropout,0.35,49,0.724,0.97312,conv3,val,100.0,10000,30
Dropout,0.35,49,0.724,0.97312,fc1,train,39.135999999999996,25000,30
Dropout,0.35,49,0.724,0.97312,fc1,val,51.72,10000,30
Dropout,0.4,52,0.7262,0.9626,conv1,train,100.0,25000,30
Dropout,0.4,52,0.7262,0.9626,conv1,val,100.0,10000,30
Dropout,0.4,52,0.7262,0.9626,conv3,train,99.892,25000,30
Dropout,0.4,52,0.7262,0.9626,conv3,val,99.98,10000,30
Dropout,0.4,52,0.7262,0.9626,fc1,train,35.668,25000,30
Dropout,0.4,52,0.7262,0.9626,fc1,val,47.04,10000,30
Dropout,0.425,56,0.7212,0.94892,conv1,train,100.0,25000,30
Dropout,0.425,56,0.7212,0.94892,conv1,val,100.0,10000,30
Dropout,0.425,56,0.7212,0.94892,conv3,train,99.888,25000,30
Dropout,0.425,56,0.7212,0.94892,conv3,val,99.97,10000,30
Dropout,0.425,56,0.7212,0.94892,fc1,train,32.4,25000,30
Dropout,0.425,56,0.7212,0.94892,fc1,val,43.5,10000,30
Dropout,0.45,47,0.7258,0.92576,conv1,train,100.0,25000,30
Dropout,0.45,47,0.7258,0.92576,conv1,val,100.0,10000,30
Dropout,0.45,47,0.7258,0.92576,conv3,train,98.944,25000,30
Dropout,0.45,47,0.7258,0.92576,conv3,val,99.42,10000,30
Dropout,0.45,47,0.7258,0.92576,fc1,train,17.964,25000,30
Dropout,0.45,47,0.7258,0.92576,fc1,val,25.88,10000,30
Dropout,0.475,55,0.7194,0.9208,conv1,train,100.0,25000,30
Dropout,0.475,55,0.7194,0.9208,conv1,val,100.0,10000,30
Dropout,0.475,55,0.7194,0.9208,conv3,train,99.012,25000,30
Dropout,0.475,55,0.7194,0.9208,conv3,val,99.6,10000,30
Dropout,0.475,55,0.7194,0.9208,fc1,train,19.164,25000,30
Dropout,0.475,55,0.7194,0.9208,fc1,val,26.810000000000002,10000,30
Dropout,0.5,57,0.7244,0.91556,conv1,train,100.0,25000,30
Dropout,0.5,57,0.7244,0.91556,conv1,val,100.0,10000,30
Dropout,0.5,57,0.7244,0.91556,conv3,train,98.784,25000,30
Dropout,0.5,57,0.7244,0.91556,conv3,val,99.47,10000,30
Dropout,0.5,57,0.7244,0.91556,fc1,train,19.864,25000,30
Dropout,0.5,57,0.7244,0.91556,fc1,val,27.88,10000,30
Dropout,0.525,58,0.7271,0.90092,conv1,train,100.0,25000,30
Dropout,0.525,58,0.7271,0.90092,conv1,val,100.0,10000,30
Dropout,0.525,58,0.7271,0.90092,conv3,train,98.48400000000001,25000,30
Dropout,0.525,58,0.7271,0.90092,conv3,val,99.27,10000,30
Dropout,0.525,58,0.7271,0.90092,fc1,train,20.983999999999998,25000,30
Dropout,0.525,58,0.7271,0.90092,fc1,val,29.37,10000,30
Dropout,0.55,58,0.7173,0.88832,conv1,train,100.0,25000,30
Dropout,0.55,58,0.7173,0.88832,conv1,val,100.0,10000,30
Dropout,0.55,58,0.7173,0.88832,conv3,train,96.98,25000,30
Dropout,0.55,58,0.7173,0.88832,conv3,val,98.52,10000,30
Dropout,0.55,58,0.7173,0.88832,fc1,train,15.084,25000,30
Dropout,0.55,58,0.7173,0.88832,fc1,val,22.34,10000,30
Dropout,0.575,46,0.7179,0.84796,conv1,train,100.0,25000,30
Dropout,0.575,46,0.7179,0.84796,conv1,val,100.0,10000,30
Dropout,0.575,46,0.7179,0.84796,conv3,train,90.408,25000,30
Dropout,0.575,46,0.7179,0.84796,conv3,val,94.22,10000,30
Dropout,0.575,46,0.7179,0.84796,fc1,train,8.996,25000,30
Dropout,0.575,46,0.7179,0.84796,fc1,val,14.469999999999999,10000,30
Dropout,0.6,59,0.7112,0.85744,conv1,train,100.0,25000,30
Dropout,0.6,59,0.7112,0.85744,conv1,val,100.0,10000,30
Dropout,0.6,59,0.7112,0.85744,conv3,train,95.48,25000,30
Dropout,0.6,59,0.7112,0.85744,conv3,val,97.45,10000,30
Dropout,0.6,59,0.7112,0.85744,fc1,train,12.912,25000,30
Dropout,0.6,59,0.7112,0.85744,fc1,val,19.49,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv1,train,100.0,25000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv1,val,100.0,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv3,train,99.992,25000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv3,val,99.99,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,fc1,train,30.432,25000,30
EarlyStopping,3.0,14,0.6854,0.92332,fc1,val,41.31,10000,30
EarlyStopping,5.0,16,0.6845,0.9482,conv1,train,100.0,25000,30
EarlyStopping,5.0,16,0.6845,0.9482,conv1,val,100.0,10000,30
EarlyStopping,5.0,16,0.6845,0.9482,conv3,train,100.0,25000,30
EarlyStopping,5.0,16,0.6845,0.9482,conv3,val,100.0,10000,30
EarlyStopping,5.0,16,0.6845,0.9482,fc1,train,53.992,25000,30
EarlyStopping,5.0,16,0.6845,0.9482,fc1,val,66.85,10000,30
EarlyStopping,8.0,11,0.6958,0.86676,conv1,train,100.0,25000,30
EarlyStopping,8.0,11,0.6958,0.86676,conv1,val,100.0,10000,30
EarlyStopping,8.0,11,0.6958,0.86676,conv3,train,99.36,25000,30
EarlyStopping,8.0,11,0.6958,0.86676,conv3,val,99.74,10000,30
EarlyStopping,8.0,11,0.6958,0.86676,fc1,train,9.828000000000001,25000,30
EarlyStopping,8.0,11,0.6958,0.86676,fc1,val,15.22,10000,30
EarlyStopping,12.0,13,0.6848,0.90624,conv1,train,100.0,25000,30
EarlyStopping,12.0,13,0.6848,0.90624,conv1,val,100.0,10000,30
EarlyStopping,12.0,13,0.6848,0.90624,conv3,train,99.908,25000,30
EarlyStopping,12.0,13,0.6848,0.90624,conv3,val,99.99,10000,30
EarlyStopping,12.0,13,0.6848,0.90624,fc1,train,18.52,25000,30
EarlyStopping,12.0,13,0.6848,0.90624,fc1,val,26.810000000000002,10000,30
EarlyStopping,15.0,12,0.6911,0.88412,conv1,train,100.0,25000,30
EarlyStopping,15.0,12,0.6911,0.88412,conv1,val,100.0,10000,30
EarlyStopping,15.0,12,0.6911,0.88412,conv3,train,99.848,25000,30
EarlyStopping,15.0,12,0.6911,0.88412,conv3,val,99.92999999999999,10000,30
EarlyStopping,15.0,12,0.6911,0.88412,fc1,train,13.388,25000,30
EarlyStopping,15.0,12,0.6911,0.88412,fc1,val,20.0,10000,30
GaussianNoise,0.01,57,0.6967,1.0,conv1,train,100.0,25000,30
GaussianNoise,0.01,57,0.6967,1.0,conv1,val,100.0,10000,30
GaussianNoise,0.01,57,0.6967,1.0,conv3,train,100.0,25000,30
GaussianNoise,0.01,57,0.6967,1.0,conv3,val,100.0,10000,30
GaussianNoise,0.01,57,0.6967,1.0,fc1,train,99.968,25000,30
GaussianNoise,0.01,57,0.6967,1.0,fc1,val,99.99,10000,30
GaussianNoise,0.05,46,0.6811,0.9968,conv1,train,100.0,25000,30
GaussianNoise,0.05,46,0.6811,0.9968,conv1,val,100.0,10000,30
GaussianNoise,0.05,46,0.6811,0.9968,conv3,train,100.0,25000,30
GaussianNoise,0.05,46,0.6811,0.9968,conv3,val,100.0,10000,30
GaussianNoise,0.05,46,0.6811,0.9968,fc1,train,99.872,25000,30
GaussianNoise,0.05,46,0.6811,0.9968,fc1,val,99.96000000000001,10000,30
GaussianNoise,0.1,46,0.6602,0.99196,conv1,train,100.0,25000,30
GaussianNoise,0.1,46,0.6602,0.99196,conv1,val,100.0,10000,30
GaussianNoise,0.1,46,0.6602,0.99196,conv3,train,100.0,25000,30
GaussianNoise,0.1,46,0.6602,0.99196,conv3,val,100.0,10000,30
GaussianNoise,0.1,46,0.6602,0.99196,fc1,train,99.652,25000,30
GaussianNoise,0.1,46,0.6602,0.99196,fc1,val,99.8,10000,30
GaussianNoise,0.2,15,0.6339,0.8322,conv1,train,100.0,25000,30
GaussianNoise,0.2,15,0.6339,0.8322,conv1,val,100.0,10000,30
GaussianNoise,0.2,15,0.6339,0.8322,conv3,train,99.78,25000,30
GaussianNoise,0.2,15,0.6339,0.8322,conv3,val,99.89,10000,30
GaussianNoise,0.2,15,0.6339,0.8322,fc1,train,20.136000000000003,25000,30
GaussianNoise,0.2,15,0.6339,0.8322,fc1,val,27.87,10000,30
L1,0.0,60,0.6936,1.0,conv1,train,100.0,25000,30
L1,0.0,60,0.6936,1.0,conv1,val,100.0,10000,30
L1,0.0,60,0.6936,1.0,conv3,train,100.0,25000,30
L1,0.0,60,0.6936,1.0,conv3,val,100.0,10000,30
L1,0.0,60,0.6936,1.0,fc1,train,99.988,25000,30
L1,0.0,60,0.6936,1.0,fc1,val,99.99,10000,30
L1,0.0001,18,0.6856,0.86348,conv1,train,100.0,25000,30
L1,0.0001,18,0.6856,0.86348,conv1,val,100.0,10000,30
L1,0.0001,18,0.6856,0.86348,conv3,train,99.788,25000,30
L1,0.0001,18,0.6856,0.86348,conv3,val,99.91,10000,30
L1,0.0001,18,0.6856,0.86348,fc1,train,9.06,25000,30
L1,0.0001,18,0.6856,0.86348,fc1,val,13.780000000000001,10000,30
L1,0.0005,49,0.5346,0.561,conv1,train,100.0,25000,30
L1,0.0005,49,0.5346,0.561,conv1,val,100.0,10000,30
L1,0.0005,49,0.5346,0.561,conv3,train,20.288,25000,30
L1,0.0005,49,0.5346,0.561,conv3,val,29.62,10000,30
