reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
BatchNorm,1.0,57,0.7702,1.0,conv1,train,0.7833782589665526,25000
BatchNorm,1.0,57,0.7702,1.0,conv1,val,0.7820822549367865,10000
BatchNorm,1.0,57,0.7702,1.0,conv3,train,0.3437078523071098,25000
BatchNorm,1.0,57,0.7702,1.0,conv3,val,0.3434816223946788,10000
BatchNorm,1.0,57,0.7702,1.0,fc1,train,0.4056182653210983,25000
BatchNorm,1.0,57,0.7702,1.0,fc1,val,0.4050324639736893,10000
DataAug,0.0,60,0.6853,0.9972,conv1,train,1.0,25000
DataAug,0.0,60,0.6853,0.9972,conv1,val,1.0,10000
DataAug,0.0,60,0.6853,0.9972,conv3,train,1.0,25000
DataAug,0.0,60,0.6853,0.9972,conv3,val,1.0,10000
DataAug,0.0,60,0.6853,0.9972,fc1,train,1.0,25000
DataAug,0.0,60,0.6853,0.9972,fc1,val,1.0,10000
DataAug,1.0,19,0.7224,0.90168,conv1,train,0.8963891090777436,25000
DataAug,1.0,19,0.7224,0.90168,conv1,val,0.8949042731933403,10000
DataAug,1.0,19,0.7224,0.90168,conv3,train,0.40383034270676377,25000
DataAug,1.0,19,0.7224,0.90168,conv3,val,0.40383547457071406,10000
DataAug,1.0,19,0.7224,0.90168,fc1,train,0.32462539002567414,25000
DataAug,1.0,19,0.7224,0.90168,fc1,val,0.3260616287734351,10000
DataAug,2.0,58,0.7846,0.87664,conv1,train,1.567633680446516,25000
DataAug,2.0,58,0.7846,0.87664,conv1,val,1.5674571879846932,10000
DataAug,2.0,58,0.7846,0.87664,conv3,train,0.5945342139933367,25000
DataAug,2.0,58,0.7846,0.87664,conv3,val,0.5958735558897437,10000
DataAug,2.0,58,0.7846,0.87664,fc1,train,0.4564711186391347,25000
DataAug,2.0,58,0.7846,0.87664,fc1,val,0.45804762927168785,10000
DataAug,3.0,58,0.7752,0.8182,conv1,train,1.0406268202965492,25000
DataAug,3.0,58,0.7752,0.8182,conv1,val,1.0391302354372627,10000
DataAug,3.0,58,0.7752,0.8182,conv3,train,0.5532359962622212,25000
DataAug,3.0,58,0.7752,0.8182,conv3,val,0.554747807884653,10000
DataAug,3.0,58,0.7752,0.8182,fc1,train,0.4332960746540685,25000
DataAug,3.0,58,0.7752,0.8182,fc1,val,0.4344671015438964,10000
Dropout,0.0,33,0.6865,0.99256,conv1,train,0.8665703807430759,25000
Dropout,0.0,33,0.6865,0.99256,conv1,val,0.8647804912178907,10000
Dropout,0.0,33,0.6865,0.99256,conv3,train,0.881431351334693,25000
Dropout,0.0,33,0.6865,0.99256,conv3,val,0.880605480610078,10000
Dropout,0.0,33,0.6865,0.99256,fc1,train,0.7745257986768881,25000
Dropout,0.0,33,0.6865,0.99256,fc1,val,0.7755007541520571,10000
Dropout,0.1,20,0.702,0.96104,conv1,train,0.8072574404461821,25000
Dropout,0.1,20,0.702,0.96104,conv1,val,0.8069732830338294,10000
Dropout,0.1,20,0.702,0.96104,conv3,train,0.4486035610157161,25000
Dropout,0.1,20,0.702,0.96104,conv3,val,0.4486660110732305,10000
Dropout,0.1,20,0.702,0.96104,fc1,train,0.30178116637275976,25000
Dropout,0.1,20,0.702,0.96104,fc1,val,0.30131694077002497,10000
Dropout,0.15,22,0.7125,0.96312,conv1,train,0.8759622558942629,25000
Dropout,0.15,22,0.7125,0.96312,conv1,val,0.8767710446452416,10000
Dropout,0.15,22,0.7125,0.96312,conv3,train,0.4120429173165038,25000
Dropout,0.15,22,0.7125,0.96312,conv3,val,0.41216627179645615,10000
Dropout,0.15,22,0.7125,0.96312,fc1,train,0.30757711774682855,25000
Dropout,0.15,22,0.7125,0.96312,fc1,val,0.30732463600686877,10000
Dropout,0.2,20,0.7078,0.91508,conv1,train,0.8061044434579747,25000
Dropout,0.2,20,0.7078,0.91508,conv1,val,0.804775514037037,10000
Dropout,0.2,20,0.7078,0.91508,conv3,train,0.3344435321348814,25000
Dropout,0.2,20,0.7078,0.91508,conv3,val,0.33441097283474064,10000
Dropout,0.2,20,0.7078,0.91508,fc1,train,0.2500430584305508,25000
Dropout,0.2,20,0.7078,0.91508,fc1,val,0.2500262410494954,10000
Dropout,0.225,46,0.7119,0.99448,conv1,train,0.9943661363745188,25000
Dropout,0.225,46,0.7119,0.99448,conv1,val,0.9925859970541521,10000
Dropout,0.225,46,0.7119,0.99448,conv3,train,0.6186197184338751,25000
Dropout,0.225,46,0.7119,0.99448,conv3,val,0.6189353253518993,10000
Dropout,0.225,46,0.7119,0.99448,fc1,train,0.4767128803269418,25000
Dropout,0.225,46,0.7119,0.99448,fc1,val,0.4741556091617516,10000
Dropout,0.25,39,0.7096,0.98572,conv1,train,0.869620639205753,25000
Dropout,0.25,39,0.7096,0.98572,conv1,val,0.8683139009198244,10000
Dropout,0.25,39,0.7096,0.98572,conv3,train,0.508862806129693,25000
Dropout,0.25,39,0.7096,0.98572,conv3,val,0.5111969654258236,10000
Dropout,0.25,39,0.7096,0.98572,fc1,train,0.4024669549344994,25000
Dropout,0.25,39,0.7096,0.98572,fc1,val,0.4004070700062121,10000
Dropout,0.275,37,0.713,0.97568,conv1,train,0.9239984965466501,25000
Dropout,0.275,37,0.713,0.97568,conv1,val,0.9229033448969894,10000
Dropout,0.275,37,0.713,0.97568,conv3,train,0.43750590219038676,25000
Dropout,0.275,37,0.713,0.97568,conv3,val,0.43797410409593385,10000
Dropout,0.275,37,0.713,0.97568,fc1,train,0.3538331090408178,25000
Dropout,0.275,37,0.713,0.97568,fc1,val,0.35318672679291646,10000
Dropout,0.3,41,0.7204,0.97604,conv1,train,0.8397266671351263,25000
Dropout,0.3,41,0.7204,0.97604,conv1,val,0.8366121564947926,10000
Dropout,0.3,41,0.7204,0.97604,conv3,train,0.44647414978190786,25000
Dropout,0.3,41,0.7204,0.97604,conv3,val,0.44736093762253193,10000
Dropout,0.3,41,0.7204,0.97604,fc1,train,0.3827157075916964,25000
Dropout,0.3,41,0.7204,0.97604,fc1,val,0.3817247188265003,10000
Dropout,0.325,60,0.7176,0.9888,conv1,train,1.009370643447652,25000
Dropout,0.325,60,0.7176,0.9888,conv1,val,1.0064672431444723,10000
Dropout,0.325,60,0.7176,0.9888,conv3,train,0.5702667735022745,25000
Dropout,0.325,60,0.7176,0.9888,conv3,val,0.570362109969658,10000
Dropout,0.325,60,0.7176,0.9888,fc1,train,0.4710328479803544,25000
Dropout,0.325,60,0.7176,0.9888,fc1,val,0.4685951242297745,10000
Dropout,0.35,49,0.724,0.97312,conv1,train,0.873293102068261,25000
Dropout,0.35,49,0.724,0.97312,conv1,val,0.8706385288393353,10000
Dropout,0.35,49,0.724,0.97312,conv3,train,0.48733970531422766,25000
Dropout,0.35,49,0.724,0.97312,conv3,val,0.4894321579029164,10000
Dropout,0.35,49,0.724,0.97312,fc1,train,0.36334824049638226,25000
Dropout,0.35,49,0.724,0.97312,fc1,val,0.3613017549896112,10000
Dropout,0.4,52,0.7262,0.9626,conv1,train,1.0143038608564763,25000
Dropout,0.4,52,0.7262,0.9626,conv1,val,1.0125214880551634,10000
Dropout,0.4,52,0.7262,0.9626,conv3,train,0.4453981075568949,25000
Dropout,0.4,52,0.7262,0.9626,conv3,val,0.4469604214334399,10000
Dropout,0.4,52,0.7262,0.9626,fc1,train,0.35112137246565145,25000
Dropout,0.4,52,0.7262,0.9626,fc1,val,0.3492483444417171,10000
Dropout,0.425,56,0.7212,0.94892,conv1,train,1.006680790931593,25000
Dropout,0.425,56,0.7212,0.94892,conv1,val,1.0044023403174354,10000
Dropout,0.425,56,0.7212,0.94892,conv3,train,0.4288706537040441,25000
Dropout,0.425,56,0.7212,0.94892,conv3,val,0.42935662680789094,10000
Dropout,0.425,56,0.7212,0.94892,fc1,train,0.33899833974248195,25000
Dropout,0.425,56,0.7212,0.94892,fc1,val,0.33622241180635204,10000
Dropout,0.45,47,0.7258,0.92576,conv1,train,0.8787476954940195,25000
Dropout,0.45,47,0.7258,0.92576,conv1,val,0.8743444702098411,10000
Dropout,0.45,47,0.7258,0.92576,conv3,train,0.3664600670730969,25000
Dropout,0.45,47,0.7258,0.92576,conv3,val,0.3665950305636252,10000
Dropout,0.45,47,0.7258,0.92576,fc1,train,0.2737480435610612,25000
Dropout,0.45,47,0.7258,0.92576,fc1,val,0.2722277067397158,10000
Dropout,0.475,55,0.7194,0.9208,conv1,train,1.0036069022047303,25000
Dropout,0.475,55,0.7194,0.9208,conv1,val,0.9994612029459186,10000
Dropout,0.475,55,0.7194,0.9208,conv3,train,0.37868065545406415,25000
Dropout,0.475,55,0.7194,0.9208,conv3,val,0.37818319081453544,10000
Dropout,0.475,55,0.7194,0.9208,fc1,train,0.27455986760151446,25000
Dropout,0.475,55,0.7194,0.9208,fc1,val,0.27189020496222827,10000
Dropout,0.5,57,0.7244,0.91556,conv1,train,0.8767707485046085,25000
Dropout,0.5,57,0.7244,0.91556,conv1,val,0.872462788417427,10000
Dropout,0.5,57,0.7244,0.91556,conv3,train,0.33303193181305385,25000
Dropout,0.5,57,0.7244,0.91556,conv3,val,0.33262523046316345,10000
Dropout,0.5,57,0.7244,0.91556,fc1,train,0.28361637140156754,25000
Dropout,0.5,57,0.7244,0.91556,fc1,val,0.28146270750960595,10000
Dropout,0.525,58,0.7271,0.90092,conv1,train,0.9383067991821086,25000
Dropout,0.525,58,0.7271,0.90092,conv1,val,0.9353182926591176,10000
Dropout,0.525,58,0.7271,0.90092,conv3,train,0.3487183579308379,25000
Dropout,0.525,58,0.7271,0.90092,conv3,val,0.34948130871290717,10000
Dropout,0.525,58,0.7271,0.90092,fc1,train,0.2890930324619527,25000
Dropout,0.525,58,0.7271,0.90092,fc1,val,0.28676143633689083,10000
Dropout,0.55,58,0.7173,0.88832,conv1,train,0.9271025005350123,25000
Dropout,0.55,58,0.7173,0.88832,conv1,val,0.9242994114399715,10000
Dropout,0.55,58,0.7173,0.88832,conv3,train,0.32395114362161703,25000
Dropout,0.55,58,0.7173,0.88832,conv3,val,0.32321769195988087,10000
Dropout,0.55,58,0.7173,0.88832,fc1,train,0.2601329482784868,25000
Dropout,0.55,58,0.7173,0.88832,fc1,val,0.2583428868858294,10000
Dropout,0.575,46,0.7179,0.84796,conv1,train,0.9553622532824969,25000
Dropout,0.575,46,0.7179,0.84796,conv1,val,0.950904095096134,10000
Dropout,0.575,46,0.7179,0.84796,conv3,train,0.2898832879685569,25000
Dropout,0.575,46,0.7179,0.84796,conv3,val,0.2893206204959802,10000
Dropout,0.575,46,0.7179,0.84796,fc1,train,0.2120448728776379,25000
Dropout,0.575,46,0.7179,0.84796,fc1,val,0.21174573587853626,10000
Dropout,0.6,59,0.7112,0.85744,conv1,train,0.9294912892716557,25000
Dropout,0.6,59,0.7112,0.85744,conv1,val,0.9259330292665124,10000
Dropout,0.6,59,0.7112,0.85744,conv3,train,0.33857231380171504,25000
Dropout,0.6,59,0.7112,0.85744,conv3,val,0.33859200329255873,10000
Dropout,0.6,59,0.7112,0.85744,fc1,train,0.2424907986218436,25000
Dropout,0.6,59,0.7112,0.85744,fc1,val,0.24105072237813796,10000
EarlyStopping,3.0,14,0.6854,0.92332,conv1,train,0.91461488310437,25000
EarlyStopping,3.0,14,0.6854,0.92332,conv1,val,0.9146016828595839,10000
EarlyStopping,3.0,14,0.6854,0.92332,conv3,train,0.46734170848187406,25000
EarlyStopping,3.0,14,0.6854,0.92332,conv3,val,0.468076500516882,10000
EarlyStopping,3.0,14,0.6854,0.92332,fc1,train,0.31008401735547886,25000
EarlyStopping,3.0,14,0.6854,0.92332,fc1,val,0.31104402665697994,10000
EarlyStopping,5.0,16,0.6845,0.9482,conv1,train,0.9207368094044187,25000
EarlyStopping,5.0,16,0.6845,0.9482,conv1,val,0.9210420700761268,10000
EarlyStopping,5.0,16,0.6845,0.9482,conv3,train,0.5696968062683738,25000
EarlyStopping,5.0,16,0.6845,0.9482,conv3,val,0.5696481319821554,10000
EarlyStopping,5.0,16,0.6845,0.9482,fc1,train,0.3986122482799916,25000
EarlyStopping,5.0,16,0.6845,0.9482,fc1,val,0.3991321868983086,10000
EarlyStopping,8.0,11,0.6958,0.86676,conv1,train,0.8852159917191026,25000
EarlyStopping,8.0,11,0.6958,0.86676,conv1,val,0.8858119514356482,10000
EarlyStopping,8.0,11,0.6958,0.86676,conv3,train,0.32153859234547816,25000
