reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
Baseline,0.0,15,0.3237,0.59392,conv1,train,1.0,25000
Baseline,0.0,15,0.3237,0.59392,conv1,val,1.0,10000
Baseline,0.0,15,0.3237,0.59392,conv3,train,1.0,25000
Baseline,0.0,15,0.3237,0.59392,conv3,val,1.0,10000
Baseline,0.0,15,0.3237,0.59392,fc1,train,1.0,25000
Baseline,0.0,15,0.3237,0.59392,fc1,val,1.0,10000
BatchNorm,1.0,46,0.4179,1.0,conv1,train,1.0846123433928434,25000
BatchNorm,1.0,46,0.4179,1.0,conv1,val,1.0845830940986791,10000
BatchNorm,1.0,46,0.4179,1.0,conv3,train,0.6283142039336198,25000
BatchNorm,1.0,46,0.4179,1.0,conv3,val,0.6261457591089998,10000
BatchNorm,1.0,46,0.4179,1.0,fc1,train,1.7233881147368453,25000
BatchNorm,1.0,46,0.4179,1.0,fc1,val,1.708740005131927,10000
DataAug,1.0,22,0.3692,0.6532,conv1,train,1.030338486095208,25000
DataAug,1.0,22,0.3692,0.6532,conv1,val,1.0296341247728338,10000
DataAug,1.0,22,0.3692,0.6532,conv3,train,1.21334767853319,25000
DataAug,1.0,22,0.3692,0.6532,conv3,val,1.2123516705446913,10000
DataAug,1.0,22,0.3692,0.6532,fc1,train,1.3622522059181545,25000
DataAug,1.0,22,0.3692,0.6532,fc1,val,1.362239940912578,10000
DataAug,2.0,53,0.4468,0.60232,conv1,train,1.062754871610174,25000
DataAug,2.0,53,0.4468,0.60232,conv1,val,1.06095549466464,10000
DataAug,2.0,53,0.4468,0.60232,conv3,train,1.0497376061332475,25000
DataAug,2.0,53,0.4468,0.60232,conv3,val,1.0488831467277167,10000
DataAug,2.0,53,0.4468,0.60232,fc1,train,1.3131845772249586,25000
DataAug,2.0,53,0.4468,0.60232,fc1,val,1.3105451918256779,10000
DataAug,3.0,55,0.4358,0.5542,conv1,train,1.4138352854999006,25000
DataAug,3.0,55,0.4358,0.5542,conv1,val,1.4130000217874417,10000
DataAug,3.0,55,0.4358,0.5542,conv3,train,1.0251290026335014,25000
DataAug,3.0,55,0.4358,0.5542,conv3,val,1.023250998428273,10000
DataAug,3.0,55,0.4358,0.5542,fc1,train,1.276178476062806,25000
DataAug,3.0,55,0.4358,0.5542,fc1,val,1.2705413620853647,10000
Dropout,0.1,17,0.34,0.55416,conv1,train,0.9375061085801066,25000
Dropout,0.1,17,0.34,0.55416,conv1,val,0.9379008248469112,10000
Dropout,0.1,17,0.34,0.55416,conv3,train,0.8282392562126009,25000
Dropout,0.1,17,0.34,0.55416,conv3,val,0.8284802911816801,10000
Dropout,0.1,17,0.34,0.55416,fc1,train,0.9498100467869093,25000
Dropout,0.1,17,0.34,0.55416,fc1,val,0.9509746398681025,10000
Dropout,0.2,23,0.3541,0.66856,conv1,train,1.1764129070619476,25000
Dropout,0.2,23,0.3541,0.66856,conv1,val,1.1756969738525067,10000
Dropout,0.2,23,0.3541,0.66856,conv3,train,0.8812096551926698,25000
Dropout,0.2,23,0.3541,0.66856,conv3,val,0.8799602301192408,10000
Dropout,0.2,23,0.3541,0.66856,fc1,train,1.0931067877135932,25000
Dropout,0.2,23,0.3541,0.66856,fc1,val,1.0929703186694313,10000
Dropout,0.25,34,0.3533,0.7862,conv1,train,1.152377633765176,25000
Dropout,0.25,34,0.3533,0.7862,conv1,val,1.1510151666226647,10000
Dropout,0.25,34,0.3533,0.7862,conv3,train,1.187789805538925,25000
Dropout,0.25,34,0.3533,0.7862,conv3,val,1.1864686470047832,10000
Dropout,0.25,34,0.3533,0.7862,fc1,train,1.2521239829081192,25000
Dropout,0.25,34,0.3533,0.7862,fc1,val,1.2499254989974569,10000
Dropout,0.3,38,0.361,0.76216,conv1,train,1.2646511512674057,25000
Dropout,0.3,38,0.361,0.76216,conv1,val,1.2623861606170204,10000
Dropout,0.3,38,0.361,0.76216,conv3,train,0.9996571086265527,25000
Dropout,0.3,38,0.361,0.76216,conv3,val,0.9978591130494773,10000
Dropout,0.3,38,0.361,0.76216,fc1,train,1.1820698180594889,25000
Dropout,0.3,38,0.361,0.76216,fc1,val,1.1788081207357486,10000
Dropout,0.35,37,0.3548,0.67728,conv1,train,1.1873948412194117,25000
Dropout,0.35,37,0.3548,0.67728,conv1,val,1.1849753000899692,10000
Dropout,0.35,37,0.3548,0.67728,conv3,train,0.8074946696443117,25000
Dropout,0.35,37,0.3548,0.67728,conv3,val,0.8065839341533572,10000
Dropout,0.35,37,0.3548,0.67728,fc1,train,0.9993998007749191,25000
Dropout,0.35,37,0.3548,0.67728,fc1,val,0.996847022016229,10000
Dropout,0.4,42,0.359,0.65384,conv1,train,1.198936579889484,25000
Dropout,0.4,42,0.359,0.65384,conv1,val,1.1962899511192338,10000
Dropout,0.4,42,0.359,0.65384,conv3,train,0.7794353801739798,25000
Dropout,0.4,42,0.359,0.65384,conv3,val,0.7787604691596223,10000
Dropout,0.4,42,0.359,0.65384,fc1,train,0.8415178325471474,25000
Dropout,0.4,42,0.359,0.65384,fc1,val,0.8373564186981637,10000
Dropout,0.5,52,0.3489,0.56876,conv1,train,1.0919424791642798,25000
Dropout,0.5,52,0.3489,0.56876,conv1,val,1.0902986129089312,10000
Dropout,0.5,52,0.3489,0.56876,conv3,train,0.7118004836680907,25000
Dropout,0.5,52,0.3489,0.56876,conv3,val,0.7093224899762395,10000
Dropout,0.5,52,0.3489,0.56876,fc1,train,0.7406920853659789,25000
Dropout,0.5,52,0.3489,0.56876,fc1,val,0.7378140389398776,10000
Dropout,0.6,60,0.3347,0.47968,conv1,train,1.1929111045347132,25000
Dropout,0.6,60,0.3347,0.47968,conv1,val,1.1892291378837474,10000
Dropout,0.6,60,0.3347,0.47968,conv3,train,0.5487748036998116,25000
Dropout,0.6,60,0.3347,0.47968,conv3,val,0.5495668772688609,10000
Dropout,0.6,60,0.3347,0.47968,fc1,train,0.5950514313192865,25000
Dropout,0.6,60,0.3347,0.47968,fc1,val,0.5913397280378492,10000
EarlyStopping,3.0,13,0.3272,0.55928,conv1,train,1.0718967952033525,25000
EarlyStopping,3.0,13,0.3272,0.55928,conv1,val,1.0719531063765433,10000
