reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
Baseline,0.0,15,0.3237,0.59392,conv1,train,0.692,0.9641210245275498,25000,10
Baseline,0.0,15,0.3237,0.59392,conv1,val,1.4000000000000001,0.9655897915363312,10000,10
Baseline,0.0,15,0.3237,0.59392,conv3,train,2.688,0.4604465682986379,25000,10
Baseline,0.0,15,0.3237,0.59392,conv3,val,4.45,0.47237344253212216,10000,10
Baseline,0.0,15,0.3237,0.59392,fc1,train,18.759999999999998,1.1630509856438638,25000,10
Baseline,0.0,15,0.3237,0.59392,fc1,val,27.16,1.1651125809013843,10000,10
BatchNorm,1.0,46,0.4179,1.0,conv1,train,0.308,0.9844717632865906,25000,10
BatchNorm,1.0,46,0.4179,1.0,conv1,val,0.64,0.9845810480058194,10000,10
BatchNorm,1.0,46,0.4179,1.0,conv3,train,0.14400000000000002,0.008494825684726239,25000,10
BatchNorm,1.0,46,0.4179,1.0,conv3,val,0.26,0.008743918550759554,10000,10
BatchNorm,1.0,46,0.4179,1.0,fc1,train,61.956,1.6121024748253823,25000,10
BatchNorm,1.0,46,0.4179,1.0,fc1,val,75.1,1.6091561552643776,10000,10
DataAug,1.0,22,0.3692,0.6532,conv1,train,0.872,0.9078781710600853,25000,10
DataAug,1.0,22,0.3692,0.6532,conv1,val,1.59,0.908767306381464,10000,10
DataAug,1.0,22,0.3692,0.6532,conv3,train,3.604,0.6965298194146157,25000,10
DataAug,1.0,22,0.3692,0.6532,conv3,val,6.15,0.7063599072463811,10000,10
DataAug,1.0,22,0.3692,0.6532,fc1,train,38.628,1.3671065536808968,25000,10
DataAug,1.0,22,0.3692,0.6532,fc1,val,50.660000000000004,1.3707173978328704,10000,10
DataAug,2.0,53,0.4468,0.60232,conv1,train,0.808,0.7054796986317634,25000,10
DataAug,2.0,53,0.4468,0.60232,conv1,val,1.4500000000000002,0.7040606758892536,10000,10
