reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
Baseline,0.0,56,0.8798017824216349,1.0,conv1,train,1.0,25000
Baseline,0.0,56,0.8798017824216349,1.0,conv1,val,1.0,26032
Baseline,0.0,56,0.8798017824216349,1.0,conv3,train,1.0,25000
Baseline,0.0,56,0.8798017824216349,1.0,conv3,val,1.0,26032
Baseline,0.0,56,0.8798017824216349,1.0,fc1,train,1.0,25000
Baseline,0.0,56,0.8798017824216349,1.0,fc1,val,1.0,26032
BatchNorm,1.0,26,0.8930162876459742,1.0,conv1,train,0.4637686740992235,25000
BatchNorm,1.0,26,0.8930162876459742,1.0,conv1,val,0.4463633380382289,26032
BatchNorm,1.0,26,0.8930162876459742,1.0,conv3,train,0.13029318240600019,25000
BatchNorm,1.0,26,0.8930162876459742,1.0,conv3,val,0.12764197145170375,26032
BatchNorm,1.0,26,0.8930162876459742,1.0,fc1,train,0.3358044273538781,25000
BatchNorm,1.0,26,0.8930162876459742,1.0,fc1,val,0.3079946216148541,26032
DataAug,1.0,19,0.8597495390288875,0.94628,conv1,train,0.7431730048411785,25000
DataAug,1.0,19,0.8597495390288875,0.94628,conv1,val,0.7277351039905272,26032
DataAug,1.0,19,0.8597495390288875,0.94628,conv3,train,0.38227454132675426,25000
DataAug,1.0,19,0.8597495390288875,0.94628,conv3,val,0.3694069852282328,26032
DataAug,1.0,19,0.8597495390288875,0.94628,fc1,train,0.31132367639745745,25000
DataAug,1.0,19,0.8597495390288875,0.94628,fc1,val,0.3043983578289679,26032
DataAug,2.0,52,0.9048094652735096,0.91924,conv1,train,0.7502641786262867,25000
DataAug,2.0,52,0.9048094652735096,0.91924,conv1,val,0.7407498652556199,26032
DataAug,2.0,52,0.9048094652735096,0.91924,conv3,train,0.4570886210585878,25000
DataAug,2.0,52,0.9048094652735096,0.91924,conv3,val,0.45118892565474517,26032
DataAug,2.0,52,0.9048094652735096,0.91924,fc1,train,0.32767371898710496,25000
DataAug,2.0,52,0.9048094652735096,0.91924,fc1,val,0.30925063109385886,26032
DataAug,3.0,59,0.90169791026429,0.89048,conv1,train,0.9636522580520612,25000
DataAug,3.0,59,0.90169791026429,0.89048,conv1,val,0.9403896096624501,26032
DataAug,3.0,59,0.90169791026429,0.89048,conv3,train,0.3211830025570024,25000
DataAug,3.0,59,0.90169791026429,0.89048,conv3,val,0.31872929920508947,26032
DataAug,3.0,59,0.90169791026429,0.89048,fc1,train,0.2940074150299605,25000
DataAug,3.0,59,0.90169791026429,0.89048,fc1,val,0.2781201451544723,26032
Dropout,0.1,42,0.8836047940995697,0.99804,conv1,train,0.9336041127689944,25000
Dropout,0.1,42,0.8836047940995697,0.99804,conv1,val,0.9178499909196651,26032
Dropout,0.1,42,0.8836047940995697,0.99804,conv3,train,0.7451447178791646,25000
Dropout,0.1,42,0.8836047940995697,0.99804,conv3,val,0.7203025396175213,26032
Dropout,0.1,42,0.8836047940995697,0.99804,fc1,train,0.7755974121250019,25000
Dropout,0.1,42,0.8836047940995697,0.99804,fc1,val,0.7441460106752271,26032
Dropout,0.2,54,0.889021204671174,0.99872,conv1,train,0.8860651551560706,25000
Dropout,0.2,54,0.889021204671174,0.99872,conv1,val,0.8742775291167146,26032
Dropout,0.2,54,0.889021204671174,0.99872,conv3,train,0.7423530235620124,25000
Dropout,0.2,54,0.889021204671174,0.99872,conv3,val,0.7201406934026267,26032
Dropout,0.2,54,0.889021204671174,0.99872,fc1,train,0.6834991457452203,25000
Dropout,0.2,54,0.889021204671174,0.99872,fc1,val,0.6618663434943003,26032
Dropout,0.25,56,0.8945912722802705,0.99792,conv1,train,0.6635777088814914,25000
Dropout,0.25,56,0.8945912722802705,0.99792,conv1,val,0.6618568481548905,26032
Dropout,0.25,56,0.8945912722802705,0.99792,conv3,train,0.6486267962355481,25000
Dropout,0.25,56,0.8945912722802705,0.99792,conv3,val,0.6282102832748777,26032
Dropout,0.25,56,0.8945912722802705,0.99792,fc1,train,0.7040136680764743,25000
Dropout,0.25,56,0.8945912722802705,0.99792,fc1,val,0.6852494142933576,26032
Dropout,0.3,60,0.8977028272894899,0.99788,conv1,train,0.6642604100223881,25000
Dropout,0.3,60,0.8977028272894899,0.99788,conv1,val,0.65507428833788,26032
Dropout,0.3,60,0.8977028272894899,0.99788,conv3,train,0.6031187352863357,25000
Dropout,0.3,60,0.8977028272894899,0.99788,conv3,val,0.5875214808248637,26032
Dropout,0.3,60,0.8977028272894899,0.99788,fc1,train,0.650325650784585,25000
Dropout,0.3,60,0.8977028272894899,0.99788,fc1,val,0.6246318058227183,26032
Dropout,0.35,41,0.8963967424708051,0.98952,conv1,train,0.6934724527847128,25000
Dropout,0.35,41,0.8963967424708051,0.98952,conv1,val,0.6823254567311087,26032
Dropout,0.35,41,0.8963967424708051,0.98952,conv3,train,0.4851068897027225,25000
Dropout,0.35,41,0.8963967424708051,0.98952,conv3,val,0.47230961668928084,26032
Dropout,0.35,41,0.8963967424708051,0.98952,fc1,train,0.5048328664063693,25000
Dropout,0.35,41,0.8963967424708051,0.98952,fc1,val,0.4896451277400128,26032
Dropout,0.4,59,0.9018131530424094,0.98932,conv1,train,0.8452968534451968,25000
Dropout,0.4,59,0.9018131530424094,0.98932,conv1,val,0.8099766467418639,26032
Dropout,0.4,59,0.9018131530424094,0.98932,conv3,train,0.4710480010226688,25000
Dropout,0.4,59,0.9018131530424094,0.98932,conv3,val,0.455362965937892,26032
Dropout,0.4,59,0.9018131530424094,0.98932,fc1,train,0.5621587289082771,25000
Dropout,0.4,59,0.9018131530424094,0.98932,fc1,val,0.5412997706407021,26032
Dropout,0.5,57,0.9022741241548864,0.97896,conv1,train,0.7858908040877828,25000
Dropout,0.5,57,0.9022741241548864,0.97896,conv1,val,0.7614952658103724,26032
Dropout,0.5,57,0.9022741241548864,0.97896,conv3,train,0.45140142955625223,25000
Dropout,0.5,57,0.9022741241548864,0.97896,conv3,val,0.43742631717057934,26032
Dropout,0.5,57,0.9022741241548864,0.97896,fc1,train,0.46255267083864676,25000
Dropout,0.5,57,0.9022741241548864,0.97896,fc1,val,0.43518061227354954,26032
Dropout,0.6,58,0.8995082974800246,0.95656,conv1,train,0.8441456280899247,25000
Dropout,0.6,58,0.8995082974800246,0.95656,conv1,val,0.8172726836747264,26032
Dropout,0.6,58,0.8995082974800246,0.95656,conv3,train,0.3908190781248297,25000
Dropout,0.6,58,0.8995082974800246,0.95656,conv3,val,0.37791627198484423,26032
Dropout,0.6,58,0.8995082974800246,0.95656,fc1,train,0.3707383764727894,25000
Dropout,0.6,58,0.8995082974800246,0.95656,fc1,val,0.34221788094779276,26032
EarlyStopping,3.0,14,0.8699677320221266,0.9704,conv1,train,0.9083408555259954,25000
EarlyStopping,3.0,14,0.8699677320221266,0.9704,conv1,val,0.9012816661465152,26032
EarlyStopping,3.0,14,0.8699677320221266,0.9704,conv3,train,0.39202817095878173,25000
EarlyStopping,3.0,14,0.8699677320221266,0.9704,conv3,val,0.39777611460280077,26032
EarlyStopping,3.0,14,0.8699677320221266,0.9704,fc1,train,0.3083304858174012,25000
EarlyStopping,3.0,14,0.8699677320221266,0.9704,fc1,val,0.30212560739057737,26032
EarlyStopping,5.0,9,0.8673555623847572,0.9228,conv1,train,1.0052302070457124,25000
EarlyStopping,5.0,9,0.8673555623847572,0.9228,conv1,val,0.9938540982497107,26032
EarlyStopping,5.0,9,0.8673555623847572,0.9228,conv3,train,0.22707719696251502,25000
EarlyStopping,5.0,9,0.8673555623847572,0.9228,conv3,val,0.22808449844474027,26032
