reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
Baseline,0.0,56,0.8798017824216349,1.0,conv1,train,0.216,0.9527627573800087,25000,10
Baseline,0.0,56,0.8798017824216349,1.0,conv1,val,0.21127842655193607,0.9724975420515836,26032,10
Baseline,0.0,56,0.8798017824216349,1.0,conv3,train,0.544,0.2452413690620661,25000,10
Baseline,0.0,56,0.8798017824216349,1.0,conv3,val,0.5185925015365703,0.26274408700177015,26032,10
Baseline,0.0,56,0.8798017824216349,1.0,fc1,train,10.892,0.8227231831133366,25000,10
Baseline,0.0,56,0.8798017824216349,1.0,fc1,val,11.240012292563,0.8280623633243926,26032,10
BatchNorm,1.0,26,0.8930162876459742,1.0,conv1,train,0.06,0.19336762469768523,25000,10
BatchNorm,1.0,26,0.8930162876459742,1.0,conv1,val,0.05762138905961894,0.22686752684519712,26032,10
BatchNorm,1.0,26,0.8930162876459742,1.0,conv3,train,0.004,0.0,25000,10
BatchNorm,1.0,26,0.8930162876459742,1.0,conv3,val,0.003841425937307928,0.0,26032,10
BatchNorm,1.0,26,0.8930162876459742,1.0,fc1,train,0.272,0.39981116721361876,25000,10
BatchNorm,1.0,26,0.8930162876459742,1.0,fc1,val,0.29578979717271053,0.38142504339857963,26032,10
DataAug,1.0,19,0.8597495390288875,0.94628,conv1,train,0.172,0.5549709510457516,25000,10
DataAug,1.0,19,0.8597495390288875,0.94628,conv1,val,0.18438844499078058,0.5993537954120601,26032,10
DataAug,1.0,19,0.8597495390288875,0.94628,conv3,train,0.07200000000000001,0.0013949741500616075,25000,10
DataAug,1.0,19,0.8597495390288875,0.94628,conv3,val,0.07298709280885064,0.0013004575527462588,26032,10
DataAug,1.0,19,0.8597495390288875,0.94628,fc1,train,0.38,0.3198184027516842,25000,10
DataAug,1.0,19,0.8597495390288875,0.94628,fc1,val,0.37261831591886907,0.29442599021154786,26032,10
DataAug,2.0,52,0.9048094652735096,0.91924,conv1,train,0.22799999999999998,0.44862521835565566,25000,10
DataAug,2.0,52,0.9048094652735096,0.91924,conv1,val,0.19975414874001232,0.4976796447777389,26032,10
DataAug,2.0,52,0.9048094652735096,0.91924,conv3,train,0.192,0.008426905253529548,25000,10
DataAug,2.0,52,0.9048094652735096,0.91924,conv3,val,0.18822987092808852,0.010114303973206326,26032,10
DataAug,2.0,52,0.9048094652735096,0.91924,fc1,train,0.22399999999999998,0.2958188856676221,25000,10
DataAug,2.0,52,0.9048094652735096,0.91924,fc1,val,0.21511985248924403,0.2753043521170464,26032,10
DataAug,3.0,59,0.90169791026429,0.89048,conv1,train,0.28400000000000003,0.629695366616249,25000,10
DataAug,3.0,59,0.90169791026429,0.89048,conv1,val,0.3111555009219422,0.6681737503953868,26032,10
DataAug,3.0,59,0.90169791026429,0.89048,conv3,train,0.02,0.0001069629755616188,25000,10
DataAug,3.0,59,0.90169791026429,0.89048,conv3,val,0.01920712968653964,0.00016640033887741604,26032,10
DataAug,3.0,59,0.90169791026429,0.89048,fc1,train,0.12,0.2517573921379447,25000,10
DataAug,3.0,59,0.90169791026429,0.89048,fc1,val,0.10755992624462202,0.23327948824521416,26032,10
Dropout,0.1,42,0.8836047940995697,0.99804,conv1,train,0.33999999999999997,0.7200472939908504,25000,10
Dropout,0.1,42,0.8836047940995697,0.99804,conv1,val,0.3111555009219422,0.7294088121350184,26032,10
Dropout,0.1,42,0.8836047940995697,0.99804,conv3,train,0.404,0.09770992751508951,25000,10
Dropout,0.1,42,0.8836047940995697,0.99804,conv3,val,0.3879840196681008,0.09140115155229951,26032,10
Dropout,0.1,42,0.8836047940995697,0.99804,fc1,train,4.3839999999999995,0.5852720206436515,25000,10
Dropout,0.1,42,0.8836047940995697,0.99804,fc1,val,4.137215734480639,0.5640264091522106,26032,10
