method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,27.04,0.0
Baseline,0.0,0.05,26.223333333333333,0.14974051630144175
Baseline,0.0,0.1,23.456666666666667,0.15839472494022244
Baseline,0.0,0.2,14.0,0.2021550560007511
Baseline,0.0,0.3,7.910000000000001,0.15937377450509252
Baseline,0.0,0.4,4.97,0.09273618495495697
Baseline,0.0,0.5,3.2066666666666666,0.061824123303304744
L1,0.0001,0.0,27.24,0.0
L1,0.0001,0.05,25.679999999999996,0.04546060565661959
L1,0.0001,0.1,20.680000000000003,0.07257180352359008
L1,0.0001,0.2,10.64,0.26191601707417533
L1,0.0001,0.3,5.9366666666666665,0.1866071333637121
L1,0.0001,0.4,3.653333333333333,0.14383632673594293
L1,0.0001,0.5,2.6933333333333334,0.11897712198383179
