method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,27.04,0.0
Baseline,0.0,0.05,26.149999999999995,0.024494897427831258
Baseline,0.0,0.1,23.22,0.2051016008388682
Baseline,0.0,0.2,14.090000000000002,0.07118052168020839
Baseline,0.0,0.3,7.546666666666667,0.08993825042154693
Baseline,0.0,0.4,4.576666666666667,0.04189935029992209
Baseline,0.0,0.5,3.2533333333333334,0.13597385369580767
BatchNorm,1.0,0.0,41.61,0.0
BatchNorm,1.0,0.05,34.18666666666667,0.16006942938057334
BatchNorm,1.0,0.1,20.186666666666664,0.154344492037203
BatchNorm,1.0,0.2,7.94,0.06164414002968956
BatchNorm,1.0,0.3,3.813333333333333,0.16336734339790457
BatchNorm,1.0,0.4,2.4133333333333336,0.02494438257849277
BatchNorm,1.0,0.5,1.9166666666666667,0.08653836657164769
DataAug,2.0,0.0,42.8,0.0
DataAug,2.0,0.05,36.906666666666666,0.14613540144521803
DataAug,2.0,0.1,21.326666666666668,0.19754043186705422
DataAug,2.0,0.2,7.44,0.07788880963698594
DataAug,2.0,0.3,4.083333333333333,0.08178562764256836
DataAug,2.0,0.4,2.61,0.03741657386773937
DataAug,2.0,0.5,2.0100000000000002,0.0496655480858378
Dropout,0.3,0.0,33.69,0.0
Dropout,0.3,0.05,32.73,0.20607442021431405
Dropout,0.3,0.1,27.786666666666665,0.14337208778404292
Dropout,0.3,0.2,14.623333333333335,0.4057366414587447
Dropout,0.3,0.3,7.586666666666666,0.046427960923947076
Dropout,0.3,0.4,4.423333333333333,0.06342099196813468
Dropout,0.3,0.5,2.8833333333333333,0.05792715732327593
GaussianNoise,0.01,0.0,28.32,0.0
GaussianNoise,0.01,0.05,27.7,0.032659863237108344
GaussianNoise,0.01,0.1,25.05,0.3182242395963364
GaussianNoise,0.01,0.2,15.14,0.08602325267042595
GaussianNoise,0.01,0.3,8.410000000000002,0.12027745701779138
GaussianNoise,0.01,0.4,4.993333333333333,0.05249338582674553
GaussianNoise,0.01,0.5,3.4133333333333336,0.17326921891156036
L1,0.0001,0.0,27.24,0.0
L1,0.0001,0.05,25.963333333333335,0.0910433352249866
L1,0.0001,0.1,20.96666666666667,0.06018490028422605
L1,0.0001,0.2,10.16,0.2641968962724588
L1,0.0001,0.3,5.836666666666667,0.07717224601860179
L1,0.0001,0.4,3.6999999999999997,0.15577761927397227
L1,0.0001,0.5,2.6733333333333333,0.11813363431112911
L2,0.0001,0.0,32.92,0.0
L2,0.0001,0.05,32.07666666666667,0.14727148022916334
L2,0.0001,0.1,29.17,0.22375581929117758
L2,0.0001,0.2,18.299999999999997,0.3533647784749711
L2,0.0001,0.3,10.273333333333333,0.004714045207911053
L2,0.0001,0.4,6.19,0.24385788210895804
L2,0.0001,0.5,4.046666666666666,0.2049932248202907
