method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,91.10000000000001,0.0
Baseline,0.0,0.05,90.69333333333333,0.05436502143433473
Baseline,0.0,0.1,89.65666666666668,0.13888444437332753
Baseline,0.0,0.2,86.07333333333334,0.17211107524567243
Baseline,0.0,0.3,80.08333333333333,0.18785337071474142
Baseline,0.0,0.4,71.04666666666667,0.20237478982213883
Baseline,0.0,0.5,60.63,0.2572936066053762
L1,0.0001,0.0,89.25999999999999,0.0
L1,0.0001,0.05,88.96,0.09201449161228197
L1,0.0001,0.1,87.93333333333332,0.028674417556806355
L1,0.0001,0.2,83.85,0.2654555832275237
L1,0.0001,0.3,75.22666666666667,0.21913973218525046
L1,0.0001,0.4,59.47666666666667,0.2023747898221442
L1,0.0001,0.5,42.0,0.22045407685048568
