method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,91.10000000000001,0.0
Baseline,0.0,0.05,90.68333333333334,0.08379870059984611
Baseline,0.0,0.1,89.56333333333333,0.15542057635832268
Baseline,0.0,0.2,86.38333333333333,0.12684198393626855
Baseline,0.0,0.3,80.11333333333334,0.33954217541991627
Baseline,0.0,0.4,71.13000000000001,0.26280537792568964
Baseline,0.0,0.5,60.28,0.27313000567495155
BatchNorm,1.0,0.0,91.86999999999999,0.0
BatchNorm,1.0,0.05,90.96,0.09092121131324492
BatchNorm,1.0,0.1,88.11666666666667,0.20531818125912848
BatchNorm,1.0,0.2,75.37333333333333,0.274388208363421
BatchNorm,1.0,0.3,51.18333333333334,0.2329997615640146
BatchNorm,1.0,0.4,31.713333333333335,0.04109609335312563
BatchNorm,1.0,0.5,20.093333333333337,0.3272443871006627
DataAug,2.0,0.0,91.34,0.0
DataAug,2.0,0.05,91.05333333333333,0.10338708279513856
DataAug,2.0,0.1,88.67,0.12247448713915775
DataAug,2.0,0.2,60.11333333333334,0.14522013940528375
DataAug,2.0,0.3,31.72666666666667,0.15195028426722007
DataAug,2.0,0.4,23.963333333333335,0.2940899333348366
DataAug,2.0,0.5,19.633333333333333,0.1602775370689507
Dropout,0.2,0.0,91.18,0.0
Dropout,0.2,0.05,90.68666666666667,0.06236095644622881
Dropout,0.2,0.1,89.30333333333334,0.08498365855987956
Dropout,0.2,0.2,84.48333333333333,0.06798692684790142
Dropout,0.2,0.3,75.24333333333334,0.2007209228976589
Dropout,0.2,0.4,58.6,0.1979898987322346
Dropout,0.2,0.5,41.95666666666667,0.16418147141366368
GaussianNoise,0.01,0.0,91.10000000000001,0.0
GaussianNoise,0.01,0.05,90.71,0.037416573867734504
GaussianNoise,0.01,0.1,89.67999999999999,0.10198039027185957
GaussianNoise,0.01,0.2,86.25666666666666,0.14007934259633975
GaussianNoise,0.01,0.3,80.57666666666667,0.047842333648024794
GaussianNoise,0.01,0.4,70.3,0.21924111536540616
GaussianNoise,0.01,0.5,56.913333333333334,0.15107025591499884
L1,0.0001,0.0,89.25999999999999,0.0
L1,0.0001,0.05,88.84666666666668,0.02867441755681131
L1,0.0001,0.1,88.12333333333333,0.09672412085698201
L1,0.0001,0.2,83.85666666666667,0.2245489305746618
L1,0.0001,0.3,74.93666666666667,0.22543784558547517
L1,0.0001,0.4,59.48,0.3184336665618118
L1,0.0001,0.5,41.88,0.33980386499665866
L2,0.0001,0.0,90.79,0.0
L2,0.0001,0.05,90.51666666666667,0.028674417556805804
L2,0.0001,0.1,89.57333333333334,0.16357125528513392
L2,0.0001,0.2,86.39,0.2839013913315679
L2,0.0001,0.3,80.14666666666666,0.3526408308116904
L2,0.0001,0.4,67.25666666666667,0.29044027881056306
L2,0.0001,0.5,50.17666666666667,0.033993463423953964
