method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,87.98017824216349,0.0
Baseline,0.0,0.05,86.80086047940995,0.07953390777130058
Baseline,0.0,0.1,82.97223929522637,0.1313720244691721
Baseline,0.0,0.2,69.6258451137062,0.2125203298311237
Baseline,0.0,0.3,54.722392952263874,0.2194960288590057
Baseline,0.0,0.4,42.569401761934024,0.1900201203589836
Baseline,0.0,0.5,33.56125793894694,0.40775046982917695
BatchNorm,1.0,0.0,89.21327596803934,0.0
BatchNorm,1.0,0.05,86.46537594755172,0.16804012740296304
BatchNorm,1.0,0.1,75.05121901249744,0.10218160901075916
BatchNorm,1.0,0.2,48.353308748207326,0.21421092895289917
BatchNorm,1.0,0.3,32.80961893054702,0.01254604457479651
BatchNorm,1.0,0.4,25.490422044662978,0.09900318469615867
BatchNorm,1.0,0.5,21.78856791641057,0.0627302228739811
DataAug,2.0,0.0,89.94698832206515,0.0
DataAug,2.0,0.05,87.06719934439666,0.17163146414561647
DataAug,2.0,0.1,75.91682032370416,0.12329853633692753
DataAug,2.0,0.2,47.545328826060235,0.1576701409415955
DataAug,2.0,0.3,29.088557672608072,0.06116866888186911
DataAug,2.0,0.4,20.162364269616884,0.08939515302042107
DataAug,2.0,0.5,15.269668100799015,0.12224348478654558
Dropout,0.5,0.0,90.2082052858021,0.0
Dropout,0.5,0.05,88.48980741651299,0.06973595986575688
Dropout,0.5,0.1,82.2820631018234,0.19156698115937498
Dropout,0.5,0.2,64.06089940585946,0.20834399712954887
Dropout,0.5,0.3,47.68362015980332,0.28562924214384544
Dropout,0.5,0.4,36.132452366318375,0.2693019500176849
Dropout,0.5,0.5,28.352284367957385,0.46686979787754374
GaussianNoise,0.01,0.0,87.82652120467117,0.0
GaussianNoise,0.01,0.05,86.58317967629584,0.012676058871916307
GaussianNoise,0.01,0.1,82.75711944273714,0.061168668881866804
GaussianNoise,0.01,0.2,68.98304650686335,0.29957102377872746
GaussianNoise,0.01,0.3,53.81325548043433,0.07182085465263642
GaussianNoise,0.01,0.4,41.693556648227826,0.12799630198319692
GaussianNoise,0.01,0.5,33.278272894898585,0.11343594852668701
L1,0.0001,0.0,84.7841118623233,0.0
L1,0.0001,0.05,82.71102233148945,0.027041989451367036
L1,0.0001,0.1,76.47638803523868,0.15059609125167966
L1,0.0001,0.2,59.412774021716864,0.15244648806414812
L1,0.0001,0.3,44.35566482278222,0.2416199574106809
L1,0.0001,0.4,33.30772382708461,0.19236131897371087
L1,0.0001,0.5,26.636447449293176,0.19476698772619755
L2,0.0001,0.0,87.95328826060233,0.0
L2,0.0001,0.05,86.95067609096498,0.11988695862266997
L2,0.0001,0.1,84.00046097111247,0.03024741807779111
L2,0.0001,0.2,72.02289489858636,0.19755040988844355
L2,0.0001,0.3,58.48314894488834,0.08487919186220709
L2,0.0001,0.4,46.623386601106326,0.4733222910084885
L2,0.0001,0.5,37.017260807211635,0.2535405788268797
