method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,27.04,0.0
Baseline,0.0,0.005,27.043333333333333,0.05436502143433378
Baseline,0.0,0.01,27.013333333333335,0.11841546445554371
Baseline,0.0,0.02,27.13,0.14696938456699046
Baseline,0.0,0.03,26.75666666666667,0.06944222218666768
Baseline,0.0,0.05,26.356666666666666,0.23795424396766263
Baseline,0.0,0.075,25.113333333333333,0.22125902367034764
Baseline,0.0,0.1,23.103333333333335,0.7179755489491874
Baseline,0.0,0.15,20.080000000000002,0.31874754901018504
L1,0.0001,0.0,27.24,0.0
L1,0.0001,0.005,27.366666666666664,0.07039570693981016
L1,0.0001,0.01,27.406666666666666,0.0873053390247248
L1,0.0001,0.02,27.143333333333334,0.14055445761538513
L1,0.0001,0.03,26.796666666666667,0.24417662095750034
L1,0.0001,0.05,25.659999999999997,0.5127052434554068
L1,0.0001,0.075,24.223333333333333,0.43269183285823914
L1,0.0001,0.1,20.533333333333335,0.9338213010111845
L1,0.0001,0.15,14.896666666666667,1.847959836023378
