method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,27.04,0.0
Baseline,0.0,0.005,27.046666666666667,0.05436502143433487
Baseline,0.0,0.01,27.02333333333333,0.12498888839501975
Baseline,0.0,0.02,26.903333333333332,0.18408935028645546
Baseline,0.0,0.03,26.77,0.18547236990991345
Baseline,0.0,0.05,25.89333333333333,0.23328570942563506
Baseline,0.0,0.075,25.180000000000003,0.29337120967584257
Baseline,0.0,0.1,23.76666666666667,0.4770977072070481
Baseline,0.0,0.15,20.606666666666666,0.21699974398346303
BatchNorm,1.0,0.0,41.61,0.0
BatchNorm,1.0,0.005,41.410000000000004,0.06531972647421959
BatchNorm,1.0,0.01,41.18666666666667,0.020548046676561856
BatchNorm,1.0,0.02,40.36666666666667,0.09977753031397281
BatchNorm,1.0,0.03,38.6,0.1157583690279001
BatchNorm,1.0,0.05,33.04333333333333,0.857295489055878
BatchNorm,1.0,0.075,24.61666666666667,1.2298057660550392
BatchNorm,1.0,0.1,17.31,2.5784620739244284
BatchNorm,1.0,0.15,10.136666666666665,1.1872751249067004
DataAug,2.0,0.0,42.8,0.0
DataAug,2.0,0.005,42.73,0.1143095213298821
DataAug,2.0,0.01,42.61666666666667,0.12498888839501816
DataAug,2.0,0.02,42.14333333333334,0.2380942857123822
DataAug,2.0,0.03,41.446666666666665,0.6651482708556189
DataAug,2.0,0.05,39.71333333333333,0.2531578339473022
DataAug,2.0,0.075,36.11666666666667,1.0215782996042095
DataAug,2.0,0.1,31.126666666666665,0.3193048003954151
DataAug,2.0,0.15,20.58666666666667,1.2020075799354266
Dropout,0.3,0.0,33.69,0.0
Dropout,0.3,0.005,33.58666666666667,0.06649979114419877
Dropout,0.3,0.01,33.660000000000004,0.15297058540778283
Dropout,0.3,0.02,33.49333333333333,0.08956685895029494
Dropout,0.3,0.03,33.18,0.09797958971132793
Dropout,0.3,0.05,32.27,0.32782108941718224
Dropout,0.3,0.075,30.056666666666672,0.15282524515130289
Dropout,0.3,0.1,27.76,0.2765260686927495
Dropout,0.3,0.15,20.52,0.814902857196283
GaussianNoise,0.01,0.0,28.32,0.0
GaussianNoise,0.01,0.005,28.366666666666664,0.07133644853010808
GaussianNoise,0.01,0.01,28.319999999999997,0.07483314773548039
GaussianNoise,0.01,0.02,28.263333333333332,0.18445113776342253
GaussianNoise,0.01,0.03,28.046666666666667,0.26960877005188266
GaussianNoise,0.01,0.05,27.286666666666665,0.055577773335108965
GaussianNoise,0.01,0.075,25.786666666666665,0.1429063407348407
GaussianNoise,0.01,0.1,24.13,0.050990195135926536
GaussianNoise,0.01,0.15,20.310000000000002,0.9512447984965099
L1,0.0001,0.0,27.24,0.0
L1,0.0001,0.005,27.386666666666667,0.020548046676563392
L1,0.0001,0.01,27.47666666666667,0.08806563209081947
L1,0.0001,0.02,27.19333333333333,0.25302612952464426
L1,0.0001,0.03,26.813333333333333,0.4434210439550896
L1,0.0001,0.05,25.483333333333334,0.2577250904010374
L1,0.0001,0.075,23.526666666666667,0.4490978611493136
L1,0.0001,0.1,21.256666666666668,0.5151267373720334
L1,0.0001,0.15,15.689999999999998,0.4825626038833372
L2,0.0001,0.0,32.92,0.0
L2,0.0001,0.005,33.00333333333333,0.01247219128924399
L2,0.0001,0.01,32.95666666666667,0.08730533902472466
L2,0.0001,0.02,32.78666666666667,0.17782638224465605
L2,0.0001,0.03,32.35666666666666,0.07586537784494049
L2,0.0001,0.05,31.200000000000003,0.38635044540762203
L2,0.0001,0.075,28.343333333333334,0.4074582459862876
L2,0.0001,0.1,25.929999999999996,0.6453422864392719
L2,0.0001,0.15,19.83666666666667,0.3395421754199146
