method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,27.04,0.0
Baseline,0.0,0.005,27.123333333333335,0.14884742374510745
Baseline,0.0,0.01,26.986666666666668,0.06018490028422606
Baseline,0.0,0.02,26.569999999999997,0.07118052168020889
Baseline,0.0,0.03,26.026666666666667,0.1592342788332821
Baseline,0.0,0.05,24.37,0.09273618495495621
Baseline,0.0,0.075,21.596666666666664,0.2800396797281105
Baseline,0.0,0.1,19.023333333333337,0.6154311948183611
Baseline,0.0,0.15,13.246666666666664,0.4120140234938061
L1,0.0001,0.0,27.24,0.0
L1,0.0001,0.005,27.303333333333338,0.04988876515698514
L1,0.0001,0.01,27.296666666666667,0.05436502143433487
L1,0.0001,0.02,26.563333333333333,0.21171259344267174
L1,0.0001,0.03,25.75,0.07071067811865409
L1,0.0001,0.05,23.606666666666666,0.5149325737953997
L1,0.0001,0.075,20.076666666666668,0.24499433100017337
L1,0.0001,0.1,15.46,0.7626707459098364
L1,0.0001,0.15,9.87,0.2286190426597635
