method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,27.04,0.0
Baseline,0.0,0.005,26.89,0.07788880963698525
Baseline,0.0,0.01,26.73,0.13880441875771482
Baseline,0.0,0.02,26.633333333333336,0.10842303978193917
Baseline,0.0,0.03,26.0,0.07483314773547724
Baseline,0.0,0.05,24.27,0.21924111536540375
Baseline,0.0,0.075,21.87,0.39046980250291674
Baseline,0.0,0.1,18.723333333333333,0.4349201714746698
Baseline,0.0,0.15,13.57,0.5611298126696422
BatchNorm,1.0,0.0,41.61,0.0
BatchNorm,1.0,0.005,41.51666666666667,0.1438363267359439
BatchNorm,1.0,0.01,41.306666666666665,0.03299831645536876
BatchNorm,1.0,0.02,40.28333333333333,0.16357125528513652
BatchNorm,1.0,0.03,38.85,0.14719601443879793
BatchNorm,1.0,0.05,34.98666666666667,0.4286671850696727
BatchNorm,1.0,0.075,28.753333333333334,1.3820837729875692
BatchNorm,1.0,0.1,21.123333333333335,0.3579882058889032
BatchNorm,1.0,0.15,14.716666666666667,0.3987759047663518
DataAug,2.0,0.0,42.8,0.0
DataAug,2.0,0.005,42.63666666666666,0.09809292646374562
DataAug,2.0,0.01,42.446666666666665,0.08178562764256696
DataAug,2.0,0.02,41.81666666666666,0.06342099196813342
DataAug,2.0,0.03,40.6,0.31633315770982523
DataAug,2.0,0.05,37.25,0.4584757354539059
DataAug,2.0,0.075,32.60333333333333,0.36444783196257774
DataAug,2.0,0.1,25.826666666666668,0.5411305038733465
DataAug,2.0,0.15,17.210000000000004,0.3666969684448821
Dropout,0.3,0.0,33.69,0.0
Dropout,0.3,0.005,33.703333333333326,0.052493385826746994
Dropout,0.3,0.01,33.60333333333333,0.07363574011458167
Dropout,0.3,0.02,33.04333333333333,0.2530261295246429
Dropout,0.3,0.03,32.56333333333333,0.046427960923946666
Dropout,0.3,0.05,30.5,0.0778888096369857
Dropout,0.3,0.075,27.099999999999998,0.09626352718795907
Dropout,0.3,0.1,23.406666666666666,0.40663934334438934
Dropout,0.3,0.15,16.406666666666666,0.3983577398380612
GaussianNoise,0.01,0.0,28.32,0.0
GaussianNoise,0.01,0.005,28.349999999999998,0.1373559851869107
GaussianNoise,0.01,0.01,28.22333333333334,0.12918548250050665
GaussianNoise,0.01,0.02,28.0,0.17682382946499622
GaussianNoise,0.01,0.03,27.166666666666668,0.054365021434336185
GaussianNoise,0.01,0.05,25.903333333333336,0.264491125665031
GaussianNoise,0.01,0.075,22.113333333333333,0.20401524997465767
GaussianNoise,0.01,0.1,19.653333333333336,0.4699172503986439
GaussianNoise,0.01,0.15,13.69,0.3421500645428351
L1,0.0001,0.0,27.24,0.0
L1,0.0001,0.005,27.486666666666668,0.04496912521077286
L1,0.0001,0.01,27.206666666666667,0.04988876515698767
L1,0.0001,0.02,26.866666666666664,0.1819035153285634
L1,0.0001,0.03,26.066666666666674,0.30269162892657386
L1,0.0001,0.05,23.203333333333333,0.32148958856478693
L1,0.0001,0.075,19.53,0.594474557908074
L1,0.0001,0.1,16.026666666666667,0.3975200903378617
L1,0.0001,0.15,10.22,0.45107279530766087
L2,0.0001,0.0,32.92,0.0
L2,0.0001,0.005,32.96666666666667,0.12391753530293899
L2,0.0001,0.01,32.699999999999996,0.21228911104120715
L2,0.0001,0.02,32.08,0.2698147512646417
L2,0.0001,0.03,31.013333333333332,0.26386023236217965
L2,0.0001,0.05,27.393333333333334,0.07717224601860313
L2,0.0001,0.075,22.996666666666666,0.5802489887013057
L2,0.0001,0.1,17.936666666666667,0.15520595635763712
L2,0.0001,0.15,10.886666666666665,0.4531617322276401
