method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,91.10000000000001,0.0
Baseline,0.0,0.005,91.07333333333334,0.018856180831644212
Baseline,0.0,0.01,91.09666666666668,0.03681787005729255
Baseline,0.0,0.02,91.07666666666667,0.009428090415825457
Baseline,0.0,0.03,91.04333333333334,0.0837987005998382
Baseline,0.0,0.05,91.04,0.0941629792788388
Baseline,0.0,0.075,90.92333333333333,0.06548960901462712
Baseline,0.0,0.1,90.67333333333333,0.17441967269268388
Baseline,0.0,0.15,90.08666666666666,0.2939765674713241
L1,0.0001,0.0,89.25999999999999,0.0
L1,0.0001,0.005,89.19666666666666,0.004714045207912729
L1,0.0001,0.01,89.21333333333332,0.03299831645537139
L1,0.0001,0.02,89.22333333333334,0.12283683848459352
L1,0.0001,0.03,89.23666666666666,0.06548960901462664
L1,0.0001,0.05,89.35333333333334,0.07133644853011006
L1,0.0001,0.075,89.05000000000001,0.2409702609590368
L1,0.0001,0.1,88.59333333333332,0.14522013940527687
L1,0.0001,0.15,88.18666666666667,0.7134112107021813
