method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,91.10000000000001,0.0
Baseline,0.0,0.005,91.08333333333333,0.012472191289251587
Baseline,0.0,0.01,91.10666666666667,0.020548046676556096
Baseline,0.0,0.02,91.11333333333334,0.0169967317119735
Baseline,0.0,0.03,90.98333333333333,0.09104333522498279
Baseline,0.0,0.05,90.99333333333334,0.02494438257849431
Baseline,0.0,0.075,90.57666666666667,0.33159546974522164
Baseline,0.0,0.1,90.58666666666666,0.04988876515698862
Baseline,0.0,0.15,90.11666666666667,0.6785441932713178
BatchNorm,1.0,0.0,91.86999999999999,0.0
BatchNorm,1.0,0.005,91.86000000000001,0.03741657386773577
BatchNorm,1.0,0.01,91.83333333333333,0.03771236166328173
BatchNorm,1.0,0.02,91.32333333333334,0.41483597829610575
BatchNorm,1.0,0.03,91.33,0.21924111536540639
BatchNorm,1.0,0.05,89.92,0.6453422864392746
BatchNorm,1.0,0.075,87.64666666666666,1.4943077178264084
BatchNorm,1.0,0.1,84.93333333333334,3.497440333856875
BatchNorm,1.0,0.15,75.47666666666667,7.044583419589527
DataAug,2.0,0.0,91.34,0.0
DataAug,2.0,0.005,91.37333333333333,0.05436502143433473
DataAug,2.0,0.01,91.36,0.008164965809275636
DataAug,2.0,0.02,91.34333333333335,0.01699673171197164
DataAug,2.0,0.03,91.30666666666667,0.0449691252107733
DataAug,2.0,0.05,91.18666666666667,0.06182412330329903
DataAug,2.0,0.075,90.57000000000001,0.3672419729097759
DataAug,2.0,0.1,90.92666666666668,0.0974109279746823
DataAug,2.0,0.15,88.32333333333332,1.4243673059370054
Dropout,0.2,0.0,91.18,0.0
Dropout,0.2,0.005,91.19,0.04082482904638398
Dropout,0.2,0.01,91.19666666666667,0.06236095644623388
Dropout,0.2,0.02,91.15333333333335,0.1087300428686657
Dropout,0.2,0.03,91.10666666666667,0.13695092389449373
Dropout,0.2,0.05,91.02000000000002,0.05354126134736687
Dropout,0.2,0.075,90.54666666666667,0.44168867869676
Dropout,0.2,0.1,90.53000000000002,0.38192494899739776
Dropout,0.2,0.15,88.32000000000001,1.2729755169156527
GaussianNoise,0.01,0.0,91.10000000000001,0.0
GaussianNoise,0.01,0.005,91.10000000000001,0.0
GaussianNoise,0.01,0.01,91.06666666666668,0.0262466929133753
GaussianNoise,0.01,0.02,91.10000000000001,0.037416573867734504
GaussianNoise,0.01,0.03,91.10333333333334,0.04109609335312448
GaussianNoise,0.01,0.05,90.96,0.149666295470957
GaussianNoise,0.01,0.075,91.06,0.05656854249492595
GaussianNoise,0.01,0.1,90.48,0.0787400787401211
GaussianNoise,0.01,0.15,90.53333333333335,0.07586537784494371
L1,0.0001,0.0,89.25999999999999,0.0
L1,0.0001,0.005,89.22000000000001,0.008164965809281437
L1,0.0001,0.01,89.25999999999999,0.05099019513592978
L1,0.0001,0.02,89.33666666666666,0.06018490028422606
L1,0.0001,0.03,89.13,0.04320493798938372
L1,0.0001,0.05,89.15000000000002,0.09273618495495646
L1,0.0001,0.075,88.96333333333332,0.1883849486792592
L1,0.0001,0.1,88.44000000000001,0.6174679478860942
L1,0.0001,0.15,88.68333333333334,0.28963578661638073
L2,0.0001,0.0,90.79,0.0
L2,0.0001,0.005,90.77333333333335,0.01699673171197814
L2,0.0001,0.01,90.76666666666667,0.012472191289246521
L2,0.0001,0.02,90.81666666666666,0.05436502143433473
L2,0.0001,0.03,90.74333333333334,0.004714045207912729
L2,0.0001,0.05,90.74666666666667,0.08259674462242789
L2,0.0001,0.075,90.51666666666667,0.2715797406942476
L2,0.0001,0.1,90.48,0.03741657386774083
L2,0.0001,0.15,89.76666666666667,0.39600785626325885
