method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,91.10000000000001,0.0
Baseline,0.0,0.005,91.08999999999999,0.016329931618557073
Baseline,0.0,0.01,91.02666666666669,0.05557777333511252
Baseline,0.0,0.02,90.70666666666666,0.07408703590297683
Baseline,0.0,0.03,90.49000000000001,0.16970562748477114
Baseline,0.0,0.05,89.19666666666666,0.24984439601924732
Baseline,0.0,0.075,85.59666666666665,1.0650299943611399
Baseline,0.0,0.1,82.38333333333333,1.151269830327465
Baseline,0.0,0.15,70.78000000000002,3.8715716016453414
L1,0.0001,0.0,89.25999999999999,0.0
L1,0.0001,0.005,89.26666666666665,0.009428090415825457
L1,0.0001,0.01,89.22333333333331,0.09672412085698202
L1,0.0001,0.02,88.80333333333333,0.18732028424302957
L1,0.0001,0.03,88.46,0.2118175315375622
L1,0.0001,0.05,85.58666666666666,0.8073550781547268
L1,0.0001,0.075,82.42666666666666,0.3175251521095941
L1,0.0001,0.1,75.11666666666666,3.274561887574516
L1,0.0001,0.15,55.843333333333334,1.6330816132562225
