method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,91.10000000000001,0.0
Baseline,0.0,0.005,91.12666666666667,0.05436502143433734
Baseline,0.0,0.01,91.00333333333333,0.07363574011458467
Baseline,0.0,0.02,90.84333333333335,0.06342099196813665
Baseline,0.0,0.03,90.29333333333334,0.0984321537348874
Baseline,0.0,0.05,89.56666666666668,0.21013223349965665
Baseline,0.0,0.075,87.12666666666667,0.6126626768096383
Baseline,0.0,0.1,82.47333333333334,1.4840560037351047
Baseline,0.0,0.15,68.83333333333333,5.985456447831604
BatchNorm,1.0,0.0,91.86999999999999,0.0
BatchNorm,1.0,0.005,91.80666666666666,0.08055363982396778
BatchNorm,1.0,0.01,91.81,0.08831760866328181
BatchNorm,1.0,0.02,91.48,0.11224972160321617
BatchNorm,1.0,0.03,91.04333333333334,0.15326085243430435
BatchNorm,1.0,0.05,89.36000000000001,0.8001666493091703
BatchNorm,1.0,0.075,85.21333333333332,1.7871827612816251
BatchNorm,1.0,0.1,77.21,1.1925602710135903
BatchNorm,1.0,0.15,58.53666666666666,8.382459198959587
DataAug,2.0,0.0,91.34,0.0
DataAug,2.0,0.005,91.28666666666668,0.012472191289247788
DataAug,2.0,0.01,91.34666666666665,0.08806563209082051
DataAug,2.0,0.02,91.15333333333335,0.11145502331533523
DataAug,2.0,0.03,90.79333333333334,0.2691137718925214
DataAug,2.0,0.05,90.40666666666668,0.37025516726831426
DataAug,2.0,0.075,87.65666666666665,0.6717803873952345
DataAug,2.0,0.1,86.21,1.2004443621703884
DataAug,2.0,0.15,74.29,1.9821368940279223
Dropout,0.2,0.0,91.18,0.0
Dropout,0.2,0.005,91.20666666666666,0.030912061651650793
Dropout,0.2,0.01,91.24333333333333,0.06018490028422606
Dropout,0.2,0.02,91.08,0.10614455552060513
Dropout,0.2,0.03,90.59666666666665,0.06944222218666377
Dropout,0.2,0.05,89.97333333333334,0.22305953365762132
Dropout,0.2,0.075,88.79,1.1907420655484842
Dropout,0.2,0.1,86.78333333333335,0.7564977785088863
Dropout,0.2,0.15,82.05666666666667,0.739384128101822
GaussianNoise,0.01,0.0,91.10000000000001,0.0
GaussianNoise,0.01,0.005,91.10333333333335,0.0329983164553623
GaussianNoise,0.01,0.01,91.07,0.0778888096369889
GaussianNoise,0.01,0.02,90.86,0.05354126134736775
GaussianNoise,0.01,0.03,90.59666666666668,0.061282587702836615
GaussianNoise,0.01,0.05,89.14333333333333,0.4089281382128376
GaussianNoise,0.01,0.075,86.3,0.33891985286593385
GaussianNoise,0.01,0.1,81.97666666666667,2.325945446957477
GaussianNoise,0.01,0.15,71.72000000000001,1.0692053123698928
L1,0.0001,0.0,89.25999999999999,0.0
L1,0.0001,0.005,89.22666666666667,0.05312459150170142
L1,0.0001,0.01,89.13,0.16391054470858854
L1,0.0001,0.02,88.98666666666668,0.10208928554075714
L1,0.0001,0.03,88.36666666666666,0.0590668171555613
L1,0.0001,0.05,84.87333333333333,1.4963362664261783
L1,0.0001,0.075,80.19000000000001,1.5499892472745334
L1,0.0001,0.1,73.92999999999999,3.161940332559532
L1,0.0001,0.15,65.88,6.408182269567555
L2,0.0001,0.0,90.79,0.0
L2,0.0001,0.005,90.74666666666667,0.049216076867446744
L2,0.0001,0.01,90.67666666666668,0.07363574011457867
L2,0.0001,0.02,90.37333333333333,0.25302612952465003
L2,0.0001,0.03,89.58,0.11860297916438407
L2,0.0001,0.05,87.88666666666667,0.4946603773185123
L2,0.0001,0.075,78.51666666666667,4.15811923296525
L2,0.0001,0.1,76.75333333333333,1.6744816776808515
L2,0.0001,0.15,61.18,2.2987967867270656
