method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,87.98017824216349,0.0
Baseline,0.0,0.005,87.98017824216349,0.01746335496950385
Baseline,0.0,0.01,87.96353206310182,0.004791099911355074
Baseline,0.0,0.02,87.9443249334153,0.07464193629271688
Baseline,0.0,0.03,88.03651915591068,0.02134979000273094
Baseline,0.0,0.05,87.92767875435361,0.07793036291079346
Baseline,0.0,0.075,87.8239602540463,0.09178427032092433
Baseline,0.0,0.1,87.36811104281908,0.2388146532856925
Baseline,0.0,0.15,87.23750256095063,0.35132191856616724
L1,0.0001,0.0,84.7841118623233,0.0
L1,0.0001,0.005,84.79307518951036,0.012676058871916307
L1,0.0001,0.01,84.77130710919893,0.0036217311062635795
L1,0.0001,0.02,84.80459946732226,0.009054327765658949
L1,0.0001,0.03,84.77642901044868,0.01746335496950385
L1,0.0001,0.05,84.75978283138701,0.06773218170168982
L1,0.0001,0.075,84.7239295226388,0.09669072489578404
L1,0.0001,0.1,84.41917639827903,0.3052584393720805
L1,0.0001,0.15,83.5638188895718,0.5586542243507473
