method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,87.98017824216349,0.0
Baseline,0.0,0.005,87.93023970497848,0.00543259665938867
Baseline,0.0,0.01,87.84700880967016,0.022252288461608306
Baseline,0.0,0.02,87.50896332718706,0.22269965378313064
Baseline,0.0,0.03,86.7560438434747,0.24810840698182102
Baseline,0.0,0.05,84.46783446015161,0.2798592969447487
Baseline,0.0,0.075,79.81330669944684,0.4073723083925455
Baseline,0.0,0.1,75.32652120467117,1.0339122563425496
Baseline,0.0,0.15,63.22859045277607,1.6408610409475242
L1,0.0001,0.0,84.7841118623233,0.0
L1,0.0001,0.005,84.76362425732432,0.04655720898047922
L1,0.0001,0.01,84.5779553370211,0.19568243666603008
L1,0.0001,0.02,84.17844703954108,0.2604878327177063
L1,0.0001,0.03,82.90949600491703,0.704480232719591
L1,0.0001,0.05,77.86826469985658,1.1361027582551968
L1,0.0001,0.075,72.49667076418767,1.3150786923963818
L1,0.0001,0.1,69.44145666871543,1.0791467314267038
L1,0.0001,0.15,51.04614833026019,2.333362629264284
