method,reg_val,epoch,layer,unique_pctg
Baseline,0.0,1,conv1,100.0
Baseline,0.0,1,conv3,79.11
Baseline,0.0,1,fc1,58.4
Baseline,0.0,10,conv1,100.0
Baseline,0.0,10,conv3,99.98
Baseline,0.0,10,fc1,74.06
Baseline,0.0,20,conv1,100.0
Baseline,0.0,20,conv3,100.0
Baseline,0.0,20,fc1,96.2
Baseline,0.0,30,conv1,100.0
Baseline,0.0,30,conv3,100.0
Baseline,0.0,30,fc1,99.82
Baseline,0.0,40,conv1,100.0
Baseline,0.0,40,conv3,100.0
Baseline,0.0,40,fc1,99.96000000000001
Baseline,0.0,50,conv1,100.0
Baseline,0.0,50,conv3,100.0
Baseline,0.0,50,fc1,100.0
Baseline,0.0,60,conv1,100.0
Baseline,0.0,60,conv3,100.0
Baseline,0.0,60,fc1,100.0
L2,0.001,1,conv1,100.0
L2,0.001,1,conv3,89.42
L2,0.001,1,fc1,62.4
L2,0.001,10,conv1,100.0
L2,0.001,10,conv3,99.91
L2,0.001,10,fc1,69.45
L2,0.001,20,conv1,100.0
L2,0.001,20,conv3,100.0
L2,0.001,20,fc1,75.6
L2,0.001,30,conv1,100.0
L2,0.001,30,conv3,100.0
L2,0.001,30,fc1,71.75
L2,0.001,40,conv1,100.0
L2,0.001,40,conv3,100.0
L2,0.001,40,fc1,74.6
L2,0.001,50,conv1,100.0
L2,0.001,50,conv3,100.0
L2,0.001,50,fc1,77.7
L2,0.001,60,conv1,100.0
L2,0.001,60,conv3,100.0
L2,0.001,60,fc1,75.78
Dropout,0.3,1,conv1,100.0
Dropout,0.3,1,conv3,90.56
Dropout,0.3,1,fc1,84.1
Dropout,0.3,10,conv1,100.0
Dropout,0.3,10,conv3,99.78
Dropout,0.3,10,fc1,50.12
Dropout,0.3,20,conv1,100.0
Dropout,0.3,20,conv3,99.97
Dropout,0.3,20,fc1,78.06
Dropout,0.3,30,conv1,100.0
Dropout,0.3,30,conv3,99.97
Dropout,0.3,30,fc1,80.25999999999999
Dropout,0.3,40,conv1,100.0
Dropout,0.3,40,conv3,100.0
Dropout,0.3,40,fc1,92.82000000000001
Dropout,0.3,50,conv1,100.0
Dropout,0.3,50,conv3,100.0
Dropout,0.3,50,fc1,96.50999999999999
Dropout,0.3,60,conv1,100.0
Dropout,0.3,60,conv3,100.0
Dropout,0.3,60,fc1,97.41
DataAug,2.0,1,conv1,100.0
DataAug,2.0,1,conv3,99.44
DataAug,2.0,1,fc1,62.94
DataAug,2.0,10,conv1,100.0
DataAug,2.0,10,conv3,100.0
DataAug,2.0,10,fc1,54.53
DataAug,2.0,20,conv1,100.0
DataAug,2.0,20,conv3,99.99
DataAug,2.0,20,fc1,60.699999999999996
DataAug,2.0,30,conv1,100.0
DataAug,2.0,30,conv3,100.0
DataAug,2.0,30,fc1,68.66
DataAug,2.0,40,conv1,100.0
DataAug,2.0,40,conv3,100.0
DataAug,2.0,40,fc1,85.5
DataAug,2.0,50,conv1,100.0
DataAug,2.0,50,conv3,100.0
DataAug,2.0,50,fc1,80.69
DataAug,2.0,60,conv1,100.0
DataAug,2.0,60,conv3,100.0
DataAug,2.0,60,fc1,91.21000000000001
GaussianNoise,0.1,1,conv1,100.0
GaussianNoise,0.1,1,conv3,81.11
GaussianNoise,0.1,1,fc1,65.96
GaussianNoise,0.1,10,conv1,100.0
GaussianNoise,0.1,10,conv3,99.99
GaussianNoise,0.1,10,fc1,54.44
GaussianNoise,0.1,20,conv1,100.0
GaussianNoise,0.1,20,conv3,100.0
GaussianNoise,0.1,20,fc1,85.24000000000001
GaussianNoise,0.1,30,conv1,100.0
GaussianNoise,0.1,30,conv3,100.0
GaussianNoise,0.1,30,fc1,99.07000000000001
GaussianNoise,0.1,40,conv1,100.0
GaussianNoise,0.1,40,conv3,100.0
GaussianNoise,0.1,40,fc1,99.94
GaussianNoise,0.1,50,conv1,100.0
GaussianNoise,0.1,50,conv3,100.0
GaussianNoise,0.1,50,fc1,99.99
GaussianNoise,0.1,60,conv1,100.0
GaussianNoise,0.1,60,conv3,100.0
GaussianNoise,0.1,60,fc1,99.99
BatchNorm,1.0,1,conv1,100.0
BatchNorm,1.0,1,conv3,93.73
BatchNorm,1.0,1,fc1,93.34
BatchNorm,1.0,10,conv1,100.0
BatchNorm,1.0,10,conv3,97.05
BatchNorm,1.0,10,fc1,99.06
BatchNorm,1.0,20,conv1,100.0
BatchNorm,1.0,20,conv3,98.46000000000001
BatchNorm,1.0,20,fc1,99.19
BatchNorm,1.0,30,conv1,100.0
BatchNorm,1.0,30,conv3,97.22
BatchNorm,1.0,30,fc1,99.48
BatchNorm,1.0,40,conv1,100.0
BatchNorm,1.0,40,conv3,97.14
BatchNorm,1.0,40,fc1,99.53999999999999
BatchNorm,1.0,50,conv1,100.0
BatchNorm,1.0,50,conv3,96.67
BatchNorm,1.0,50,fc1,99.51
BatchNorm,1.0,60,conv1,100.0
BatchNorm,1.0,60,conv3,96.65
BatchNorm,1.0,60,fc1,99.59
