method,reg_val,epoch,layer,unique_pctg
Baseline,0.0,1,conv1,100.0
Baseline,0.0,1,conv3,0.003841425937307928
Baseline,0.0,1,fc1,0.003841425937307928
Baseline,0.0,10,conv1,100.0
Baseline,0.0,10,conv3,94.29164105716042
Baseline,0.0,10,fc1,5.009219422249539
Baseline,0.0,20,conv1,100.0
Baseline,0.0,20,conv3,99.950061462815
Baseline,0.0,20,fc1,30.09757221880762
Baseline,0.0,30,conv1,100.0
Baseline,0.0,30,conv3,99.98463429625076
Baseline,0.0,30,fc1,52.700522433927475
Baseline,0.0,40,conv1,100.0
Baseline,0.0,40,conv3,99.99615857406269
Baseline,0.0,40,fc1,68.14305470190534
Baseline,0.0,50,conv1,100.0
Baseline,0.0,50,conv3,100.0
Baseline,0.0,50,fc1,72.60295021511986
Baseline,0.0,60,conv1,100.0
Baseline,0.0,60,conv3,99.99615857406269
Baseline,0.0,60,fc1,77.75046097111247
L2,0.001,1,conv1,99.99615857406269
L2,0.001,1,conv3,0.003841425937307928
L2,0.001,1,fc1,0.003841425937307928
L2,0.001,10,conv1,100.0
L2,0.001,10,conv3,85.56007990165949
L2,0.001,10,fc1,2.105101413644745
L2,0.001,20,conv1,100.0
L2,0.001,20,conv3,98.23678549477566
L2,0.001,20,fc1,6.253841425937308
L2,0.001,30,conv1,100.0
L2,0.001,30,conv3,99.50061462814998
L2,0.001,30,fc1,9.86478180700676
L2,0.001,40,conv1,100.0
L2,0.001,40,conv3,99.79256299938537
L2,0.001,40,fc1,12.976336816226183
L2,0.001,50,conv1,100.0
L2,0.001,50,conv3,99.86555009219423
L2,0.001,50,fc1,12.926398279041178
L2,0.001,60,conv1,100.0
L2,0.001,60,conv3,99.91164720344192
L2,0.001,60,fc1,13.206822372464657
Dropout,0.3,1,conv1,100.0
Dropout,0.3,1,conv3,0.003841425937307928
Dropout,0.3,1,fc1,0.003841425937307928
Dropout,0.3,10,conv1,100.0
Dropout,0.3,10,conv3,54.96696373693916
Dropout,0.3,10,fc1,1.5365703749231714
Dropout,0.3,20,conv1,100.0
Dropout,0.3,20,conv3,85.2681315304241
Dropout,0.3,20,fc1,5.566226183159189
Dropout,0.3,30,conv1,100.0
Dropout,0.3,30,conv3,93.64628149969269
Dropout,0.3,30,fc1,13.295175169022741
Dropout,0.3,40,conv1,100.0
Dropout,0.3,40,conv3,98.56330669944684
Dropout,0.3,40,fc1,23.340503995082976
Dropout,0.3,50,conv1,100.0
Dropout,0.3,50,conv3,99.40073755377996
Dropout,0.3,50,fc1,31.929932390903502
Dropout,0.3,60,conv1,100.0
Dropout,0.3,60,conv3,99.35464044253227
Dropout,0.3,60,fc1,35.24508297480025
DataAug,2.0,1,conv1,100.0
DataAug,2.0,1,conv3,0.003841425937307928
DataAug,2.0,1,fc1,0.003841425937307928
DataAug,2.0,10,conv1,100.0
DataAug,2.0,10,conv3,60.06069452980947
DataAug,2.0,10,fc1,0.5262753534111863
DataAug,2.0,20,conv1,100.0
DataAug,2.0,20,conv3,76.81315304240934
DataAug,2.0,20,fc1,1.3214505224339275
DataAug,2.0,30,conv1,100.0
DataAug,2.0,30,conv3,88.3182237246466
DataAug,2.0,30,fc1,2.327904118008605
DataAug,2.0,40,conv1,100.0
DataAug,2.0,40,conv3,92.55915795943454
DataAug,2.0,40,fc1,4.5059926244622
DataAug,2.0,50,conv1,100.0
DataAug,2.0,50,conv3,96.18930547019053
DataAug,2.0,50,fc1,7.198832206515059
DataAug,2.0,60,conv1,100.0
DataAug,2.0,60,conv3,98.27135832821143
DataAug,2.0,60,fc1,10.371850030731407
GaussianNoise,0.1,1,conv1,99.99231714812538
GaussianNoise,0.1,1,conv3,0.003841425937307928
GaussianNoise,0.1,1,fc1,0.003841425937307928
GaussianNoise,0.1,10,conv1,100.0
GaussianNoise,0.1,10,conv3,85.84818684695759
GaussianNoise,0.1,10,fc1,2.7735095267363246
GaussianNoise,0.1,20,conv1,100.0
GaussianNoise,0.1,20,conv3,97.480024585126
GaussianNoise,0.1,20,fc1,16.337584511370622
GaussianNoise,0.1,30,conv1,100.0
GaussianNoise,0.1,30,conv3,99.73110018438844
GaussianNoise,0.1,30,fc1,28.849108789182544
GaussianNoise,0.1,40,conv1,100.0
