method,reg_val,epoch,layer,unique_pctg
Baseline,0.0,1,conv1,100.0
Baseline,0.0,1,conv3,0.003841425937307928
Baseline,0.0,1,fc1,0.003841425937307928
Baseline,0.0,10,conv1,100.0
Baseline,0.0,10,conv3,94.29164105716042
Baseline,0.0,10,fc1,5.009219422249539
Baseline,0.0,20,conv1,100.0
Baseline,0.0,20,conv3,99.950061462815
Baseline,0.0,20,fc1,30.09757221880762
Baseline,0.0,30,conv1,100.0
Baseline,0.0,30,conv3,99.98463429625076
Baseline,0.0,30,fc1,52.700522433927475
Baseline,0.0,40,conv1,100.0
Baseline,0.0,40,conv3,99.99615857406269
Baseline,0.0,40,fc1,68.14305470190534
Baseline,0.0,50,conv1,100.0
Baseline,0.0,50,conv3,100.0
Baseline,0.0,50,fc1,72.60295021511986
Baseline,0.0,60,conv1,100.0
Baseline,0.0,60,conv3,99.99615857406269
Baseline,0.0,60,fc1,77.75046097111247
BatchNorm,1.0,1,conv1,100.0
BatchNorm,1.0,1,conv3,14.962354025814381
BatchNorm,1.0,1,fc1,5.4356177012907185
BatchNorm,1.0,10,conv1,100.0
BatchNorm,1.0,10,conv3,31.730178242163493
BatchNorm,1.0,10,fc1,6.576521204671174
BatchNorm,1.0,20,conv1,100.0
BatchNorm,1.0,20,conv3,26.294560540872773
BatchNorm,1.0,20,fc1,9.250153657037492
BatchNorm,1.0,30,conv1,100.0
BatchNorm,1.0,30,conv3,16.614167178856793
BatchNorm,1.0,30,fc1,8.547172710510141
BatchNorm,1.0,40,conv1,100.0
BatchNorm,1.0,40,conv3,14.18638598647818
BatchNorm,1.0,40,fc1,8.812231100184388
BatchNorm,1.0,50,conv1,100.0
BatchNorm,1.0,50,conv3,13.35279655808236
BatchNorm,1.0,50,fc1,9.200215119852489
BatchNorm,1.0,60,conv1,100.0
BatchNorm,1.0,60,conv3,11.81238475722188
BatchNorm,1.0,60,fc1,8.954363859864783
DataAug,2.0,1,conv1,100.0
DataAug,2.0,1,conv3,0.003841425937307928
DataAug,2.0,1,fc1,0.003841425937307928
DataAug,2.0,10,conv1,100.0
DataAug,2.0,10,conv3,60.06069452980947
DataAug,2.0,10,fc1,0.5262753534111863
DataAug,2.0,20,conv1,100.0
DataAug,2.0,20,conv3,76.81315304240934
DataAug,2.0,20,fc1,1.3214505224339275
DataAug,2.0,30,conv1,100.0
DataAug,2.0,30,conv3,88.3182237246466
DataAug,2.0,30,fc1,2.327904118008605
DataAug,2.0,40,conv1,100.0
DataAug,2.0,40,conv3,92.55915795943454
DataAug,2.0,40,fc1,4.5059926244622
DataAug,2.0,50,conv1,100.0
DataAug,2.0,50,conv3,96.18930547019053
DataAug,2.0,50,fc1,7.198832206515059
DataAug,2.0,60,conv1,100.0
DataAug,2.0,60,conv3,98.27135832821143
DataAug,2.0,60,fc1,10.371850030731407
Dropout,0.5,1,conv1,100.0
Dropout,0.5,1,conv3,0.003841425937307928
Dropout,0.5,1,fc1,0.003841425937307928
Dropout,0.5,10,conv1,100.0
Dropout,0.5,10,conv3,35.06837738168408
Dropout,0.5,10,fc1,1.3713890596189307
Dropout,0.5,20,conv1,100.0
Dropout,0.5,20,conv3,44.00353411186232
Dropout,0.5,20,fc1,2.954056545789797
Dropout,0.5,30,conv1,100.0
Dropout,0.5,30,conv3,58.30132145052244
Dropout,0.5,30,fc1,4.659649661954517
Dropout,0.5,40,conv1,100.0
Dropout,0.5,40,conv3,74.29317762753534
Dropout,0.5,40,fc1,8.99661954517517
Dropout,0.5,50,conv1,100.0
Dropout,0.5,50,conv3,82.76352181929933
Dropout,0.5,50,fc1,12.254148740012292
Dropout,0.5,60,conv1,100.0
Dropout,0.5,60,conv3,93.39274738783037
Dropout,0.5,60,fc1,16.126306084818683
EarlyStopping,3.0,1,conv1,100.0
EarlyStopping,3.0,1,conv3,0.003841425937307928
EarlyStopping,3.0,1,fc1,0.003841425937307928
EarlyStopping,3.0,10,conv1,100.0
EarlyStopping,3.0,10,conv3,84.20021511985249
EarlyStopping,3.0,10,fc1,2.627535341118623
GaussianNoise,0.01,1,conv1,100.0
GaussianNoise,0.01,1,conv3,0.003841425937307928
GaussianNoise,0.01,1,fc1,0.003841425937307928
GaussianNoise,0.01,10,conv1,100.0
