epoch,reg_method,reg_val,train_acc,val_acc
1,Dropout,0.1,0.0132,0.013
2,Dropout,0.1,0.0638,0.0614
3,Dropout,0.1,0.11396,0.1124
4,Dropout,0.1,0.14508,0.1378
5,Dropout,0.1,0.18092,0.1667
6,Dropout,0.1,0.2002,0.1857
7,Dropout,0.1,0.2344,0.2078
8,Dropout,0.1,0.26552,0.234
9,Dropout,0.1,0.2976,0.2585
10,Dropout,0.1,0.31848,0.2586
11,Dropout,0.1,0.36216,0.2955
12,Dropout,0.1,0.38056,0.2954
13,Dropout,0.1,0.40552,0.3028
14,Dropout,0.1,0.4478,0.3152
15,Dropout,0.1,0.48124,0.3272
16,Dropout,0.1,0.51552,0.3356
17,Dropout,0.1,0.55416,0.34
18,Dropout,0.1,0.5858,0.3379
19,Dropout,0.1,0.6244,0.3371
20,Dropout,0.1,0.63616,0.3364
21,Dropout,0.1,0.67764,0.3375
22,Dropout,0.1,0.71228,0.3337
23,Dropout,0.1,0.72432,0.3292
24,Dropout,0.1,0.75984,0.3266
25,Dropout,0.1,0.80028,0.3284
26,Dropout,0.1,0.83596,0.3318
27,Dropout,0.1,0.8438,0.3265
28,Dropout,0.1,0.83816,0.319
29,Dropout,0.1,0.86684,0.3216
30,Dropout,0.1,0.89084,0.3276
31,Dropout,0.1,0.90276,0.3246
32,Dropout,0.1,0.90404,0.3178
33,Dropout,0.1,0.91128,0.312
34,Dropout,0.1,0.91328,0.3098
35,Dropout,0.1,0.92648,0.3158
36,Dropout,0.1,0.93148,0.3075
37,Dropout,0.1,0.93644,0.3098
38,Dropout,0.1,0.9438,0.3143
39,Dropout,0.1,0.95424,0.3056
40,Dropout,0.1,0.94916,0.3115
41,Dropout,0.1,0.94668,0.3095
42,Dropout,0.1,0.95936,0.3089
43,Dropout,0.1,0.95828,0.3123
44,Dropout,0.1,0.96224,0.31
45,Dropout,0.1,0.95448,0.307
46,Dropout,0.1,0.96696,0.3105
47,Dropout,0.1,0.97332,0.3126
48,Dropout,0.1,0.971,0.311
49,Dropout,0.1,0.976,0.3156
50,Dropout,0.1,0.97764,0.3141
51,Dropout,0.1,0.97692,0.3002
52,Dropout,0.1,0.977,0.3106
53,Dropout,0.1,0.97756,0.3077
54,Dropout,0.1,0.9806,0.3072
55,Dropout,0.1,0.97196,0.3003
56,Dropout,0.1,0.98212,0.3026
57,Dropout,0.1,0.97952,0.3088
58,Dropout,0.1,0.97708,0.3061
