epoch,reg_method,reg_val,train_acc,val_acc
1,GaussianNoise,0.01,0.01856,0.0161
2,GaussianNoise,0.01,0.086,0.0825
3,GaussianNoise,0.01,0.12828,0.1286
4,GaussianNoise,0.01,0.1596,0.151
5,GaussianNoise,0.01,0.20812,0.1917
6,GaussianNoise,0.01,0.2404,0.2104
7,GaussianNoise,0.01,0.27964,0.2355
8,GaussianNoise,0.01,0.33536,0.2699
9,GaussianNoise,0.01,0.37836,0.2867
10,GaussianNoise,0.01,0.40016,0.2936
11,GaussianNoise,0.01,0.44908,0.3077
12,GaussianNoise,0.01,0.47904,0.3038
13,GaussianNoise,0.01,0.53604,0.3179
14,GaussianNoise,0.01,0.56748,0.3279
15,GaussianNoise,0.01,0.60708,0.3201
16,GaussianNoise,0.01,0.67264,0.3255
17,GaussianNoise,0.01,0.70152,0.3204
18,GaussianNoise,0.01,0.76476,0.3163
19,GaussianNoise,0.01,0.7564,0.3011
20,GaussianNoise,0.01,0.79856,0.3046
21,GaussianNoise,0.01,0.80836,0.2976
22,GaussianNoise,0.01,0.8358,0.3076
23,GaussianNoise,0.01,0.85468,0.2992
24,GaussianNoise,0.01,0.87304,0.2962
25,GaussianNoise,0.01,0.89424,0.2943
26,GaussianNoise,0.01,0.88864,0.295
27,GaussianNoise,0.01,0.88324,0.2991
28,GaussianNoise,0.01,0.89112,0.2893
29,GaussianNoise,0.01,0.90772,0.29
30,GaussianNoise,0.01,0.91732,0.2904
31,GaussianNoise,0.01,0.94044,0.2943
32,GaussianNoise,0.01,0.92744,0.2886
33,GaussianNoise,0.01,0.9272,0.2935
34,GaussianNoise,0.01,0.92572,0.2914
35,GaussianNoise,0.01,0.9244,0.2911
36,GaussianNoise,0.01,0.91836,0.2897
37,GaussianNoise,0.01,0.94508,0.3018
38,GaussianNoise,0.01,0.94312,0.2926
39,GaussianNoise,0.01,0.95332,0.2952
40,GaussianNoise,0.01,0.91284,0.2838
41,GaussianNoise,0.01,0.93788,0.288
42,GaussianNoise,0.01,0.93404,0.2894
43,GaussianNoise,0.01,0.93148,0.2918
44,GaussianNoise,0.01,0.9412,0.2887
45,GaussianNoise,0.01,0.94836,0.2896
46,GaussianNoise,0.01,0.92968,0.2903
47,GaussianNoise,0.01,0.93692,0.29
48,GaussianNoise,0.01,0.93204,0.2804
49,GaussianNoise,0.01,0.94916,0.2881
50,GaussianNoise,0.01,0.96368,0.286
51,GaussianNoise,0.01,0.93048,0.2775
52,GaussianNoise,0.01,0.94532,0.2749
53,GaussianNoise,0.01,0.93836,0.2746
54,GaussianNoise,0.01,0.94644,0.2812
55,GaussianNoise,0.01,0.93124,0.2797
56,GaussianNoise,0.01,0.921,0.2782
57,GaussianNoise,0.01,0.9342,0.2811
58,GaussianNoise,0.01,0.93992,0.2782
59,GaussianNoise,0.01,0.91244,0.2766
60,GaussianNoise,0.01,0.93684,0.2832
1,GaussianNoise,0.05,0.03016,0.0278
2,GaussianNoise,0.05,0.08052,0.075
3,GaussianNoise,0.05,0.13304,0.1267
4,GaussianNoise,0.05,0.15816,0.1474
5,GaussianNoise,0.05,0.21636,0.1951
6,GaussianNoise,0.05,0.24636,0.2165
7,GaussianNoise,0.05,0.26352,0.2224
8,GaussianNoise,0.05,0.3218,0.2679
9,GaussianNoise,0.05,0.358,0.2824
10,GaussianNoise,0.05,0.394,0.3016
11,GaussianNoise,0.05,0.43628,0.3125
12,GaussianNoise,0.05,0.46436,0.3149
13,GaussianNoise,0.05,0.49144,0.3117
14,GaussianNoise,0.05,0.5324,0.3169
15,GaussianNoise,0.05,0.57016,0.3125
16,GaussianNoise,0.05,0.63788,0.3239
17,GaussianNoise,0.05,0.66452,0.3162
18,GaussianNoise,0.05,0.72108,0.3229
19,GaussianNoise,0.05,0.754,0.3097
20,GaussianNoise,0.05,0.7594,0.3033
21,GaussianNoise,0.05,0.81684,0.3105
22,GaussianNoise,0.05,0.81468,0.3006
23,GaussianNoise,0.05,0.80864,0.2907
24,GaussianNoise,0.05,0.87104,0.297
25,GaussianNoise,0.05,0.88932,0.3027
26,GaussianNoise,0.05,0.89236,0.2886
27,GaussianNoise,0.05,0.87468,0.2919
28,GaussianNoise,0.05,0.89788,0.2954
29,GaussianNoise,0.05,0.91716,0.2972
30,GaussianNoise,0.05,0.91064,0.2873
31,GaussianNoise,0.05,0.90948,0.2907
32,GaussianNoise,0.05,0.9238,0.2849
33,GaussianNoise,0.05,0.92372,0.2875
34,GaussianNoise,0.05,0.92628,0.2863
35,GaussianNoise,0.05,0.94096,0.2898
36,GaussianNoise,0.05,0.94044,0.2896
37,GaussianNoise,0.05,0.92964,0.2835
38,GaussianNoise,0.05,0.93924,0.2838
39,GaussianNoise,0.05,0.93916,0.2846
40,GaussianNoise,0.05,0.91716,0.2807
41,GaussianNoise,0.05,0.94972,0.287
42,GaussianNoise,0.05,0.93156,0.2811
43,GaussianNoise,0.05,0.94392,0.2851
44,GaussianNoise,0.05,0.94504,0.2831
45,GaussianNoise,0.05,0.93776,0.2812
46,GaussianNoise,0.05,0.93944,0.2845
47,GaussianNoise,0.05,0.93988,0.2815
48,GaussianNoise,0.05,0.94008,0.2816
