epoch,reg_method,reg_val,train_acc,val_acc
1,BatchNorm,1,0.87596,0.8584
2,BatchNorm,1,0.89652,0.8766
3,BatchNorm,1,0.911,0.8879
4,BatchNorm,1,0.92964,0.8961
5,BatchNorm,1,0.92552,0.8899
6,BatchNorm,1,0.9406,0.9017
7,BatchNorm,1,0.92576,0.8827
8,BatchNorm,1,0.93748,0.8867
9,BatchNorm,1,0.93916,0.89
10,BatchNorm,1,0.94028,0.8859
11,BatchNorm,1,0.97132,0.91
12,BatchNorm,1,0.97932,0.9148
13,BatchNorm,1,0.97912,0.9044
14,BatchNorm,1,0.96036,0.8935
15,BatchNorm,1,0.97816,0.9026
16,BatchNorm,1,0.9846,0.9046
17,BatchNorm,1,0.98412,0.9045
18,BatchNorm,1,0.99292,0.9107
19,BatchNorm,1,0.97928,0.9019
20,BatchNorm,1,0.99044,0.9101
21,BatchNorm,1,0.98388,0.9048
22,BatchNorm,1,0.99672,0.9149
23,BatchNorm,1,0.99572,0.9078
24,BatchNorm,1,0.99824,0.9143
25,BatchNorm,1,0.99356,0.9098
26,BatchNorm,1,0.98372,0.9067
27,BatchNorm,1,0.99996,0.9168
28,BatchNorm,1,1.0,0.9182
29,BatchNorm,1,1.0,0.918
30,BatchNorm,1,1.0,0.9185
31,BatchNorm,1,1.0,0.9183
32,BatchNorm,1,1.0,0.918
33,BatchNorm,1,1.0,0.9183
34,BatchNorm,1,1.0,0.9181
35,BatchNorm,1,1.0,0.9179
36,BatchNorm,1,1.0,0.919
37,BatchNorm,1,1.0,0.9184
38,BatchNorm,1,1.0,0.9185
39,BatchNorm,1,1.0,0.9183
40,BatchNorm,1,1.0,0.9191
41,BatchNorm,1,1.0,0.9185
42,BatchNorm,1,1.0,0.9189
43,BatchNorm,1,1.0,0.9184
44,BatchNorm,1,1.0,0.9182
45,BatchNorm,1,1.0,0.9182
46,BatchNorm,1,1.0,0.9185
47,BatchNorm,1,1.0,0.9179
48,BatchNorm,1,1.0,0.9189
49,BatchNorm,1,1.0,0.9184
50,BatchNorm,1,1.0,0.9185
51,BatchNorm,1,1.0,0.9188
52,BatchNorm,1,1.0,0.9184
53,BatchNorm,1,1.0,0.9188
54,BatchNorm,1,1.0,0.9189
55,BatchNorm,1,1.0,0.9185
56,BatchNorm,1,1.0,0.9185
57,BatchNorm,1,1.0,0.9182
58,BatchNorm,1,1.0,0.9189
59,BatchNorm,1,1.0,0.9186
60,BatchNorm,1,1.0,0.9187
