epoch,reg_method,reg_val,train_acc,val_acc
1,DataAug,1,0.7726,0.7612
2,DataAug,1,0.80488,0.7951
3,DataAug,1,0.85496,0.8378
4,DataAug,1,0.87156,0.8482
5,DataAug,1,0.88284,0.8615
6,DataAug,1,0.89052,0.8726
7,DataAug,1,0.90628,0.8835
8,DataAug,1,0.89556,0.8718
9,DataAug,1,0.91008,0.8832
10,DataAug,1,0.91276,0.8884
11,DataAug,1,0.9188,0.895
12,DataAug,1,0.91608,0.8894
13,DataAug,1,0.91496,0.8885
14,DataAug,1,0.9232,0.8947
15,DataAug,1,0.92148,0.8932
16,DataAug,1,0.93112,0.9
17,DataAug,1,0.9338,0.8989
18,DataAug,1,0.92928,0.8949
19,DataAug,1,0.94356,0.9043
20,DataAug,1,0.94468,0.9045
21,DataAug,1,0.9468,0.9035
22,DataAug,1,0.94532,0.9038
23,DataAug,1,0.95272,0.908
24,DataAug,1,0.94476,0.8998
25,DataAug,1,0.94968,0.9017
26,DataAug,1,0.95136,0.9019
27,DataAug,1,0.961,0.9055
28,DataAug,1,0.96036,0.9035
29,DataAug,1,0.96608,0.9085
30,DataAug,1,0.96,0.9028
31,DataAug,1,0.96508,0.9031
32,DataAug,1,0.96736,0.9058
33,DataAug,1,0.961,0.9013
34,DataAug,1,0.97088,0.9084
35,DataAug,1,0.95856,0.8996
36,DataAug,1,0.97708,0.9097
37,DataAug,1,0.96852,0.9035
38,DataAug,1,0.96516,0.8971
39,DataAug,1,0.98084,0.9082
40,DataAug,1,0.97536,0.9043
41,DataAug,1,0.98088,0.9068
42,DataAug,1,0.97732,0.9023
43,DataAug,1,0.98364,0.9088
44,DataAug,1,0.98304,0.9077
45,DataAug,1,0.98416,0.9071
46,DataAug,1,0.9822,0.9045
47,DataAug,1,0.9888,0.907
48,DataAug,1,0.98432,0.9042
49,DataAug,1,0.99072,0.9099
50,DataAug,1,0.98644,0.9074
51,DataAug,1,0.9846,0.9032
52,DataAug,1,0.9864,0.909
53,DataAug,1,0.9886,0.9099
54,DataAug,1,0.98684,0.9055
55,DataAug,1,0.98516,0.9041
56,DataAug,1,0.98888,0.9041
57,DataAug,1,0.9938,0.9076
58,DataAug,1,0.99032,0.9044
59,DataAug,1,0.9878,0.9061
60,DataAug,1,0.995,0.9093
1,DataAug,2,0.69892,0.7056
2,DataAug,2,0.7476,0.7581
3,DataAug,2,0.77224,0.7772
4,DataAug,2,0.79008,0.7975
5,DataAug,2,0.8272,0.8339
6,DataAug,2,0.84004,0.8438
7,DataAug,2,0.84152,0.8462
8,DataAug,2,0.84688,0.8527
9,DataAug,2,0.86156,0.8656
10,DataAug,2,0.86712,0.8694
11,DataAug,2,0.8676,0.8748
12,DataAug,2,0.87892,0.8788
13,DataAug,2,0.87436,0.8699
14,DataAug,2,0.87756,0.8778
15,DataAug,2,0.88652,0.8875
16,DataAug,2,0.8836,0.8799
17,DataAug,2,0.89168,0.885
18,DataAug,2,0.89552,0.8924
19,DataAug,2,0.89632,0.8908
20,DataAug,2,0.9024,0.8976
21,DataAug,2,0.90048,0.8979
22,DataAug,2,0.89572,0.8879
23,DataAug,2,0.89788,0.8922
24,DataAug,2,0.89496,0.8856
25,DataAug,2,0.90476,0.9026
26,DataAug,2,0.90296,0.8916
27,DataAug,2,0.89904,0.8913
28,DataAug,2,0.9088,0.9028
29,DataAug,2,0.91468,0.9063
30,DataAug,2,0.91464,0.9063
31,DataAug,2,0.91284,0.9023
32,DataAug,2,0.90928,0.9038
33,DataAug,2,0.91364,0.9005
34,DataAug,2,0.91256,0.9058
35,DataAug,2,0.91752,0.8986
36,DataAug,2,0.9166,0.9044
37,DataAug,2,0.915,0.9008
38,DataAug,2,0.92208,0.9102
