epoch,reg_method,reg_val,train_acc,val_acc
1,Dropout,0.1,0.77824,0.7701
2,Dropout,0.1,0.80784,0.7921
3,Dropout,0.1,0.85072,0.8355
4,Dropout,0.1,0.88084,0.8641
5,Dropout,0.1,0.885,0.8724
6,Dropout,0.1,0.8988,0.882
7,Dropout,0.1,0.90644,0.889
8,Dropout,0.1,0.90092,0.8824
9,Dropout,0.1,0.91668,0.8921
10,Dropout,0.1,0.91512,0.8915
11,Dropout,0.1,0.92672,0.8957
12,Dropout,0.1,0.92872,0.8983
13,Dropout,0.1,0.93132,0.9005
14,Dropout,0.1,0.93508,0.8998
15,Dropout,0.1,0.93208,0.8977
16,Dropout,0.1,0.94208,0.9008
17,Dropout,0.1,0.93612,0.8917
18,Dropout,0.1,0.95144,0.907
19,Dropout,0.1,0.94972,0.9058
20,Dropout,0.1,0.94664,0.8963
21,Dropout,0.1,0.9532,0.9006
22,Dropout,0.1,0.96,0.9066
23,Dropout,0.1,0.96232,0.905
24,Dropout,0.1,0.96704,0.9085
25,Dropout,0.1,0.96992,0.9099
26,Dropout,0.1,0.96928,0.9081
27,Dropout,0.1,0.96888,0.9078
28,Dropout,0.1,0.9746,0.907
29,Dropout,0.1,0.97704,0.9064
30,Dropout,0.1,0.97868,0.9106
31,Dropout,0.1,0.97764,0.9058
32,Dropout,0.1,0.98028,0.9075
33,Dropout,0.1,0.98636,0.9067
34,Dropout,0.1,0.98392,0.909
35,Dropout,0.1,0.98572,0.9093
36,Dropout,0.1,0.98672,0.9075
37,Dropout,0.1,0.98464,0.9067
38,Dropout,0.1,0.98792,0.9067
39,Dropout,0.1,0.98616,0.9093
40,Dropout,0.1,0.98604,0.9084
41,Dropout,0.1,0.99256,0.9124
42,Dropout,0.1,0.98864,0.905
43,Dropout,0.1,0.9888,0.9073
44,Dropout,0.1,0.99256,0.9115
45,Dropout,0.1,0.99468,0.9098
46,Dropout,0.1,0.9942,0.9123
47,Dropout,0.1,0.9978,0.9138
48,Dropout,0.1,0.99464,0.9111
49,Dropout,0.1,0.99276,0.9081
50,Dropout,0.1,0.99692,0.9125
51,Dropout,0.1,0.99516,0.9115
52,Dropout,0.1,0.99556,0.9099
53,Dropout,0.1,0.99664,0.9088
54,Dropout,0.1,0.99384,0.9062
55,Dropout,0.1,0.99412,0.9067
56,Dropout,0.1,0.99588,0.9079
57,Dropout,0.1,0.995,0.906
58,Dropout,0.1,0.99672,0.9085
59,Dropout,0.1,0.99304,0.9049
60,Dropout,0.1,0.99796,0.9106
1,Dropout,0.2,0.77144,0.7656
2,Dropout,0.2,0.83168,0.8228
3,Dropout,0.2,0.85884,0.8481
4,Dropout,0.2,0.86396,0.8484
5,Dropout,0.2,0.87412,0.8541
6,Dropout,0.2,0.8908,0.8693
7,Dropout,0.2,0.88996,0.8743
8,Dropout,0.2,0.90484,0.8846
9,Dropout,0.2,0.90648,0.885
10,Dropout,0.2,0.91352,0.8888
11,Dropout,0.2,0.91336,0.8894
12,Dropout,0.2,0.92184,0.891
13,Dropout,0.2,0.91092,0.882
14,Dropout,0.2,0.9252,0.8941
15,Dropout,0.2,0.92892,0.8984
16,Dropout,0.2,0.9354,0.9026
17,Dropout,0.2,0.93428,0.8983
18,Dropout,0.2,0.93904,0.9012
19,Dropout,0.2,0.93284,0.8916
20,Dropout,0.2,0.94616,0.9014
21,Dropout,0.2,0.94496,0.9045
22,Dropout,0.2,0.94492,0.8998
23,Dropout,0.2,0.95504,0.9061
24,Dropout,0.2,0.95528,0.9066
25,Dropout,0.2,0.9528,0.9015
26,Dropout,0.2,0.95932,0.9075
27,Dropout,0.2,0.95524,0.9034
28,Dropout,0.2,0.96316,0.9044
29,Dropout,0.2,0.96276,0.9087
30,Dropout,0.2,0.96244,0.9062
31,Dropout,0.2,0.9688,0.9117
32,Dropout,0.2,0.96576,0.9039
33,Dropout,0.2,0.96812,0.9088
34,Dropout,0.2,0.97132,0.9044
35,Dropout,0.2,0.972,0.9068
36,Dropout,0.2,0.97488,0.91
37,Dropout,0.2,0.97908,0.9097
38,Dropout,0.2,0.98272,0.9131
39,Dropout,0.2,0.97932,0.9094
40,Dropout,0.2,0.98064,0.908
41,Dropout,0.2,0.9824,0.9096
42,Dropout,0.2,0.98372,0.9125
43,Dropout,0.2,0.98316,0.9094
44,Dropout,0.2,0.98268,0.9111
45,Dropout,0.2,0.98704,0.9152
46,Dropout,0.2,0.988,0.9127
47,Dropout,0.2,0.98472,0.9081
48,Dropout,0.2,0.98368,0.9095
49,Dropout,0.2,0.98664,0.9074
50,Dropout,0.2,0.98888,0.9112
51,Dropout,0.2,0.98984,0.9079
52,Dropout,0.2,0.98948,0.9101
53,Dropout,0.2,0.98868,0.9115
54,Dropout,0.2,0.9926,0.9135
55,Dropout,0.2,0.99232,0.9086
56,Dropout,0.2,0.98992,0.9097
