epoch,reg_method,reg_val,train_acc,val_acc
1,GaussianNoise,0.01,0.76144,0.7514
2,GaussianNoise,0.01,0.84188,0.8311
3,GaussianNoise,0.01,0.86864,0.8514
4,GaussianNoise,0.01,0.8694,0.856
5,GaussianNoise,0.01,0.88968,0.8732
6,GaussianNoise,0.01,0.9018,0.8823
7,GaussianNoise,0.01,0.90152,0.8801
8,GaussianNoise,0.01,0.90672,0.8847
9,GaussianNoise,0.01,0.90904,0.8823
10,GaussianNoise,0.01,0.92244,0.8941
11,GaussianNoise,0.01,0.92232,0.889
12,GaussianNoise,0.01,0.9284,0.8966
13,GaussianNoise,0.01,0.9334,0.8992
14,GaussianNoise,0.01,0.94184,0.8975
15,GaussianNoise,0.01,0.94068,0.8982
16,GaussianNoise,0.01,0.94924,0.899
17,GaussianNoise,0.01,0.94692,0.9022
18,GaussianNoise,0.01,0.9564,0.9021
19,GaussianNoise,0.01,0.95808,0.9012
20,GaussianNoise,0.01,0.9656,0.9067
21,GaussianNoise,0.01,0.95924,0.9018
22,GaussianNoise,0.01,0.96956,0.9056
23,GaussianNoise,0.01,0.97264,0.9024
24,GaussianNoise,0.01,0.97416,0.9024
25,GaussianNoise,0.01,0.97688,0.9029
26,GaussianNoise,0.01,0.97916,0.9012
27,GaussianNoise,0.01,0.97856,0.908
28,GaussianNoise,0.01,0.98212,0.9042
29,GaussianNoise,0.01,0.98524,0.9054
30,GaussianNoise,0.01,0.9834,0.903
31,GaussianNoise,0.01,0.98628,0.8999
32,GaussianNoise,0.01,0.98776,0.9032
33,GaussianNoise,0.01,0.9864,0.902
34,GaussianNoise,0.01,0.98468,0.9007
35,GaussianNoise,0.01,0.98908,0.9043
36,GaussianNoise,0.01,0.99504,0.9057
37,GaussianNoise,0.01,0.98672,0.8988
38,GaussianNoise,0.01,0.99588,0.9058
39,GaussianNoise,0.01,0.99364,0.903
40,GaussianNoise,0.01,0.9874,0.899
41,GaussianNoise,0.01,0.9926,0.9049
42,GaussianNoise,0.01,0.99564,0.9052
43,GaussianNoise,0.01,0.99372,0.9039
44,GaussianNoise,0.01,0.99532,0.9034
45,GaussianNoise,0.01,0.99736,0.9069
46,GaussianNoise,0.01,0.9952,0.9032
47,GaussianNoise,0.01,0.98844,0.8979
48,GaussianNoise,0.01,0.99604,0.9029
49,GaussianNoise,0.01,0.9988,0.9051
50,GaussianNoise,0.01,0.9986,0.9069
51,GaussianNoise,0.01,1.0,0.9102
52,GaussianNoise,0.01,1.0,0.9105
53,GaussianNoise,0.01,1.0,0.9104
54,GaussianNoise,0.01,1.0,0.9109
55,GaussianNoise,0.01,1.0,0.9106
56,GaussianNoise,0.01,1.0,0.9104
57,GaussianNoise,0.01,1.0,0.9103
58,GaussianNoise,0.01,1.0,0.9105
59,GaussianNoise,0.01,1.0,0.9109
60,GaussianNoise,0.01,1.0,0.911
1,GaussianNoise,0.05,0.7888,0.7775
2,GaussianNoise,0.05,0.84332,0.8332
3,GaussianNoise,0.05,0.85344,0.8397
4,GaussianNoise,0.05,0.86756,0.8482
5,GaussianNoise,0.05,0.8996,0.8807
6,GaussianNoise,0.05,0.90392,0.8791
7,GaussianNoise,0.05,0.90788,0.8845
8,GaussianNoise,0.05,0.91456,0.8876
9,GaussianNoise,0.05,0.918,0.8927
10,GaussianNoise,0.05,0.92308,0.8932
11,GaussianNoise,0.05,0.92828,0.8906
12,GaussianNoise,0.05,0.93436,0.8951
13,GaussianNoise,0.05,0.93936,0.8994
14,GaussianNoise,0.05,0.93756,0.8995
15,GaussianNoise,0.05,0.94168,0.8981
16,GaussianNoise,0.05,0.94732,0.8988
17,GaussianNoise,0.05,0.95596,0.9048
18,GaussianNoise,0.05,0.958,0.9053
19,GaussianNoise,0.05,0.95072,0.8954
20,GaussianNoise,0.05,0.95852,0.9002
21,GaussianNoise,0.05,0.96332,0.9009
22,GaussianNoise,0.05,0.9674,0.9013
23,GaussianNoise,0.05,0.95756,0.8969
24,GaussianNoise,0.05,0.9668,0.8998
25,GaussianNoise,0.05,0.97684,0.9033
26,GaussianNoise,0.05,0.9728,0.8975
27,GaussianNoise,0.05,0.98248,0.9053
28,GaussianNoise,0.05,0.98372,0.9036
29,GaussianNoise,0.05,0.97592,0.8968
30,GaussianNoise,0.05,0.98448,0.9041
31,GaussianNoise,0.05,0.98328,0.8999
32,GaussianNoise,0.05,0.97424,0.8929
33,GaussianNoise,0.05,0.97504,0.8979
34,GaussianNoise,0.05,0.9878,0.8993
35,GaussianNoise,0.05,0.98656,0.9001
36,GaussianNoise,0.05,0.99084,0.9038
37,GaussianNoise,0.05,0.99084,0.9012
38,GaussianNoise,0.05,0.97152,0.8909
39,GaussianNoise,0.05,0.99404,0.9033
40,GaussianNoise,0.05,0.99416,0.901
41,GaussianNoise,0.05,0.99764,0.9075
42,GaussianNoise,0.05,0.99616,0.9072
43,GaussianNoise,0.05,0.9844,0.8994
44,GaussianNoise,0.05,0.99208,0.8997
45,GaussianNoise,0.05,0.99388,0.9032
46,GaussianNoise,0.05,0.99188,0.9003
47,GaussianNoise,0.05,0.9974,0.9045
48,GaussianNoise,0.05,0.99316,0.9028
49,GaussianNoise,0.05,0.9974,0.9047
50,GaussianNoise,0.05,0.9982,0.9061
51,GaussianNoise,0.05,0.99704,0.9006
52,GaussianNoise,0.05,0.99564,0.9029
53,GaussianNoise,0.05,0.99344,0.8961
54,GaussianNoise,0.05,0.9964,0.9009
55,GaussianNoise,0.05,0.99512,0.9016
56,GaussianNoise,0.05,0.9936,0.9012
57,GaussianNoise,0.05,0.99868,0.9049
58,GaussianNoise,0.05,0.99732,0.9005
59,GaussianNoise,0.05,0.99776,0.9066
60,GaussianNoise,0.05,0.99692,0.9029
1,GaussianNoise,0.1,0.78728,0.7782
2,GaussianNoise,0.1,0.85052,0.835
3,GaussianNoise,0.1,0.84992,0.8374
4,GaussianNoise,0.1,0.8762,0.8623
5,GaussianNoise,0.1,0.88956,0.8742
6,GaussianNoise,0.1,0.90088,0.8785
7,GaussianNoise,0.1,0.903,0.8792
8,GaussianNoise,0.1,0.91748,0.8899
9,GaussianNoise,0.1,0.9178,0.8891
10,GaussianNoise,0.1,0.9254,0.8932
11,GaussianNoise,0.1,0.92612,0.8922
12,GaussianNoise,0.1,0.92508,0.891
13,GaussianNoise,0.1,0.93592,0.8963
14,GaussianNoise,0.1,0.93424,0.8964
15,GaussianNoise,0.1,0.94844,0.9003
16,GaussianNoise,0.1,0.95056,0.9002
17,GaussianNoise,0.1,0.94288,0.8921
18,GaussianNoise,0.1,0.94528,0.8898
19,GaussianNoise,0.1,0.95496,0.8976
20,GaussianNoise,0.1,0.9566,0.8978
21,GaussianNoise,0.1,0.95896,0.8993
22,GaussianNoise,0.1,0.95048,0.8911
23,GaussianNoise,0.1,0.96788,0.9005
24,GaussianNoise,0.1,0.9656,0.8972
25,GaussianNoise,0.1,0.97156,0.8969
26,GaussianNoise,0.1,0.96904,0.8994
27,GaussianNoise,0.1,0.96272,0.8899
28,GaussianNoise,0.1,0.97652,0.8971
29,GaussianNoise,0.1,0.98152,0.9001
30,GaussianNoise,0.1,0.97332,0.8963
31,GaussianNoise,0.1,0.97052,0.8929
32,GaussianNoise,0.1,0.98232,0.899
33,GaussianNoise,0.1,0.9852,0.8978
34,GaussianNoise,0.1,0.97668,0.892
35,GaussianNoise,0.1,0.98472,0.8984
36,GaussianNoise,0.1,0.98524,0.8969
37,GaussianNoise,0.1,0.98428,0.8984
38,GaussianNoise,0.1,0.98164,0.8915
39,GaussianNoise,0.1,0.98192,0.8989
40,GaussianNoise,0.1,0.99224,0.9001
41,GaussianNoise,0.1,0.98704,0.8952
