epoch,reg_method,reg_val,train_acc,val_acc
1,Baseline,0.0,0.18988,0.1958743085433313
2,Baseline,0.0,0.22396,0.22771972956361403
3,Baseline,0.0,0.73456,0.732559926244622
4,Baseline,0.0,0.82064,0.803318992009834
5,Baseline,0.0,0.86004,0.831860786724032
6,Baseline,0.0,0.8746,0.8390826674861709
7,Baseline,0.0,0.8952,0.8485325752919484
8,Baseline,0.0,0.9108,0.8576367547633682
9,Baseline,0.0,0.9314,0.8652427781192379
10,Baseline,0.0,0.9318,0.858020897357099
11,Baseline,0.0,0.9354,0.8502228027043639
12,Baseline,0.0,0.95408,0.8574830977258758
13,Baseline,0.0,0.96128,0.8596342962507683
14,Baseline,0.0,0.96976,0.8654348494161033
15,Baseline,0.0,0.97152,0.8640135218192994
16,Baseline,0.0,0.97492,0.8575983405039951
17,Baseline,0.0,0.97136,0.8551782421634911
18,Baseline,0.0,0.97712,0.8629379225568531
19,Baseline,0.0,0.97548,0.8495313460356484
20,Baseline,0.0,0.97724,0.8506837738168408
21,Baseline,0.0,0.98796,0.8609019668100799
22,Baseline,0.0,0.98336,0.8519130301167793
23,Baseline,0.0,0.9884,0.8605178242163491
24,Baseline,0.0,0.9918,0.8582129686539643
25,Baseline,0.0,0.99476,0.8620159803318992
26,Baseline,0.0,0.98496,0.8568684695759066
27,Baseline,0.0,0.9884,0.8567532267977873
28,Baseline,0.0,0.9876,0.8607483097725875
29,Baseline,0.0,0.99328,0.8582897971727105
30,Baseline,0.0,0.99504,0.8581745543945912
31,Baseline,0.0,0.98804,0.8587123540258144
32,Baseline,0.0,0.99536,0.8617086662569146
33,Baseline,0.0,0.9978,0.8629379225568531
34,Baseline,0.0,0.99344,0.8638982790411801
35,Baseline,0.0,0.99408,0.865818992009834
36,Baseline,0.0,0.99456,0.8647818070067609
37,Baseline,0.0,0.9986,0.8698909035033805
38,Baseline,0.0,0.99972,0.8753073140749846
39,Baseline,0.0,0.99792,0.8658958205285802
40,Baseline,0.0,0.99712,0.8710049170251998
41,Baseline,0.0,0.9958,0.8645513214505224
42,Baseline,0.0,0.99412,0.859480639213276
43,Baseline,0.0,0.99576,0.8668945912722803
44,Baseline,0.0,0.9966,0.8635909649661955
45,Baseline,0.0,0.99768,0.8659726490473264
46,Baseline,0.0,0.9954,0.8652811923786109
47,Baseline,0.0,0.99896,0.8664336201598033
48,Baseline,0.0,0.99788,0.8694683466502766
49,Baseline,0.0,1.0,0.8756914566687154
50,Baseline,0.0,1.0,0.8776505838967424
51,Baseline,0.0,1.0,0.8788030116779348
52,Baseline,0.0,1.0,0.8789182544560541
53,Baseline,0.0,1.0,0.8793023970497849
54,Baseline,0.0,1.0,0.8795328826060234
55,Baseline,0.0,1.0,0.8795712968653965
56,Baseline,0.0,1.0,0.8798017824216349
57,Baseline,0.0,1.0,0.8796481253841426
58,Baseline,0.0,1.0,0.8795712968653965
59,Baseline,0.0,1.0,0.8795712968653965
60,Baseline,0.0,1.0,0.8798017824216349
